Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.525139
1	Clockticks	11774200000
2	Performance-core (P-core)	3400000
1	Instructions Retired	37243600000
2	Performance-core (P-core)	0
1	CPI Rate	0.316140
2	Performance-core (P-core)	
1	Performance-core (P-core)	
2	Retiring	0.0
3	Light Operations	0.0
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	0.0
4	Fused Instructions	0.0
4	Non Fused Branches	0.0
4	Other	0.0
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	0.0
4	Few Uops Instructions	0.0
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	
3	Front-End Latency	0.0
4	ICache Misses	0.0
5	Code L2 Hit	0.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	0.0
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	0.0
3	Front-End Bandwidth	
4	Front-End Bandwidth MITE	0.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	0.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	
2	Bad Speculation	
3	Branch Mispredict	0.0
4	Other Mispredicts	0.0
3	Machine Clears	
4	Other Nukes	
2	Back-End Bound	0.0
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	0.0
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	0.0
6	Store STLB Hit	0.0
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	0.0
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	0.0
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	0.0
6	ALU Operation Utilization	0.0
7	Port 0	0.0
7	Port 1	0.0
7	Port 6	0.0
6	Load Operation Utilization	0.0
6	Store Operation Utilization	0.0
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	100.0
3	General Retirement	100.0
4	FP Arithmetic	0.0
4	Other	100.0
3	Microcode Sequencer	1.3
2	Front-End Bound	5.2
3	Front-End Latency	0.9
4	ICache Misses	0.4
4	ITLB Misses	0.1
4	BACLEARS	0.0
4	Branch Resteers	0.1
3	Front-End Bandwidth	4.2
4	Cisc	1.4
4	Decode	2.2
4	Pre-Decode Wrong	0.0
4	Front-End Other	0.4
2	Bad Speculation	0.0
3	Branch Mispredict	9.9
3	Machine Clears	0.1
4	Machine Clear	0.1
5	SMC Machine Clear	0.0
5	Machine Ordering	0.0
5	FP Assists	0.0
5	Disambiguation	0.0
5	Page Faults	0.0
4	Fast Machine Clears	0.0
2	Back-End Bound	36.7
3	Core Bound	27.9
3	Memory Bound	8.8
4	Store Bound	2.0
4	L1 Bound	1.1
5	Loads Blocked by Store Forwarding	0.0
5	Load STLB Hit	0.2
5	Load STLB Miss	0.5
5	Other L1	0.2
4	L2 Bound	2.1
4	L3 Bound	0.1
4	DRAM Bound	2.4
4	Other Load Store	1.1
2	Back-End Bound Auxiliary	36.7
3	Resource Bound	36.7
4	Memory Scheduler	7.9
5	ST Buffer	0.019678
5	LD Buffer	0.022828
5	RSV	0.052117
4	Non-memory Scheduler	16.5
4	Register	0.4
4	Full Re-order Buffer (ROB)	16.4
4	Allocation Restriction	0.8
4	Serializing Operations	3.5
1	Average CPU Frequency	4208801343.641892
1	Total Thread Count	6
1	Paused Time	0.0
0	Effective Physical Core Utilization	9.2% (1.834 out of 20)
1	Effective Logical Core Utilization	6.6% (1.834 out of 28)
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "16-27" "./bin/gaussian" "3" "4" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	22505726
1	Collection start time	14:42:12 11/03/2026 UTC
1	Collection stop time	14:42:14 11/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417600167
2	Logical CPU Count	28
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
