Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	243450200000	55059600000	34642600000	0	0	0	0	55128258059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195360058608	20767495027	309710490	7013838	0	738587728	45554478013	55267512519	0	0	0	0	1058871127	0	0	18816130955	0	0	0	0	959819313	44386169287	100014124	210519234847	0	0	59266977	2037371	276372028337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000210	68869464036	0	0	0	0	0	0	88958925	0	0	160995917461	3696788742	640948182648	125800000	1252946372	297279855	170000000	450000135	596548895	5001050	0	0	0	0	68000000	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2335800000	1190000000	737800000	0	0	0	0	1100165598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5370001611	146692800	109000900	0	0	4075880	1212217685	967739730	0	0	0	0	224107807	0	0	264855084	0	0	0	0	20373468	3157879015	713069455	2139210885	0	0	0	2037371	7334428680	2037371	0	0	0	0	0	0	0	6112200	2037400	0	0	0	0	0	0	1018741	193547946	0	0	0	0	0	10186734	101867340	0	0	747725800	21805958	967739730	0	0	0	0	0	0	5093705	0	0	30561000	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1098200000	969000000	625600000	0	0	0	0	1101126892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3390001017	166385752	197370337	2005112	1000170	3108966	853552733	512297382	0	0	0	1018700	201043869	112054074	1990618	1292105548	11205700	0	0	0	10186734	2512720798	1426138910	1050771114	61120404	0	182088740	0	4920055367	0	0	0	60373660	0	10186734	10186734	0	0	1018700	0	0	10186734	0	0	0	1018741	142614276	2000311	0	0	0	0	91680606	173174478	183361212	0	2547612965	17888461	3911705856	0	0	0	0	0	0	20374820	10001555	0	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	547400000	299200000	238000000	0	0	0	0	264854681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790000537	115113100	90664300	0	0	1834146	242443537	234294882	0	0	0	0	20373437	0	0	356535690	0	0	0	0	20373468	305601195	0	550082799	0	0	0	0	1935474235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193547946	0	0	0	0	2037371	0	0	0	0	541948400	7642275	1232594814	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	452200000	204000000	136000000	0	0	0	0	244481244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380000414	79458600	13243100	18336600	4074800	1324661	242443537	203734680	0	0	0	0	40746874	0	0	71307138	0	0	0	0	0	305601195	203734130	325974992	0	0	539896902	0	1324271845	0	0	0	142614276	30560202	10186734	0	0	0	0	0	0	71307138	0	0	0	29543489	50933670	30560565	26485823	0	0	0	10186734	71307138	0	0	425816600	13654198	254668350	0	0	0	0	0	0	147717445	152802825	132429115	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	408000000	149600000	122400000	0	0	0	0	183360933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870000261	96776500	47878900	0	0	611382	207808746	244481616	0	0	0	0	20373437	0	0	71307138	0	0	0	0	0	509335325	0	468589051	0	0	0	0	1324271845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132427542	0	0	0	0	0	0	0	0	0	483882500	3056910	662137710	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x4db0	408000000	200600000	98600000	0	0	0	0	224107807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160000348	48897600	26486200	0	0	1732249	311713119	132427542	0	0	0	0	0	0	0	122240808	0	0	0	0	0	305601195	0	285228118	0	0	0	0	814936520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018741	81493872	0	2037371	0	0	0	0	0	0	0	246525400	8151760	539896902	0	0	0	0	0	0	18337338	0	10186855	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	387600000	81600000	27200000	0	0	0	0	40746874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270000081	82514700	12224400	0	0	1324661	0	30560202	0	0	0	1018700	0	0	0	20373468	0	0	0	0	0	0	0	427842177	0	0	30560202	0	407468260	2037371	0	0	20373468	0	0	0	0	0	0	0	0	0	0	0	0	1018741	101867340	4074742	6112113	0	0	0	0	0	0	0	412573500	6623305	509336700	0	0	0	0	0	0	5093705	20373710	30560565	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	329800000	74800000	64600000	0	0	0	0	81493748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	40748000	17317900	0	0	611382	69269582	112054074	0	0	0	0	0	0	0	40746936	1018700	0	0	0	0	101867065	0	305601555	0	0	0	0	509335325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40746936	0	0	0	0	0	0	0	0	0	203740000	3056910	203734680	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	312800000	74800000	34000000	0	0	0	0	81493748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500000150	4074800	7130900	0	0	101897	34634791	61120404	0	0	0	0	0	0	0	10186734	0	0	0	0	0	0	0	285228118	0	0	0	0	407468260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10186734	0	0	0	0	0	0	0	0	0	20374000	509485	50933670	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	173400000	17000000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130000039	20374000	5093500	0	0	101897	0	0	0	0	0	0	0	0	0	10186734	0	0	0	0	0	0	0	61120311	0	0	0	0	101867065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40746936	0	0	0	0	0	0	0	0	0	101870000	509485	336162222	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
