Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292593800000	54882800000	36947800000	0	0	0	0	55002917448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121010036303	20383997154	376477439	2996277	0	809105108	54697256763	54873160811	0	0	0	999022	219715603	0	0	14279996445	2996277	0	0	0	59908178	60714946016	0	250468825724	0	0	29961980	3994452	333432075267	1996437	0	0	29954089	0	9989957	0	0	0	0	0	0	0	0	0	0	0	86009418412	1996437	0	0	0	0	39944046	79880201	19964132	0	159033020838	4044724923	757750949087	1158359840	299580345	170000000	34000000	260000078	678912610	204000000	0	9982185	0	0	0	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2295000000	1128800000	734400000	0	0	0	0	1157917916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3930001179	134761455	100821533	0	0	3894150	984228767	1008188666	0	0	0	0	239569224	0	0	299461980	0	0	0	0	9982066	2994611790	898383537	1996410200	0	0	0	1996437	7286888689	1996437	0	0	0	0	0	0	0	4991165	1996466	0	0	0	0	0	0	0	199641320	0	0	0	0	0	0	89838594	0	0	1009213563	19470750	1726897418	0	0	0	0	0	169694615	0	0	0	0	0	0	51908116	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1122000000	1064200000	605200000	0	0	0	0	918538088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1290000387	58897325	122819742	999022	0	3096140	780702549	539110474	0	0	0	998233	279544777	99820660	1996546	1507528696	12977029	0	0	0	0	1996881332	1197844716	718802370	39928264	0	259565280	0	3194647136	0	0	998233	189667145	89838594	99820660	69890244	998273	998233	0	0	0	0	0	0	0	5991216	179692970	5989311	1996437	0	0	1996437	29946198	59900287	109802726	0	3201341121	50229369	3893084650	0	0	0	0	0	0	78200000	729745453	1287701865	9982185	0	75868748	75865708	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	731000000	445400000	248200000	0	0	0	0	618887162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165706678	109805630	0	0	3994000	543022768	319426112	0	0	0	0	39928204	0	998273	529049498	0	0	0	0	19964132	499101965	99820393	798564080	0	0	0	0	2495509825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998273	179677188	0	0	0	0	1996437	0	0	0	0	2520538325	15476750	4192467720	0	0	0	0	0	0	17000000	37934374	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	493000000	197200000	142800000	0	0	0	0	199641020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65883378	36934621	0	0	1497750	203633538	309444046	0	0	0	0	19964102	0	0	149730990	0	0	0	0	9982066	99820393	0	539030754	0	0	9982066	0	798563144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79856528	0	0	0	0	0	0	0	0	0	918374360	6989500	1716915352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	428400000	234600000	153000000	0	0	0	0	259533326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	77862174	16969961	19964660	2994699	1098350	271511384	179677188	0	0	0	0	0	0	0	59892396	0	0	0	0	0	199640786	0	339389734	0	0	529049498	0	1497305895	0	0	0	149730990	19964132	9982066	0	0	0	0	0	0	59892396	0	0	0	25955098	69874462	27950118	27950118	0	0	0	0	29946198	0	0	35811608875	9186200	43811287674	0	0	0	0	0	0	0	16273846446	17524723986	17524723986	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	428400000	187000000	125800000	0	0	0	0	159712816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740000222	89840970	46916951	0	0	499250	135755692	169695122	0	0	0	0	0	0	0	69874462	0	0	0	0	0	598922358	0	479138448	0	0	0	0	1197844716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109802726	0	0	0	0	0	0	0	0	0	684787838	2496250	958278336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	370600000	54400000	37400000	0	0	0	0	79856408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230000069	79858640	15971728	0	0	1397900	135755692	79856528	0	0	0	0	0	0	0	29946198	0	0	0	0	0	0	0	399282040	0	0	49910330	1996437	299461179	0	0	0	19964132	0	0	0	0	0	0	0	0	0	0	0	0	998273	109802726	3992874	3992874	0	0	0	0	0	0	0	626890324	8087850	1038134864	0	0	0	0	0	0	0	15972368	35935866	19964370	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	353600000	81600000	40800000	0	0	0	0	39928204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270000081	36934621	14973495	0	0	299550	101816769	89838594	0	0	0	0	0	0	0	29946198	998233	0	0	0	0	199640786	0	359353836	0	0	0	0	698742751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29946198	0	0	0	0	0	0	0	0	0	268524677	1497750	149730990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	319600000	61200000	40800000	0	0	0	0	39928204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10980563	7985864	0	0	399400	135755692	79856528	0	0	0	0	0	0	0	19964132	0	0	0	0	0	99820393	0	339389734	0	0	0	0	299461179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9982066	0	0	0	0	0	0	0	0	0	103816232	1997000	49910330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	139400000	17000000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31943456	30945223	0	0	199700	67877846	29946198	0	0	0	998233	19964102	0	0	0	0	0	0	0	0	0	0	99820510	0	0	0	0	199640786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9982066	0	0	0	0	0	0	0	0	0	387314404	998500	49910330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
