Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292559800000	55154800000	25649600000	0	0	0	0	55494295710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172980051894	20714367742	375234156	998901	0	813640973	54883881238	55325173742	0	0	0	0	139776384	0	0	14480652588	0	0	0	0	0	61308324012	0	253646108622	0	0	39840167	0	334796598643	2025725	0	0	9829193	0	0	10128504	0	0	0	0	0	0	0	0	0	0	83922064313	0	2025725	0	0	0	0	189562103	0	0	4067606657	814194351946	164807386267	720000216	204000000	198810680	1289317993	596029030	119000000	17000000	0	0	10128625	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2339200000	1108400000	659600000	0	0	0	0	1174904724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000009	158008812	104326331	0	0	3748655	1136414796	1033107408	0	0	0	1012877	263340714	0	0	303855120	0	0	0	0	20257008	3241112736	607708638	1985183844	0	0	10128504	2025725	7393788429	0	0	0	0	0	0	0	0	6077262	2025754	0	0	0	0	0	0	0	232955592	0	0	0	0	2025725	10128504	101285040	0	0	20161685	1721845680	1053392080	0	17000000	0	172184060	0	0	0	0	0	0	52669604	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1054000000	1067600000	438600000	0	0	0	0	803812784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2590000777	85883883	132494009	1012877	1012877	2718914	852296254	613344102	0	0	0	0	181923060	81028032	3017812	1691362445	12154524	0	0	1012877	0	2109903517	1417986822	1027024852	101285040	0	211941532	0	5237915211	0	0	2025754	121214611	70404117	80037210	79706936	2009321	0	1012877	0	0	0	0	0	0	2025836	111218673	2025725	0	0	0	0	40514016	50642520	172184568	0	13797200	556093365	429419415	0	0	0	0	101284890	0	0	10129180	10128625	0	0	10046605	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	629000000	482800000	275400000	0	0	0	0	344368626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2590000777	167124705	117493732	0	0	4153915	516552180	476039688	0	0	0	0	40513956	0	1012918	496296696	0	0	0	0	10128504	708993411	0	708994230	0	0	0	0	2937258417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172184568	0	0	0	0	0	0	0	0	0	14690675	860922840	774850905	0	0	0	0	0	0	17000000	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	533800000	163200000	149600000	0	0	0	0	384882582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1290000387	61785497	34437818	0	0	1215780	241057684	151927560	0	0	0	0	20256978	0	0	111413544	0	0	0	0	20257008	101284773	0	405139560	0	0	0	2025725	303854319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012918	91156536	0	0	0	0	0	0	0	0	0	6281530	455782680	330197902	0	0	0	0	0	0	0	5064590	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	445400000	248200000	129200000	0	0	0	0	202569780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010000303	77991529	14180278	18231786	3038631	1114465	275494496	192441576	0	0	0	0	0	0	0	91156536	0	0	0	0	0	303854319	101284773	344368626	0	0	476039688	0	1721841141	0	0	0	151927560	20257008	0	10128504	0	0	0	0	0	70899528	0	0	0	28361704	60771024	30385875	28360150	0	0	0	0	20257008	0	0	9118350	303855120	599623184	0	0	0	0	0	0	0	141808520	151929375	141800750	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	414800000	244800000	112200000	0	0	0	0	182312802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73940021	44566588	0	0	911835	103310436	182313072	0	0	0	0	0	0	0	81028032	0	0	0	0	0	607708638	0	526681428	0	0	0	0	1012847730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91156536	0	0	0	0	0	0	0	0	0	4559175	678609768	458833281	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	401200000	71400000	34000000	0	0	0	0	81027912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64824128	15193155	0	0	1013150	68873624	70899528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384882582	0	0	50642520	2025725	405139092	2025725	0	0	30385512	0	0	0	0	0	0	0	0	10128504	0	0	0	1012918	81028032	4051450	4051450	0	0	0	0	0	0	0	5065750	516553704	402112169	0	0	0	0	0	0	0	5064590	42540225	20257250	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	367200000	95200000	44200000	0	0	0	0	121541868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500000150	3038631	11141647	0	0	202630	103310436	30385512	0	0	0	0	0	0	0	10128504	0	0	0	0	0	0	0	303854670	0	0	0	0	202569546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40514016	0	0	0	0	0	0	0	0	0	1013150	202570080	15193155	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	333200000	61200000	27200000	0	0	0	0	40513956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29373433	13167401	0	0	709205	172184060	70899528	0	0	0	0	0	0	0	20257008	1012877	0	0	0	0	101284773	101284773	324111648	0	0	0	0	708993411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012918	40514016	0	0	0	0	0	0	0	0	0	3546025	313983624	180292106	0	0	0	0	0	0	0	5064590	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	142800000	27200000	13600000	0	0	0	0	20256978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140000042	29373433	13167401	0	0	101315	0	20257008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121541868	0	0	0	0	101284773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60771024	0	0	0	0	0	0	0	0	0	506575	303855120	146867165	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
