Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	829137600000	157943600000	43390800000	0	0	0	0	157847797929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373520112056	60222507035	649311012	149032080	0	2313204739	156657814808	157679122129	0	0	0	1997949	420397889	0	996793	43374417185	997259	0	0	0	160091100	181102607992	400226688	714400213864	0	0	320083025	1993477	949043159213	1993477	0	0	270012960	0	9967266	0	0	0	0	0	0	50094271	0	0	0	78060834	246039484635	19997265	30004277	0	0	0	30159739	259895756	0	0	3225692512570	619532088593	11621033162	493000000	614412778	780000234	750397040	183743700	171960753	9989745	1996916055	153000000	2614529330	68000000	0	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2318800000	1125400000	731000000	0	0	0	0	1027806672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6810002043	145106208	104798928	0	0	3830210	1096325504	947195794	0	0	0	0	241836864	0	0	251913775	0	0	0	0	0	2619896292	906887178	2055613344	0	0	0	0	6549740730	2015334	0	0	0	0	0	0	0	5038410	1007682	0	0	0	0	0	0	1007722	191454469	0	0	0	0	0	10076551	90688959	0	0	957272345	767853684	19856615	0	5038610	0	0	0	0	0	100765360	0	0	0	25192050	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1428000000	1298800000	510000000	0	0	0	0	1524861527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007682	0	3960001188	192357447	324263901	1007682	0	7219647	1976965183	902983879	0	0	0	5013497	381215348	90688959	3016174	2459120900	9051217	0	0	0	0	2509179398	403060968	1466423400	60459306	0	421221029	1994488	6715470034	4009822	0	2015364	160379584	60280107	40196919	10076551	1007722	0	1007682	0	0	30055509	0	0	0	6997741	180597545	16009300	12013461	0	0	0	0	110558632	120918612	0	2906305790	1818202282	54244807	17000000	45996735	50000015	0	142033477	60067305	0	241836864	17000000	0	0	0	0	5038610	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	635800000	312800000	0	0	0	0	0	322449152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108829656	81622242	0	0	2620670	445382236	241837224	0	0	0	0	20153072	0	0	433291693	0	0	0	0	20153102	201530484	0	584439088	0	0	0	2015334	2015304840	2015334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261990326	0	0	0	0	2015334	0	0	0	0	4534447950	1410754800	11994605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	452200000	224400000	142800000	0	0	0	0	261989936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1510000453	78599196	14107548	18138276	2015364	1209540	171300860	251913775	0	0	0	0	0	0	0	80612408	0	0	0	0	0	503826210	0	483673728	0	0	594516509	0	1813774356	0	0	0	120918612	20153102	0	0	0	0	0	0	0	70535857	0	0	0	26200772	50382755	24184008	24184008	0	0	0	0	20153102	0	0	251913775	539109870	13002555	0	131003860	0	0	120920040	120920040	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	438600000	193800000	105400000	0	0	0	0	201530720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120000336	80614560	45345690	0	0	1007950	274081376	231760673	0	0	0	0	20153072	0	0	100765510	0	0	0	0	0	806121936	100765242	503826800	0	0	0	0	1309948146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120918612	0	0	0	0	0	0	0	0	0	604593060	403072800	5039750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x4db0	418200000	207400000	0	0	0	0	0	161224576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46353372	23176686	0	0	1108745	102780516	141071714	0	0	0	0	20153072	0	0	70535857	0	0	0	0	0	0	0	221683792	0	0	0	0	1209182904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007722	40306204	0	0	0	0	0	0	0	0	0	423215142	649954890	5543725	0	16123552	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	370600000	74800000	57800000	0	0	0	0	100765360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	58445556	15115230	0	0	705565	34260172	40306204	0	0	0	0	0	0	0	10076551	0	0	0	0	0	100765242	0	423214512	0	0	60459306	0	503826210	0	0	0	20153102	0	0	0	0	0	0	0	0	0	0	0	0	0	90688959	2015334	2015334	0	0	0	0	0	0	0	453444795	292227780	3527825	0	0	0	0	10076670	10076670	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	336600000	71400000	34000000	0	0	0	0	80612288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480000144	32245824	12092184	0	0	705565	34260172	130995163	0	0	0	0	0	0	0	10076551	1007682	0	0	0	0	0	0	282143008	0	0	0	0	604591452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60459306	0	0	0	0	0	0	0	0	0	302296530	161229120	3527825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	333200000	88400000	0	0	0	0	0	40306144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5038410	7053774	0	0	0	34260172	60459306	0	0	0	0	0	0	0	10076551	0	0	0	0	0	100765242	0	181377648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115883430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	132600000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26199732	11084502	0	0	100795	68520344	20153102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120918432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70535857	0	0	0	0	0	0	0	0	0	1370410936	554225100	503975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
