Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	828321600000	157454000000	69203600000	0	0	0	0	157392786034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451580135474	63244967519	647106437	174559855	0	2303777247	156740399343	156770897285	0	0	0	0	461532518	0	1006055	43391553443	1002296	0	0	0	130452509	180789722480	100226637	715291909713	0	0	230791486	0	955211783794	0	0	0	170529066	0	10042296	0	0	0	0	0	0	40217278	0	0	0	51173287	248369562032	18065701	16048127	0	0	0	20115103	200809348	0	0	506651310591	11559527031	740000222	2391487032178	363800000	1705633385	385457131	197200000	902001200	1504442530	292400000	217014130	94324635	0	0	0	5021280	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2322200000	1213800000	717400000	0	0	0	0	1086465366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6820002046	140842100	100601500	0	1006015	3924492	923494203	1036167537	0	0	0	0	201197290	0	0	291736491	0	0	0	0	10059879	3118554337	804788216	2152811003	0	0	0	2012000	7142495417	4024000	0	0	10059879	0	10059879	0	0	4024060	2012030	0	0	0	0	0	0	1006055	201197580	0	0	0	0	0	10059879	100598790	0	0	1915452560	21031252	0	3541077408	0	0	5030275	17000000	50299395	0	0	0	0	83499245	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1445000000	1394000000	646000000	0	0	0	0	1324971615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3970001191	74369801	237894149	5021882	2010271	4716802	1330568596	783221131	0	0	0	3017579	301470014	100598790	6026667	2390190183	18108270	0	0	1006015	0	3415968603	1709540393	2411253459	70419153	0	623103475	2012000	6631959190	2012000	0	1006015	241030088	70378295	60345309	10055224	1006055	0	0	0	0	0	0	0	0	9028782	281463125	12044660	8027166	0	0	4024000	30179637	90371923	150898185	0	761123868	30010409	0	1517565215	0	0	72259902	0	0	320034032	17000000	209029482	40135830	0	0	5030275	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	561000000	326400000	0	0	0	0	0	382274851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157944355	111667665	0	0	3723236	581459313	392335281	0	0	0	0	40239458	0	0	543233466	0	0	0	0	20119758	201197054	0	362155122	0	0	0	2012000	2011970540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160958064	0	0	0	0	0	0	0	0	0	13298512285	15094200	0	20310895701	0	0	0	0	50299395	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	465800000	197200000	0	0	0	0	0	261556477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57342855	34204510	0	0	1610048	136813956	191137701	0	0	0	0	0	0	0	100598790	0	0	0	0	0	201197054	0	442634038	0	0	0	0	905386743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006055	50299395	0	0	0	0	0	0	0	0	0	4702114110	8754636	0	8349699570	17000000	0	19115045	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	418200000	234600000	153000000	0	0	0	0	241436748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	84505260	17102255	18108270	2012030	1207536	205220934	281676612	0	0	0	0	0	0	0	100598790	0	0	0	0	0	201197054	100598527	321915664	0	0	523113708	0	1609576432	0	0	0	160958064	20119758	0	0	0	0	0	0	0	70419153	0	0	0	26157430	70419153	32192000	28168000	0	0	0	0	30179637	0	0	474839080	11773476	0	352095765	0	0	130787150	0	0	0	0	160960000	140840000	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	404600000	47600000	44200000	0	0	0	0	80478916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410000123	64384960	14084210	0	0	1006280	0	40239516	0	0	0	0	0	0	0	60359274	0	0	0	0	0	0	0	281676206	0	0	70419153	0	301795581	0	0	0	10059879	0	0	0	0	0	0	0	0	0	0	0	0	0	110658669	0	2012000	0	0	0	0	0	0	0	1019093195	5031400	0	1820838099	0	0	0	0	0	0	0	0	10060000	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	387600000	163200000	136000000	0	0	0	0	160957832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130000339	77463155	44264660	0	0	704396	376238379	221317338	0	0	0	0	0	0	0	50299395	0	0	0	0	0	402394108	0	502993225	0	0	0	0	1005985270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100598790	0	0	0	0	0	0	0	0	0	1084484170	3521980	0	2404311081	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	340000000	81600000	0	0	0	0	0	120718374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10060150	8048120	0	0	301884	136813956	90538911	0	0	0	0	0	0	0	10059879	0	0	0	0	0	100598527	0	321915664	0	0	0	0	301795581	0	0	0	10059879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353111265	1509420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	329800000	64600000	51000000	0	0	0	0	100598645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	32192480	15090225	0	0	603768	68406978	80479032	0	0	0	0	0	0	0	20119758	0	0	0	0	0	201197054	0	342035393	0	0	0	0	502992635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30179637	0	0	0	0	0	0	0	0	0	541236070	3018840	0	784670562	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	153000000	30600000	0	0	0	0	0	80478916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30180450	18108270	0	0	301884	0	40239516	0	0	0	0	0	0	1006055	20119758	0	0	0	0	0	0	0	120718374	0	0	0	0	100598527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40239516	0	0	0	0	0	0	0	0	0	193154880	1509420	0	5693891514	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	146200000	3400000	0	0	0	0	0	40239458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704396	0	60359274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201197290	0	0	0	0	100598527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30179637	0	0	0	0	0	20119758	10059879	0	0	0	3521980	0	150898185	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	119000000	47600000	0	0	0	0	0	60359187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012030	0	0	603768	68406978	70419153	0	0	0	0	0	0	0	0	0	0	0	0	0	301795581	100598527	261556477	0	0	40239516	0	100598527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20119758	0	0	0	0	0	20119758	20119758	0	0	0	3018840	0	100598790	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
adler32_z	108800000	27200000	0	0	0	0	0	20119729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26156390	10060150	0	0	201256	68406978	40239516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120718374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20119758	0	0	0	0	0	0	0	0	0	444658630	1006280	0	382275402	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	adler32_z	[Unknown]	0x6ba0
func@0x9240	88400000	64600000	27200000	0	0	0	0	60359187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320000096	6036090	3018045	0	0	100628	102610467	0	0	0	0	0	0	0	0	10059879	0	0	0	0	0	301795581	0	120718374	0	0	0	0	100598527	0	0	0	10059879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93559395	503140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
func@0xb4c0	64600000	6800000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000012	1006015	0	0	0	0	0	10059879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20119729	0	0	0	0	301795581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20119758	0	0	0	0	0	0	0	0	0	5030075	0	0	100598790	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xb4c0	[Unknown]	0xb4c0
func@0x36390	61200000	13600000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130000039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20119729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x36390	[Unknown]	0x36390
__memmove_avx_unaligned_erms	30600000	227800000	125800000	0	0	0	0	301795935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060000318	1006015	0	1006015	3018045	100628	307831401	110658669	0	0	0	1006015	140838103	0	0	241437096	63378945	0	0	1006015	0	704189689	100598527	60359187	0	0	80479032	2012000	1307780851	6036000	0	0	70419153	80479032	40239516	40239516	0	2012030	0	0	0	0	0	0	0	1006055	0	0	0	0	0	2012000	30179637	50299395	0	0	5030075	503140	50000015	0	0	11937017661	5030275	1424600000	17504189460	18932664989	3457800000	0	0	10060150	351099235	0	5030075	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x188a80
