Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	829032200000	158293800000	68714000000	0	0	0	0	158096155462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291320087396	68483536080	632753487	125516707	0	2300153167	157401377714	157646472383	0	0	0	0	542813277	0	1006675	44387938400	1008490	0	0	0	150616844	182706327440	401251111	715804284903	0	0	602568616	0	955524119923	2013239	0	0	482019729	0	0	0	0	0	0	0	0	160691724	0	0	0	137633499	248547871317	34163884	44183467	0	0	2016951	10070966	281217144	10084637	0	1332115792	2524297266318	587415190347	11563132331	1424315470	527000000	253160264	339352952	299200000	2284250361	560000168	751780635	163200000	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2223600000	1081200000	710600000	0	0	0	0	1109308365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6820002046	138163130	96815040	0	0	3228032	1028629890	917701967	0	0	0	0	141184701	0	0	272285199	0	0	0	0	20169274	2722844646	907614882	2037093543	0	0	0	2016951	6554996370	4033902	0	0	0	0	0	10084637	0	4033960	2016980	0	0	0	0	0	0	0	181523466	0	0	0	0	0	10084637	90761733	0	0	0	1351341358	897556100	18258556	0	17000000	0	0	0	0	0	0	0	0	31263190	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1349800000	1315800000	561000000	0	0	0	0	1590868294	0	0	0	0	0	0	0	0	0	0	0	0	300045	5000015	0	10000030	5000015	0	0	0	0	3300000990	129032474	305771831	3019189	1008490	5829279	1608777969	1066380013	0	0	0	1008490	140856330	141184918	1008531	1880686110	12101880	0	0	0	0	1609032873	907341472	1450003630	70592459	0	392569115	2016951	6542255647	0	0	0	100766644	50431990	40319986	0	0	0	1008490	0	0	20169274	0	0	0	11066224	312193978	18077559	8061358	0	0	0	110667789	221137002	171408247	0	209168336	1560969890	669361665	40550066	0	0	90387795	72578006	0	0	50000015	0	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	554200000	289000000	0	0	0	0	0	302538645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119001820	96815040	0	0	2723652	445739619	252115925	0	0	0	0	40338486	0	0	413470117	0	0	0	0	10084637	201692196	0	645415776	0	0	0	2016951	3529613430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141184918	0	0	0	0	0	0	0	0	0	0	1482441639	977226810	8070080	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	462400000	224400000	0	0	0	0	0	181523187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54458460	22186780	0	0	1210512	102862989	110931007	0	0	0	0	0	0	0	121015644	0	0	0	0	10084637	100846098	0	403384860	0	0	0	0	1008460980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70592459	0	0	0	0	0	0	0	0	0	0	796686323	519372350	6052560	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	435200000	227800000	153000000	0	0	0	0	262200159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380000414	71602790	16135840	26220740	0	1513140	308588967	262200562	0	0	0	0	0	0	0	70592459	0	0	0	0	0	504230490	0	403384860	0	0	292454473	0	806768784	0	0	0	30253911	20169274	20169274	20169274	0	0	0	0	0	70592459	0	0	0	34290054	80677096	26220363	30254265	0	0	0	30253911	50423185	0	0	187586766	403385480	485083690	14223516	0	0	131101815	151271325	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	411400000	210800000	122400000	0	0	0	0	60507729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1090000327	76645240	42356580	0	0	1311388	102862989	221862014	0	0	0	0	80676972	0	0	110931007	0	0	0	0	0	302538294	0	524400318	0	0	0	0	1411845372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161354192	0	0	0	0	0	0	0	0	0	0	1139563981	538533660	6556940	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	397800000	71400000	44200000	0	0	0	0	221861673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400000120	73619770	14118860	0	0	706132	68575326	30253911	0	0	0	0	0	0	0	40338548	0	0	0	0	0	0	0	383215617	0	0	50423185	2016951	302538294	0	0	0	10084637	0	0	0	0	0	0	0	0	0	0	0	0	1008531	80677096	6050853	6050853	0	0	0	0	0	0	0	5042655	514316487	501219530	3530660	0	0	30254265	30254265	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	343400000	81600000	57800000	0	0	0	0	60507729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	36305640	19161310	0	0	1109636	205725978	80677096	0	0	0	0	0	0	0	0	2016980	0	0	0	0	201692196	100846098	262200159	0	0	0	0	302538294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90761733	0	0	0	0	0	0	0	0	0	0	564739672	214808370	5548180	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	340000000	71400000	0	0	0	0	0	80676972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3025470	3025470	0	0	0	34287663	100846370	0	0	0	0	0	0	0	20169274	0	0	0	0	0	201692196	0	463892589	0	0	0	0	605076588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15127350	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	166600000	27200000	0	0	0	0	0	20169243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18152820	7059430	0	0	302628	34287663	20169274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80676972	0	0	0	0	100846098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50423185	0	0	0	0	0	0	0	0	0	0	473977939	142197090	1513140	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
