Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	24435800000	5225800000	3454400000	0	0	0	0	5350286993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24010007203	2233578186	119228111	0	0	74866711	4393367147	5221814765	0	0	0	0	89552412	0	0	1898935747	0	0	0	0	75415682	2770441445	0	16989018223	0	0	9350014	0	18642673757	0	0	0	0	0	10486154	0	0	0	0	0	0	0	0	0	0	0	4794921347	0	0	0	0	0	7068431	44776272	0	0	13431429594	368849447	35220368415	68000000	424836100	17000000	151686075	0	0	0	0	0	0	0	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2359600000	1060800000	683400000	0	0	0	0	1111530681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6770002031	155199164	104864300	1048643	1048643	3881004	1212195778	1059101554	0	0	0	0	209722770	0	0	262153850	0	0	0	0	20972308	3355560320	838890080	2118199977	0	0	10486154	4194512	7340288200	2097256	0	0	0	0	0	0	0	6291858	3145929	0	0	0	0	0	0	1048685	241181542	2097256	0	0	0	0	20972308	83889232	0	0	8586288884	20558832	16452775626	0	0	0	0	5243425	10486280	0	0	405824841	104861385	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	901000000	622200000	397800000	0	0	0	0	293982243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2720000816	47188935	42543413	0	0	911544	178264085	225449867	0	0	0	2097286	167778216	115347694	0	990502061	16778288	0	0	0	0	1405522039	909574205	461390094	62916924	0	227689245	2097256	3984727880	2097256	0	3145929	71087903	34999091	59512028	73538811	1865837	0	0	0	0	0	0	0	0	1865837	220209234	2097256	0	0	0	0	10486154	41944616	146806156	0	953216487	5716248	1939938490	3658400000	0	0	0	9329185	44042376	0	0	0	0	0	9329185	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	741200000	289000000	170000000	0	0	0	0	524306925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185609811	143664091	0	0	3881004	392180987	356529236	0	0	0	0	41944554	0	0	335556928	0	0	0	0	10486154	629167560	0	922780188	0	0	0	0	1992363940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167778464	0	0	0	0	2097256	0	0	0	0	1376868259	16258260	1646326178	0	0	17000000	0	0	0	0	0	0	335556432	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	618800000	214200000	163200000	0	0	0	0	272639601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87037369	48237578	0	0	2832084	320875353	199236926	0	0	0	0	0	0	0	104861540	0	0	0	0	10486154	0	0	671112864	0	0	0	0	1153473860	0	0	0	10486154	0	0	0	0	0	0	0	0	0	0	0	0	0	73403078	0	0	0	0	0	0	0	0	0	647012731	14055528	713058472	0	0	0	0	0	0	0	0	0	104861385	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	448800000	234600000	156400000	0	0	0	0	251667324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420000426	82842797	18875574	19924217	2097286	1153812	249569719	251667696	0	0	0	0	20972277	0	0	104861540	0	0	0	0	0	209722520	209722520	461390094	0	0	534793854	0	1782641420	0	0	0	178264618	0	10486154	10486154	0	0	0	0	0	73403078	0	0	0	31460550	52430770	25167072	25167072	0	0	0	0	31458462	0	0	494959496	15104448	262153850	0	820014791	0	0	157302750	125835360	125835360	5243215	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	411400000	68000000	37400000	0	0	0	0	62916831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	84940083	19924217	0	0	839136	142611268	52430770	0	0	0	0	0	0	0	20972308	0	0	0	0	0	104861260	0	356528709	0	0	41944616	0	629167560	2097256	0	0	10486154	0	0	0	0	0	0	0	0	10486154	0	0	0	1048685	115347694	2097256	4194512	0	0	0	0	0	0	0	4882481808	4195680	4592935452	0	0	0	0	20973700	10486280	52431400	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	397800000	241400000	122400000	0	0	0	0	230695047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1090000327	85988726	52432150	0	0	1153812	142611268	199236926	0	0	0	0	20972277	0	0	104861540	0	0	0	0	0	419445040	0	524306925	0	0	0	0	943751340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83889232	0	0	0	0	0	0	0	0	0	3507710835	5769060	7791212422	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	329800000	74800000	61200000	0	0	0	0	62916831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9437787	9437787	0	0	209784	106958451	104861540	0	0	0	0	0	0	0	20972308	0	0	0	0	0	104861260	0	524306925	0	0	0	2097256	314583780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10486154	0	0	0	0	0	0	0	0	0	47188935	1048920	167778464	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	316200000	74800000	47600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390000117	40897077	17826931	0	0	1048920	142611268	94375386	0	0	0	0	0	0	0	10486154	0	0	0	0	0	209722520	0	419445540	0	0	0	0	524306300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31458462	0	0	0	0	0	0	0	0	0	2092042785	5244600	3785501594	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	149600000	27200000	10200000	0	0	0	0	41944554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27264718	28313361	0	0	314676	35652817	31458462	0	0	0	1048643	0	0	0	10486154	0	0	0	0	0	0	0	125833662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41944616	0	0	0	0	0	0	0	0	0	189804383	1573380	325070774	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
