Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	26288800000	6582400000	3865800000	6508646157	0	0	0	0	0	0	0	0	0	0	0	0	0	27380008214	12217288	4292506	4292506	10853153363	4543313653	232329809	387802	0	0	0	0	2962523636	178951293	3399320905	120271580	5879129135	23434435982	30714706621	1982168677	0	0	0	0	0	0	22750345831	gaussian	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	2723400000	1003000000	469200000	1043353180	0	0	0	0	0	0	0	0	0	0	0	0	0	4280001284	0	0	0	742065378	641713463	8338947	0	0	0	0	202029014	349966644	12391485	601621846	0	204454700	3462009553	3681117814	484762253	0	0	0	0	0	0	3522296425	gaussian	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2322200000	1074400000	734400000	1039239278	0	0	0	0	0	0	0	0	0	0	0	0	0	6780002034	0	3877764	0	283076772	1186592310	209398959	0	2326686	0	0	146583108	275321244	15511056	2830760347	853105858	305575368	2093989590	7328954871	0	0	0	0	0	0	0	2062967522	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	924800000	700400000	445400000	482732356	0	0	0	0	0	0	0	0	0	0	0	0	0	3520001056	72190938	59760584	31819174	163542486	501005642	77555170	1986512	1551124	0	0	149671756	896173224	0	1744461670	1434768943	269760667	1263307677	4523875487	0	0	0	0	0	0	0	771558274	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	887400000	340000000	258400000	387775850	0	0	0	0	0	0	0	0	0	0	0	0	0	1670000501	0	0	0	434309568	435083847	23266551	0	0	0	0	212894514	283076772	11633292	387775390	0	335822676	767796183	2287874801	0	0	0	0	0	0	0	1527836849	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	710600000	285600000	159800000	333487231	0	0	0	0	0	0	0	0	0	0	0	0	0	1180000354	0	0	0	178377144	290055898	23266551	0	0	0	0	68250336	131843976	3877764	116332617	0	143093034	697996530	1395991404	0	0	0	0	0	0	0	953928591	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	418200000	197200000	129200000	248176544	0	0	0	0	0	0	0	0	0	0	0	0	0	1160000348	27144348	3877764	7755528	124088448	171396667	0	0	42655910	0	0	22879374	96944100	0	542885546	0	157441116	387775850	1240881248	0	0	0	0	0	0	0	635952394	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	401200000	105400000	54400000	38777585	0	0	0	0	0	0	0	0	0	0	0	0	0	380000114	0	0	0	127966212	65921795	0	0	4653372	0	0	24430518	15511056	0	0	0	146195322	395531367	348997851	0	0	0	0	0	0	0	387775850	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x3b600 in func@0x39a20]	329800000	71400000	40800000	93066204	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	0	0	0	89188572	79106154	7755517	0	0	0	0	22103802	11633292	0	232665234	0	73291554	333487231	659218163	0	0	0	0	0	0	0	279198612	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop@0x4d3e0 in func@0x4d370]	326400000	149600000	91800000	224909993	0	0	0	0	0	0	0	0	0	0	0	0	0	960000288	0	0	0	124088448	118659231	23266551	0	0	0	0	72128196	69799752	0	581663085	38777539	139990746	418797918	814328319	0	0	0	0	0	0	0	535130673	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	323000000	57800000	27200000	80640094	0	0	0	0	0	0	0	0	0	0	0	0	0	270000081	0	0	0	165966183	27707965	0	0	0	0	0	21855877	41019791	4276295	40678522	0	40312892	188576044	250726121	39963816	0	0	0	0	0	0	269651386	gaussian	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
[Loop@0x8140 in func@0x7ff0]	190400000	37400000	13600000	46533102	0	0	0	0	0	0	0	0	0	0	0	0	0	120000036	0	0	0	7755528	39553077	0	0	0	0	0	6592362	0	0	38777539	0	3877860	139599306	155110156	0	0	0	0	0	0	0	124088272	libz.so.1.3	[Loop@0x8140 in func@0x7ff0]	[Unknown]	0x8140
[Loop@0x8258 in func@0x7ff0]	176800000	61200000	13600000	54288619	0	0	0	0	0	0	0	0	0	0	0	0	0	140000042	0	0	0	11633292	52737436	0	0	0	0	0	3877860	7755528	0	77555078	0	5429004	162865857	116332617	0	0	0	0	0	0	0	139599306	libz.so.1.3	[Loop@0x8258 in func@0x7ff0]	[Unknown]	0x8258
[Loop@0x283e8 in png_write_row]	149600000	20400000	17000000	7755517	0	0	0	0	0	0	0	0	0	0	0	0	0	100000030	0	0	0	73677516	39553077	0	0	0	0	0	19001514	3877764	0	0	0	33737382	69799653	77555078	0	0	0	0	0	0	0	147354823	libpng16.so.16.43.0	[Loop@0x283e8 in png_write_row]	[Unknown]	0x283e8
[Loop@0x6c20 in adler32_z]	78200000	27200000	13600000	46533102	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	0	0	0	42655404	26368718	0	0	0	0	0	3102288	0	0	77555078	0	23654946	93066204	155110156	0	0	0	0	0	0	0	54288619	libz.so.1.3	[Loop@0x6c20 in adler32_z]	[Unknown]	0x6c20
func@0x4d370	78200000	20400000	20400000	46533102	0	0	0	0	0	0	0	0	0	0	0	0	0	160000048	0	0	0	54288696	0	7755517	0	0	0	0	0	0	0	77555078	0	29471736	85310687	271442773	0	0	0	0	0	0	0	38777585	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
std::vector<float, std::allocator<float>>::push_back	78200000	0	10200000	7755517	0	0	0	0	0	0	0	0	0	0	0	0	0	70000021	0	0	0	0	13184359	0	0	0	0	0	0	0	0	0	0	0	38777585	348997851	0	0	0	0	0	0	0	54288619	gaussian	std::vector<float, std::allocator<float>>::push_back(float const&)	stl_vector.h	0x40276f
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	71400000	23800000	10200000	7755517	0	0	0	0	0	0	0	0	0	0	0	0	0	100000030	0	0	0	38777640	0	0	0	0	0	0	0	3877764	0	0	0	71740410	186132408	77555078	0	0	0	0	0	0	0	23266551	gaussian	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
[Loop at line 396 in FilterHandler::saveImage]	61200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	[Loop at line 396 in FilterHandler::saveImage(Tensor<float> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)]	FilterHandler.cpp	0x408140
[Loop@0x36430 in func@0x36390]	54400000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000015	0	0	0	0	0	0	0	0	0	0	387786	0	0	38777539	0	0	62044136	77555078	0	0	0	0	0	0	0	54288619	libtiff.so.6.0.1	[Loop@0x36430 in func@0x36390]	[Unknown]	0x36430
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	54400000	34000000	20400000	15511034	0	0	0	0	0	0	0	0	0	0	0	0	0	210000063	3877764	3877764	3877764	42655404	26368718	7755517	0	0	0	0	7755720	19388820	0	155110156	38777539	48473250	248176544	504108007	0	0	0	0	0	0	0	69799653	gaussian	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
[Loop@0x74d8 in crc32_z]	47600000	3400000	3400000	7755517	0	0	0	0	0	0	0	0	0	0	0	0	0	40000012	0	0	0	7755528	39553077	7755517	0	0	0	0	0	3877764	0	0	0	9694650	31022068	38777539	0	0	0	0	0	0	0	46533102	libz.so.1.3	[Loop@0x74d8 in crc32_z]	[Unknown]	0x74d8
[Loop@0xb570 in func@0xb4c0]	37400000	6800000	6800000	15511034	0	0	0	0	0	0	0	0	0	0	0	0	0	70000021	0	0	3877764	3877764	0	0	0	0	0	0	0	0	0	0	0	4653432	23266551	116332617	0	0	0	0	0	0	0	54288619	libdeflate.so.0	[Loop@0xb570 in func@0xb4c0]	[Unknown]	0xb570
