Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29308000000	5443400000	3437400000	0	0	0	0	5399924580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8810002643	1814351080	120523099	0	0	79680377	5390328534	5434574739	0	0	0	0	56130780	0	0	1822783302	1081691	0	0	0	8624403	4687756629	108165971	24799103040	0	0	19441029	2163351	32055689712	0	0	0	0	0	10816626	0	0	0	0	0	0	0	0	0	0	0	8055307164	0	0	0	0	0	19441029	66947490	0	0	0	122963333850	0	0	22607032623	393434906	216332200	0	102000000	0	0	0	100000030	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2301800000	1183200000	710600000	0	0	0	0	1146560660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6030001809	148191667	104924027	0	0	3895128	1397503922	1124929104	0	0	0	0	216332200	0	0	335315406	0	0	0	0	10816626	2920481217	1081659710	2314754540	10816626	0	0	0	7355286028	4326702	0	0	10816626	0	0	0	0	6490146	3245073	0	0	0	0	0	0	1081735	173066016	0	0	0	0	0	21633252	108166260	0	0	5408675	865330080	0	0	756102009	21423204	0	32450730	17000000	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
deflate	928200000	370600000	234600000	0	0	0	0	605730160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140619830	125476156	0	0	4111524	220658514	313682154	0	0	0	0	43266440	0	0	389398536	0	0	0	0	10816626	757161797	0	1146560660	0	0	0	4326702	2487817333	2163351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346132032	0	0	0	0	0	0	0	0	0	0	5365046496	0	0	665239965	17311680	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
[Outside any known module]	850000000	629000000	363800000	0	0	0	0	630591900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680000204	144963536	122057695	1081691	0	2397944	844875105	490265682	0	0	0	1081691	64899660	75716382	1081735	720329496	12980292	0	0	0	0	2704149275	1514323594	1060027780	108166260	0	108166260	0	2920481217	0	0	2163382	95157411	32449878	0	0	1081735	0	0	0	0	0	0	0	0	1081735	183882642	2163351	2163351	0	0	2163351	54083130	140616138	183882642	0	5408675	2898855768	10816755	10816755	775772749	11454518	108166100	0	0	0	183882095	5408675	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
func@0x4db0	751400000	285600000	187000000	0	0	0	0	237965420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59493005	35695803	0	0	1190178	478093447	248782398	0	0	0	0	0	0	0	118982886	0	0	0	0	10816626	0	0	800429140	0	0	0	0	1730655536	0	0	0	0	0	0	0	0	0	0	0	0	10816626	0	0	0	1081735	140616138	0	0	0	0	0	0	0	0	0	5408675	1914542802	0	0	303955171	6708276	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	465800000	251600000	146200000	0	0	0	0	237965420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1480000444	111414173	20552129	29205657	4326764	1514772	257434933	205515894	0	0	0	0	21633220	0	0	108166260	0	0	0	0	0	216331942	0	43266440	0	0	313682154	0	1189825681	0	0	0	140616138	21633252	10816626	10816626	0	0	0	0	0	64899756	0	0	0	30288580	54083130	32450265	34613616	0	0	0	0	32449878	0	0	151442900	270415650	162251325	173068080	691200549	16554294	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	438600000	183600000	119000000	0	0	0	0	302865080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1020000306	83290207	47594404	0	0	973782	73552838	227149146	0	0	0	0	43266440	0	0	86533008	0	0	0	0	0	865327768	0	540830500	0	0	0	0	1297991652	0	0	0	0	0	0	0	0	0	0	0	0	10816626	0	0	0	0	151432764	0	0	0	0	0	0	0	0	0	0	757163820	0	0	416451035	4868910	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	353600000	61200000	44200000	0	0	0	0	86532880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330000099	71391606	15143674	0	0	1081980	36776419	43266504	0	0	0	0	0	0	0	10816626	0	0	0	0	0	0	0	259598640	0	0	75716382	4326702	540829855	0	0	0	21633252	0	0	0	0	0	0	0	0	0	0	0	0	1081735	75716382	4326702	4326702	0	0	0	0	0	0	0	5408675	378581910	21633510	21633510	372101704	6816474	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	350200000	74800000	54400000	0	0	0	0	64899660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	34614112	17307056	0	0	540990	110329257	75716382	0	0	0	0	0	0	0	10816626	0	0	0	0	0	108165971	0	432664400	0	0	0	0	324497913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75716382	0	0	0	0	0	0	0	0	0	0	378581910	0	0	173070560	2704950	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x80be	302600000	34000000	47600000	0	0	0	0	86532880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3245073	2163382	0	0	432792	147105676	97349634	0	0	0	0	0	0	0	32449878	0	0	0	0	0	108165971	0	367764740	0	0	10816626	0	540829855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16225365	2163960	0	0	0	0	0	0	0	libz.so.1.3	func@0x80be	[Unknown]	0x80be
png_write_row	170000000	30600000	13600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11898601	9735219	0	0	432792	0	10816626	0	0	0	0	0	0	0	21633252	0	0	0	0	0	0	0	86532880	0	0	0	0	216331942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32449878	0	0	0	0	0	0	10816626	0	0	0	465114918	0	0	59493005	2163960	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
