Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	126755400000	24065200000	11288000000	0	0	0	0	24542382900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104020031206	8879968984	259868001	0	0	357605164	24220425328	24302190006	0	0	0	0	120788040	0	0	7274468529	0	0	0	0	40134468	25282723478	0	108462275580	0	0	20067234	0	144086204864	0	0	0	10129821	0	0	0	0	0	0	0	0	0	0	0	0	0	36873253863	0	0	0	0	0	10129821	60201702	0	0	525627188247	97935542323	1787584630	85000000	150000045	99373980	51000000	17000000	344412900	50649105	0	0	0	0	0	0	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2339200000	1111800000	0	0	0	0	0	1175057496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6880002064	143847278	102313909	0	0	4458432	1274327730	1002852279	0	0	0	0	263374956	0	0	314024451	0	0	0	0	20259642	3038938260	810383536	2167778484	0	0	0	0	6989557998	2025988	0	0	10129821	0	0	0	0	6078054	2026018	0	0	0	0	0	0	0	212726241	0	0	0	0	2025988	20259642	91168389	0	0	1063631205	1175090440	22292160	17000000	0	0	0	0	0	50649105	0	0	0	0	30390270	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	965600000	809200000	193800000	0	0	0	0	525210648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2770000831	86105765	97992499	1013009	2026018	2318994	618634846	434043039	0	0	0	2026018	160922448	60778926	0	1050230448	16208144	0	0	0	0	1700900156	1504076506	1099270836	20259642	0	310176291	2025988	4233348706	0	0	2026018	50264289	30389463	30389463	30389463	1013050	0	1013009	0	0	0	0	0	0	2026100	192081783	2025988	4051976	0	0	2025988	10129821	40519284	162077136	0	16639255335	8159787495	41689386	0	0	0	0	0	172206450	0	10130500	10129940	794187296	12156108	0	5065250	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	754800000	408000000	0	0	0	0	0	384932628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164107458	112443999	0	0	3647808	275530320	253245525	0	0	0	0	40519224	0	1013050	455841945	0	0	0	0	20259642	506489710	0	911682540	0	0	0	0	2431150608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232985883	0	0	0	0	0	0	0	0	0	1164929415	734431525	16212480	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	544000000	231200000	0	0	0	0	0	243115344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67871603	32416288	0	0	1418592	309971610	131687673	0	0	0	0	0	0	0	111428031	0	0	0	0	10129821	101297942	0	567269136	0	0	0	0	1418171188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60778926	0	0	0	0	0	0	0	0	0	303894630	339358015	7092960	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	445400000	210800000	146200000	0	0	0	0	243115344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420000426	80027711	14182126	21273189	1013009	1317264	275530320	192466599	0	0	0	0	0	0	0	50649105	0	0	0	0	0	303893826	101297942	405192240	0	0	547010334	0	1418171188	0	0	0	151947315	0	0	0	0	0	0	0	0	70908747	0	0	0	30391500	60778926	28363832	26337844	0	0	0	10129821	30389463	0	0	303894630	445723960	13476624	0	160000048	0	0	0	0	0	151957500	141819160	131689220	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	404600000	224400000	0	0	0	0	0	141817284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140000342	94209837	47611423	0	0	506640	103323870	182336778	0	0	0	0	0	0	0	91168389	0	0	0	0	0	607787652	0	526749912	0	0	0	0	1316873246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013050	101298210	0	0	0	0	0	0	0	0	0	506491050	471049185	2533200	0	0	0	0	0	0	0	5065250	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	397800000	54400000	0	0	0	0	0	121557672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350000105	67871603	15195135	0	0	1418592	34441290	81038568	0	0	0	0	0	0	0	20259642	0	0	0	0	0	0	0	364673016	0	0	30389463	0	607787652	0	0	0	10129821	0	0	0	0	0	0	0	0	0	0	0	0	0	91168389	4051976	2025988	0	0	0	0	0	0	0	455841945	339358015	7092960	0	0	0	0	0	0	0	0	20259880	10129940	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	363800000	51000000	0	0	0	0	0	60778836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5065045	11143099	0	0	101328	68882580	101298210	0	0	0	0	0	0	0	20259642	0	0	0	0	0	101297942	0	243115344	0	0	0	0	405191768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25325225	506640	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	360400000	68000000	0	0	0	0	0	101298060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370000111	35455315	16208144	0	0	303984	68882580	111428031	0	0	0	0	0	0	0	0	1013009	0	0	0	0	303893826	0	303894180	0	0	0	0	303893826	0	0	0	0	10129821	0	0	0	0	0	0	0	0	0	0	0	0	50649105	0	0	0	0	0	0	0	0	0	253245525	177276575	1519920	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	176800000	13600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20260180	14182126	0	0	101328	0	40519284	0	0	0	0	0	0	0	10129821	0	0	0	0	0	0	0	202596120	0	0	0	0	202595884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30389463	0	0	0	0	0	0	10129821	0	0	151947315	101300900	506640	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
