Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	243912600000	48800200000	29886000000	105042984	6857306442	66600182	0	48900715333	0	0	0	0	0	0	0	23455619	0	23619097	0	636787080	0	11149448635	527485045	96170390	34712637670	0	0	0	0	168580050574	15070343057	269805265	1007721	0	591626563	39472812402	39621935780	0	0	0	0	60057060	0	0	10383100765	0	0	0	0	0	43791212286	0	181916984123	0	0	20431498	0	241306532761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62502564022	0	2046037	0	0	0	0	51581009	10639341	0	146087008017	2958129240	769308654949	501762960	18013200000	9747479816	460000138	0	0	10230185	349167550	4715800000	0	0	24304024656	3828400000	479271720	160477460	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2335800000	1135600000	734400000	0	0	0	0	1104845454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6990002097	152432066	108441604	0	0	3888578	973899332	1063926760	0	0	0	0	245521212	0	1023075	265981690	0	0	0	0	20460130	3171311842	818403056	2127850504	0	0	20460130	2046037	7161026740	2046037	0	0	0	10230065	0	0	0	6138204	2046068	0	0	10230065	0	0	0	0	204601300	0	0	0	0	2046037	20460130	102300650	0	0	764206398	20875524	1023006500	0	0	0	0	0	0	0	0	0	30691020	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1030200000	952000000	445400000	0	3173794	20815641	0	1115610270	10527793	0	0	5281826	0	0	0	9854410	0	4223082	1049206	769981	104934	148666418	5245967	131764989	36901064	0	0	0	0	3280000984	82829662	108779241	0	0	2247555	1001861296	558932170	0	0	0	1023034	184244637	92070585	1023075	1305263376	11253374	0	0	1023034	0	2146736972	716102674	633522682	71610455	0	153405678	0	2538981514	0	0	0	19951636	30690195	10230065	20460130	1023075	0	1023034	0	0	20460130	0	0	0	2087080	268718772	0	0	0	0	2046037	106393410	157543735	163681040	0	420286514	10726120	1343593860	0	142800000	90670544	0	10435400	0	0	18886690617	166600000	0	5115375	2098440	54400000	0	61151388	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	530400000	323000000	0	0	0	0	0	163680808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109464638	76727550	0	0	2251282	313039071	184141170	0	0	0	1023034	20460101	0	0	409202600	0	0	0	0	0	204600764	0	531962626	0	0	0	0	2455209168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153450975	0	0	0	0	0	0	0	0	0	4813374970	9721445	10588117275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	428400000	224400000	159800000	0	0	0	0	204601010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1310000393	86957890	19437646	23529782	3069102	1125641	139128476	235291495	0	0	0	0	20460101	0	0	143220910	0	0	0	0	0	306901146	102300382	204601010	0	0	531963380	0	1636806112	0	0	0	153450975	10230065	0	0	0	0	0	0	0	61380390	0	0	0	31715325	71610455	34782629	30690555	0	0	0	0	30690195	0	0	522770374	9312121	358052275	0	0	0	0	158576625	173913145	153452775	0	193800000	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	428400000	153000000	122400000	0	0	0	0	143220707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1030000309	73658448	49105632	0	0	818648	139128476	194371235	0	0	0	0	0	0	0	132990845	0	0	0	0	0	613802292	0	572882828	0	0	0	0	1125304202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112530715	0	0	0	0	0	0	0	0	0	368292240	4093240	562653575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x4db0	418200000	183600000	0	0	0	0	0	347821717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50128666	25575850	0	0	1330303	173910595	173911105	0	0	0	0	40920202	0	0	61380390	0	0	0	0	20460130	0	0	368281818	0	0	0	0	920703438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023075	61380390	0	0	0	0	0	0	0	0	0	2467558008	6139860	5217333150	0	0	0	0	127884375	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x7ff0	384200000	81600000	0	0	0	0	0	81840404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5115170	10230340	0	0	0	139128476	51150325	0	0	0	0	0	0	0	0	0	0	0	0	0	102300382	0	306901515	0	0	0	0	102300382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20460130	0	0	0	0	0	0	0	0	0	516632170	0	102300650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x26460	374000000	78200000	37400000	0	0	0	0	61380303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410000123	72635414	15345510	0	0	1227972	104346357	61380390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347821717	0	0	20460130	0	409201528	0	0	0	40920260	0	0	0	0	0	0	0	0	0	0	0	0	1023075	92070585	4092074	4092074	0	0	0	0	0	0	0	385683818	7265501	460352925	0	0	0	0	5115375	20460370	20460370	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	350200000	98600000	57800000	0	0	0	0	102300505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520000156	34783156	16368544	0	0	613986	139128476	71610455	0	0	0	0	0	0	0	10230065	2046068	0	0	0	0	102300382	0	327361616	0	0	0	0	613802292	2046037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51150325	0	0	0	0	0	0	0	0	0	173915780	3069930	255751625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	136000000	13600000	0	0	0	0	0	20460101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17391578	14322476	0	0	613986	0	20460130	0	0	0	0	0	0	0	0	0	0	0	0	0	102300382	0	61380303	0	0	0	0	102300382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20460130	0	0	0	0	0	0	0	0	0	823542370	3069930	1329908450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[]	136000000	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286441414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20460130	20460130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	std::vector<std::vector<float, std::allocator<float>>, std::allocator<std::vector<float, std::allocator<float>>>>::operator[](unsigned long) const	stl_vector.h	0x40815b
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	119000000	27200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2046068	0	0	0	0	102300382	102300382	368281818	0	0	20460130	0	102300382	0	0	0	0	0	10230065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30690195	30690195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	gaussian	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
adler32_z	102000000	30600000	0	0	0	0	0	40920202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16368544	4092136	0	0	102331	0	30690195	0	0	0	0	0	0	0	0	0	0	0	0	0	102300382	0	81840404	0	0	0	0	204600764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30690195	0	0	0	0	0	0	0	0	0	451157994	511655	1381058775	51150325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	adler32_z	[Unknown]	0x6ba0
func@0x9240	85000000	30600000	27200000	0	0	0	0	102300505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230000069	8184272	4092136	0	0	102331	34782119	30690195	0	0	0	0	0	0	0	10230065	0	0	0	0	0	204600764	102300382	102300505	0	0	0	0	511501910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10230065	0	0	0	0	0	0	0	0	0	40921360	511655	51150325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
