Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	283169000000	57582400000	53148800000	57719174397	8334557	0	0	23190295	0	22781040	0	1018576657	0	18047074847	891452434	163560222	57581376958	156790047037	3868577	7683257	3845544	99485077258	42015192048	128424795	749499	1513346	0	0	0	10853205188	18930385	45864640717	226978074	45915141922	183133770179	246022911935	18861758500	0	0	0	0	0	0	198054062981	gaussian	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	9234400000	2142000000	2240600000	2232652140	0	0	0	3905188	0	3902318	0	13289588	0	664551375	19468334	5556270	1708462549	7150002145	0	0	0	2407968031	1770402283	0	0	0	0	0	444047272	835900279	0	2350955385	0	495241182	8314996142	9861102749	880246020	0	0	0	0	0	0	9076720080	gaussian	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2312000000	1118600000	717400000	1053677686	0	0	0	0	0	0	0	0	0	0	0	0	0	6660001998	0	3845544	0	246114816	1137508731	238423418	384580	0	0	0	149979960	276879168	19227720	3268704240	730651536	308804892	2191957230	6998872608	0	0	0	0	0	0	0	1968915968	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	1370200000	1128800000	924800000	958100736	17592658	0	8360897	16162883	2791615	12325987	6532043	3392289	2567678	289054843	2788768	298107276	124573183	3010000903	124698530	82959393	56492432	274831323	776426958	144964022	1920701	4604137	0	0	183761199	1887688731	11506819	2682483107	1267978029	243011572	1878992906	6593349431	0	0	0	0	0	0	0	1414846791	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	666400000	380800000	224400000	423009290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307643520	379169577	30764312	0	0	0	0	151902780	396091032	15382176	346098096	0	253812240	538375460	2153499264	0	0	0	0	0	0	0	1307483260	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	489600000	214200000	129200000	192276950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134594040	274571073	15382156	0	0	0	0	52685268	115366320	0	115366032	0	107677920	484537914	884472912	0	0	0	0	0	0	0	746034566	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	428400000	214200000	142800000	207659106	0	0	0	0	0	0	428701	272381	0	0	0	0	0	1300000390	15382176	11536632	3845544	96138600	196122195	23073234	0	43839726	0	0	23073840	84601968	0	307642752	0	160747752	392244978	1269026352	0	0	0	0	0	0	0	607595162	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	397800000	81600000	40800000	61528624	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	3845544	0	0	126902952	65374065	0	0	6152944	0	0	24612096	23073264	0	0	0	154979292	438391446	423008784	0	0	0	0	0	0	0	392244978	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop@0x3b600 in func@0x39a20]	343400000	78200000	51000000	138439404	0	0	0	0	0	0	0	0	0	0	0	0	0	520000156	0	0	0	73065336	52299252	0	0	0	0	0	21920148	7691088	0	76910688	0	79220184	276878808	615285504	0	0	0	0	0	0	0	261496652	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop@0x4d3e0 in func@0x4d370]	326400000	153000000	112200000	146130482	0	0	0	0	0	0	0	0	0	0	0	0	0	1010000303	0	0	0	146130672	169972569	0	0	0	0	0	75374544	73065336	0	499919472	0	136520220	476846836	1115204976	0	0	0	0	0	0	0	476846836	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	265200000	166600000	153000000	140146831	0	0	0	0	0	0	0	167444	0	27899737	0	0	293257137	290000087	0	0	0	148241367	25890052	0	375314	0	0	0	15151626	0	0	114279183	0	43664584	248757186	191661614	45765431	0	0	0	0	0	0	165305508	gaussian	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
[Loop@0x283e8 in png_write_row]	187000000	23800000	27200000	15382156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42300984	26149626	7691078	0	0	0	0	23073840	3845544	0	0	0	35379888	99984014	230732064	0	0	0	0	0	0	0	215350184	libpng16.so.16.43.0	[Loop@0x283e8 in png_write_row]	[Unknown]	0x283e8
[Loop@0x8258 in func@0x7ff0]	166600000	47600000	34000000	15382156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4614768	0	0	0	0	5383896	138439404	269187408	0	0	0	0	0	0	0	153821560	libz.so.1.3	[Loop@0x8258 in func@0x7ff0]	[Unknown]	0x8258
[Loop@0x8140 in func@0x7ff0]	139400000	34000000	27200000	38455390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7691088	39224439	0	0	0	0	0	8460408	3845544	0	38455344	0	6537588	146130482	269187408	0	0	0	0	0	0	0	153821560	libz.so.1.3	[Loop@0x8140 in func@0x7ff0]	[Unknown]	0x8140
