Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292648200000	55477800000	31558800000	6747198	508964887	6471996	0	55654530867	0	0	0	0	0	0	0	1267289	0	927285	0	43640740	0	717001024	27290948	0	2371794299	0	0	0	0	257200077160	24840153734	374447363	5087704	0	800873506	54526732963	54631259962	0	0	0	0	163034412	0	0	14445824780	3055940	0	0	0	10200015	61108805840	0	253396705783	0	0	20369899	0	336969344335	0	0	0	30569914	0	0	0	0	0	0	0	0	0	0	0	0	0	88023160887	0	0	0	0	0	10218946	61211456	0	0	859162546690	200699880371	4004264861	1237600000	670000201	1144760081	370600000	1068030339	255018715	0	0	0	0	292400000	0	0	2003933167	26988792	14971320	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2342600000	1176400000	720800000	0	0	0	0	1081200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6850002055	150964292	102002900	0	0	4183230	1005718463	999601470	0	0	0	0	224400000	0	0	265200390	0	0	0	0	20400030	2957996433	1019998770	2040000000	0	0	0	0	7241991267	2040027	0	0	0	0	0	0	0	6120174	2040058	0	0	0	0	0	0	2040138	193800285	2040027	2040027	0	0	2040027	20400030	71400105	0	0	1458602145	1026149174	20916150	34000000	0	0	0	0	0	10200690	34680459	10200135	42841218	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1067600000	887400000	465800000	0	0	0	0	693667996	0	0	0	0	0	0	0	2336394	0	0	0	220032	0	4636370	0	5500008	4636370	0	0	0	0	3700001110	78531685	148910746	0	1020029	2857216	901794575	479374541	0	0	0	3060087	285577600	102000150	2040138	1662772109	14280406	0	0	0	0	2550033619	1223583890	917675895	51000075	0	275411771	0	2959467016	0	0	1020029	30618976	20400030	20400030	0	1020069	0	1020029	0	0	0	0	0	0	1020069	244770229	2040027	2040027	0	0	0	0	112230429	173400255	0	3457198326	382458135	13775930	13600000	0	173592405	13600000	0	51000075	20401380	10200135	32640432	0	0	0	58143933	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	700400000	404600000	0	0	0	0	0	550800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140764002	100982871	0	0	3264960	485519258	377400555	0	0	0	0	40800000	0	1020069	581400855	0	0	0	0	20400030	407999508	0	673200000	0	0	0	0	2957996433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183600270	0	0	0	0	0	0	20400030	0	0	918001350	642618270	12243600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	520200000	241400000	0	0	0	0	0	204000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61201740	32640928	0	0	2346690	208079682	173400255	0	0	0	0	40800000	0	0	112200165	0	0	0	0	0	101999877	0	673200000	0	0	0	0	1121998647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51000075	0	0	0	0	0	0	10200015	0	0	255000375	308048758	13365930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	431800000	200600000	159800000	0	0	0	0	244800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370000411	76502175	15300435	18360522	3060087	1122330	173399735	193800285	0	0	0	0	0	0	0	102000150	0	0	0	0	0	305999631	0	326400000	0	0	489600720	0	1631998032	0	0	0	142800210	20400030	0	0	0	0	0	0	0	61200090	0	0	0	30602070	71400105	28560378	26520351	0	0	0	0	20400030	0	0	357000525	440652528	10100970	0	0	0	0	0	0	153010350	142801890	132601755	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	421600000	207400000	119000000	0	0	0	0	265200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140000342	84662407	44881276	0	0	1326390	277439576	214200315	0	0	0	0	40800000	0	0	71400105	0	0	0	0	0	509999385	0	510000000	0	0	0	0	1019998770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122400180	0	0	0	0	0	0	0	0	0	856801260	545715515	6631950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	391000000	61200000	23800000	0	0	0	0	81600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	65281856	15300435	0	0	816240	34679947	61200090	0	0	0	0	0	0	0	20400030	0	0	0	0	0	0	0	367200000	0	0	71400105	2040027	305999631	2040027	0	0	20400030	0	0	0	0	0	0	0	0	10200015	0	0	0	0	102000150	4080054	2040027	0	0	0	0	0	0	0	754801110	406991571	4081200	0	0	0	0	0	0	0	20400270	34680459	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	336600000	57800000	54400000	0	0	0	0	40800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	36721044	16320464	0	0	408120	69359894	91800135	0	0	0	0	0	0	0	10200015	0	0	0	0	0	305999631	0	244800000	0	0	0	0	815999016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30600045	0	0	0	0	0	0	0	0	0	275400405	232566612	2040600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	326400000	64600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5100145	11220319	0	0	204060	173399735	102000150	0	0	0	0	0	0	0	51000075	0	0	0	0	0	0	0	428400000	0	0	0	0	407999508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25500725	1020300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	166600000	30600000	0	0	0	0	0	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31620899	24480696	0	0	408120	0	61200090	0	0	0	0	0	0	0	20400030	0	0	0	0	0	0	0	163200000	0	0	0	0	611999262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10200015	0	0	0	158104495	2040600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
