Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292638000000	55488000000	33445800000	10641069	704026313	8793880	0	55717953551	0	0	0	0	0	0	0	3628186	0	2543410	0	82595474	0	1436979714	58936455	6071437	4346320379	0	0	0	0	169530050859	22458707122	368054623	987203	0	802617884	54395426807	54673862009	0	0	0	0	138795852	0	0	14545151685	1005260	0	0	0	10052331	60334796109	100523045	249175237407	0	0	49280749	0	325712552554	0	0	0	19892176	0	0	10052331	0	0	0	0	0	0	0	0	0	0	82676964119	0	0	0	0	0	0	108744662	0	0	4015125246	216118644573	990185566218	165450180	1774800000	307620526	2018209225	561000000	300000090	0	530400000	0	0	0	0	0	2359365162	43632908	21115912	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2315400000	1139000000	768400000	0	0	0	0	1105754815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4770001431	139731140	92483920	0	0	4022120	820267800	1125861072	0	0	0	0	180941697	0	1005300	261360606	0	0	0	0	10052331	2714122215	904707405	2131091098	0	0	20104662	2010490	7237659240	0	0	0	10052331	0	0	0	0	6031560	2010520	0	0	0	0	0	0	1005300	221151282	0	0	0	0	2010490	20104662	100523310	0	0	20110600	726802980	1105756410	0	0	0	0	0	0	0	0	0	5026500	0	0	30157800	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1026800000	979200000	578000000	0	1215055	664564	0	778768912	0	0	0	0	0	0	0	1100967	0	0	0	0	0	13290928	0	17574051	5423817	0	0	0	0	3060000918	77293653	146656819	1005260	0	3509592	951099605	499451377	0	0	0	2010520	159551914	90470979	1005300	1391357423	8020831	0	0	0	9839845	1792582907	798448332	1075933532	30156993	0	328633402	0	5586211646	0	0	1005260	39753370	30156993	10052331	20104662	1005300	0	1005260	0	0	10052331	0	0	0	1005300	120673859	2010490	0	0	0	0	10052331	60313986	160837296	0	16542430	746971057	1528183747	0	0	0	321674128	0	0	0	0	5026500	5026500	10052450	0	0	0	0	2658256	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	581400000	428400000	289000000	0	0	0	0	422197293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158831080	106557560	0	0	3016590	581023025	351831585	0	0	0	0	40209266	0	0	351831585	0	0	0	0	10052331	402092180	0	583034357	0	0	0	0	2010460900	4020980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231203613	0	0	0	0	0	0	0	0	0	10055300	1120864900	2040623193	0	0	50261655	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	537200000	231200000	173400000	0	0	0	0	341778761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66347160	37194620	0	0	1307189	136711300	160837296	0	0	0	0	20104633	0	1005300	30156993	0	0	0	0	10052331	0	0	502615825	0	0	0	0	1105753495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80418648	0	0	0	0	0	0	0	0	0	6033180	497603700	623244522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	472600000	224400000	159800000	0	0	0	0	261360229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	80420800	12063120	23120980	4021040	1206636	239244775	180941958	0	0	0	0	40209266	0	0	60313986	0	0	0	0	0	0	100523045	361883394	0	0	653401515	0	1909937855	0	0	0	170889627	20104662	0	0	0	0	0	0	0	50261655	0	0	0	30159000	30156993	26136370	26136370	0	0	0	10052331	30156993	0	0	7139263	5332904300	2925228321	0	0	160837296	0	0	0	0	17000000	0	2925423000	2535227890	2535227890	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	411400000	57800000	30600000	0	0	0	0	120627798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290000087	82431320	17089420	0	0	1407742	102533475	40209324	0	0	0	0	0	0	0	20104662	0	0	0	0	0	100523045	0	402092660	0	0	30156993	0	502615225	0	0	0	10052331	0	0	0	0	0	0	0	0	0	0	0	0	0	100523310	4020980	6031470	0	0	0	0	0	0	0	7038710	436282840	502616550	0	0	0	0	0	0	0	0	0	0	20104900	30157350	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	404600000	193800000	129200000	0	0	0	0	100523165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750000225	81426060	47247220	0	0	502765	307600425	211098951	0	0	0	0	0	0	0	100523310	0	0	0	0	0	804184360	0	502615825	0	0	0	0	804184360	0	0	0	10052331	0	0	0	0	0	0	0	0	0	0	0	0	0	100523310	0	0	0	0	0	0	0	0	0	2513825	407130300	502616550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	394400000	71400000	54400000	0	0	0	0	20104633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4021040	8042080	0	0	301659	34177825	50261655	0	0	0	0	0	0	0	10052331	0	0	0	0	0	100523045	0	422197293	0	0	0	0	804184360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1508295	20105200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	340000000	91800000	47600000	0	0	0	0	80418532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290000087	40210400	15078900	0	0	301659	68355650	60313986	0	0	0	0	0	0	0	0	1005260	0	0	0	0	0	0	180941697	0	0	0	0	402092180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005300	60313986	0	0	0	0	0	0	0	0	0	1508295	201052000	301569930	0	0	0	0	0	0	0	0	0	5026500	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	200600000	6800000	13600000	0	0	0	0	40209266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18094680	11057860	0	0	502765	0	10052331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201046330	0	0	0	0	502615225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20104662	0	0	0	0	0	0	0	0	0	2513825	112589120	321674592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
