Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	439048800000	86720400000	58619400000	166946940	10726381285	74974217	0	86686539884	5206784	0	0	0	0	0	0	100067668	0	98137305	0	843122949	0	17878354926	386080292	123973783	54556078218	0	0	0	0	235940070782	28399302971	376905847	23024476	0	1062385001	71853106204	72031895080	0	0	0	1012688	160637951	0	0	19680773034	0	0	0	0	19972819	80791544029	105220926	333703966366	0	0	70466799	0	439803635918	2025346	0	0	21044242	0	0	0	0	0	0	0	0	0	0	0	0	1012729	114525435174	2025346	2025346	0	0	0	0	79450060	0	0	977823556606	208287370328	5332072191	8258600000	14040251393	28233600000	150781380	50636450	6538200000	1722005355	560000168	10126730	10126730	0	37818148485	763652011	233758132	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2284800000	1207000000	744600000	0	0	0	0	1113925725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6890002067	139750944	95192672	0	0	3950544	1205063300	1063294260	0	0	0	0	182278755	0	0	303798360	0	0	0	0	10126612	3139241474	810126832	2167091865	0	0	0	0	7189875634	0	0	0	0	0	0	0	0	7088816	2025376	0	0	0	0	0	0	0	202532240	0	0	0	0	0	10126612	91139508	0	0	3767099664	2172215760	19752720	0	101265975	0	0	0	0	0	0	0	0	48609024	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1193400000	1319200000	945200000	539453	3128988	30121159	0	1299103450	26039244	0	0	10425653	0	0	0	12566970	0	9456968	3128941	1138835	204407	240583972	0	286706352	98022446	0	0	0	0	3170000951	113194334	179147706	5005493	2025376	4333724	992916074	784976360	0	0	0	0	241987853	50633060	1012729	1153440674	7088816	0	0	0	0	3624382652	1113924394	1917168751	40506448	0	373400408	4050692	5447389253	0	0	1012688	129340100	89457078	69465601	30099431	0	0	1012688	0	0	0	0	0	0	4098224	191500050	1969265	0	0	0	2025346	20253224	90840445	172152404	0	1266283659	587125982	22469160	54400000	83501784	13600000	0	20491120	136000000	0	0	9846325	0	0	6257976	2157812	102059013	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	506600000	312800000	197200000	0	0	0	0	364557510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120509872	77976976	0	0	2633696	172151900	172152404	0	0	0	0	40506390	0	0	384811256	0	0	0	0	20253224	202531708	0	405063900	0	0	0	2025346	1012658540	2025346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111392732	0	0	0	0	0	0	0	0	0	556963660	567105280	10636080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	448800000	207400000	153000000	0	0	0	0	283544730	0	0	0	0	0	0	0	1037600	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000420	107344928	19241072	30380640	1012688	1316848	275443040	212658852	0	0	0	0	20253195	0	0	121519344	0	0	0	0	0	506329270	101265854	445570290	0	0	101266120	0	607595124	0	0	0	172152404	20253224	0	0	0	0	0	0	0	60759672	0	0	0	30381870	70886284	30380190	28354844	0	0	0	10126612	30379836	0	0	354431420	690653216	16612544	0	0	0	0	151909350	0	0	0	151900950	141774220	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	418200000	190400000	105400000	0	0	0	0	81012780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050000315	86078480	48609024	0	0	1114256	206582280	212658852	0	0	0	0	0	0	0	91139508	0	0	0	0	0	405063416	0	486076680	0	0	0	0	1012658540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012729	141772568	0	0	0	0	0	0	0	0	0	3200009392	1007624560	5571280	0	0	0	0	18229122	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x4db0	391000000	146200000	95200000	0	0	0	0	121519170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44558272	24304512	0	0	1012960	344303800	141772568	0	0	0	0	20253195	0	0	81012896	0	0	0	0	0	101265854	0	405063900	0	0	0	0	2227848788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012729	40506448	0	0	0	0	0	0	0	0	0	202532240	217727920	5064800	0	0	0	0	5063645	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	370600000	37400000	51000000	0	0	0	0	60759585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	83040416	17215696	0	0	911664	34430380	30379836	0	0	0	0	0	0	0	10126612	0	0	0	0	0	0	0	364557510	0	0	50633060	4050692	405063416	0	0	0	20253224	0	0	0	0	0	0	0	0	0	0	0	0	0	60759672	4050692	4050692	0	0	0	0	0	0	0	435444316	1423839328	4558320	0	0	0	0	0	0	0	0	46582958	46582958	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	363800000	68000000	44200000	0	0	0	0	121519170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	39494832	17215696	0	0	303888	34430380	60759672	0	0	0	0	0	0	0	10126612	0	0	0	0	0	303797562	0	303797925	0	0	0	2025346	607595124	2025346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70886284	0	0	0	0	2025346	0	0	0	0	2582286060	695716656	1519440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	323000000	81600000	71400000	0	0	0	0	20253195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025376	5063440	0	0	101296	34430380	141772568	0	0	0	0	0	0	0	10126612	0	0	0	0	0	101265854	0	405063900	0	0	0	0	202531708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20253224	0	0	0	0	0	0	0	0	0	101266120	10126880	506480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	187000000	17000000	13600000	0	0	0	0	40506390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17215696	17215696	0	0	101296	0	10126612	0	0	0	0	0	0	0	10126612	0	0	0	0	0	0	0	121519170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70886284	0	0	0	0	2025346	0	0	0	0	354431420	86078480	506480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
