Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	526847000000	99946400000	64572800000	8954763	714434009	3669075	0	99574251172	0	0	0	0	0	0	0	9569240	0	4429738	0	61537226	0	1143401971	0	15755249	3414802620	0	0	0	0	284660085398	45077183278	509010607	50780202	0	1454122832	98079474802	98770396402	0	0	0	0	224714832	0	0	27149655650	2024848	0	0	0	0	112047493160	0	460012394389	0	0	60749104	0	611285689479	0	0	0	60997520	0	0	0	0	0	0	0	0	10067436	0	0	0	4086983	157884497650	0	0	0	0	0	10067436	162165384	40722028	0	1980385509315	451923518349	7281580542	1961800000	3553147029	1808328562	245304931	544000000	863629330	520000156	414800000	0	0	0	0	0	0	0	2782730670	48024002	8897816	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2305200000	1186600000	744600000	0	0	0	0	1107416310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6830002049	147995190	102690540	0	1006770	4128864	992646249	1097350524	0	0	0	0	221483262	0	1006811	251685900	0	0	0	0	20134872	3120896883	704718651	2255102304	0	0	0	2013511	7248534696	4027022	0	0	20134872	0	0	0	0	6040620	2013540	0	0	0	0	0	0	2013622	201348720	2013511	2013511	0	0	0	20134872	90606924	0	0	1369171296	912133620	22759104	17000000	0	0	10068110	0	120809232	0	0	28189154	10067555	0	39264030	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1224000000	1094800000	758200000	281170	461441	2817876	0	1296980667	0	0	0	0	0	0	0	0	0	0	0	100755	100755	16266954	0	9651336	6192866	0	0	0	0	3770001131	140454464	225409204	3059546	3052514	5171527	1175972433	679085329	0	0	0	2013540	201890196	100674360	3020433	2124908452	11074470	0	0	0	0	3628662932	1107415023	1315579651	80539488	0	263597575	0	4557392454	0	0	1006770	50507366	10067436	30202308	10067436	1006811	0	1006770	0	0	0	0	0	0	3020433	221989860	2013511	2013511	0	0	2013511	40269744	131307022	130876668	0	1341720150	1203694868	27172496	0	0	101145865	15102165	0	0	50000015	30600000	10067555	10067555	80541600	0	0	5034055	0	0	1124680	7241760	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	625600000	401200000	234600000	0	0	0	0	422831682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183232140	114771780	0	0	3625344	479208534	342292824	0	0	0	0	60404526	0	0	543641544	0	0	0	0	10067436	503370465	0	483236208	0	0	0	0	2516852325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120809232	0	0	0	0	0	0	0	0	0	1167822576	1558479960	12588000	0	0	100674210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	462400000	190400000	125800000	0	0	0	0	302022630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60406200	33223410	0	0	1611264	205375086	231551028	0	0	0	0	20134842	0	0	70472052	0	0	0	0	10067436	0	0	281887788	0	0	0	0	906066837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100674360	0	0	0	0	0	0	0	0	0	1349036424	506405310	10171104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	431800000	231200000	156400000	0	0	0	0	241618104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370000411	87588990	19128630	21142170	2013540	805632	239604267	171146412	0	0	0	0	0	0	0	90606924	0	0	0	0	0	201348186	100674093	241618104	0	0	463102056	0	1510111395	0	0	0	161078976	10067436	20134872	0	0	0	0	0	0	60404616	0	0	0	27183897	70472052	34229687	30202665	0	0	0	20134872	30202308	0	0	352360260	538621950	6042240	0	0	0	135919485	0	0	0	0	171148435	151013325	16108320	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	414800000	146200000	125800000	0	0	0	0	281887788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150000345	81548370	46311420	0	0	906336	376520991	140944104	0	0	0	0	40269684	0	0	90606924	0	0	0	0	0	302022279	0	503371050	0	0	0	0	1208089116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100674360	0	0	0	0	0	0	0	0	0	775192572	534594870	4531680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	397800000	64600000	30600000	0	0	0	0	60404526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	65440050	16108320	0	0	1107744	102687543	90606924	0	0	0	0	0	0	0	20134872	0	0	0	0	0	0	0	422831682	0	0	50337180	4027022	302022279	2013511	0	0	20134872	0	0	0	0	0	0	0	0	10067436	0	0	0	0	100674360	2013511	2013511	0	0	0	0	0	10067436	0	684585648	451032960	5538720	0	0	0	0	0	0	0	0	10067555	10067555	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	353600000	85000000	51000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	34230180	15101550	0	0	503520	0	50337180	0	0	0	0	0	0	0	10067436	0	0	0	0	0	302022279	0	201348420	0	0	0	0	503370465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30202308	0	0	0	0	0	0	0	0	0	151011540	225516480	2517600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	329800000	64600000	54400000	0	0	0	0	100674210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9060930	11074470	0	0	503520	102687543	80539488	0	0	0	0	0	0	0	30202308	0	0	0	0	0	0	0	241618104	0	0	0	0	100674093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10067436	0	2013511	0	0	0	0	0	0	0	191281284	84568680	2517600	0	0	0	0	0	0	0	0	0	10067555	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	149600000	23800000	27200000	0	0	0	0	40269684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34230180	24162480	0	0	402816	68458362	60404616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60404526	0	0	0	0	100674093	2013511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30202308	0	0	0	0	0	0	0	0	0	432899748	199340460	2014080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
