Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	691060200000	140970800000	76224600000	145078905	18728574803	79211010	0	140887359350	247213349	104907055	115780351	137044056	0	0	0	332853855	0	340432851	0	2830846153	0	20529493445	10317657235	236490391	73314706976	0	0	0	0	289280086784	50102344366	464193206	106803947	1002639	1732850978	117069095176	117597238745	0	0	0	2010497	322431851	0	1021387	32399549443	0	0	0	0	100791416	134456846508	100542736	534004959414	0	0	252010974	0	713544314927	0	0	0	191310109	10209619	0	0	0	0	0	0	0	20263919	0	0	0	41287871	187171928596	16114455	14127373	0	0	0	0	352200362	0	0	2037601039281	456395369424	8686245528	857532695	420000126	1089374031	1542853065	10223800000	14001200000	94645341	70636865	27052566677	43577800000	0	0	0	0	75608116374	696409211	250018413	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2305200000	1128800000	727600000	0	0	0	0	1065312773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147740880	99498960	1005040	0	4222302	1127621847	1005013500	0	0	0	0	241202892	0	0	241203240	0	0	0	0	20100270	3417036958	904509783	2150725787	0	0	10050135	0	6432069568	2010051	0	0	10050135	0	10050135	0	0	6030240	2010080	0	0	0	0	0	0	0	211052835	0	2010051	0	0	2010051	10050135	100501350	0	0	1055264175	759810240	21111510	0	0	0	170851795	0	0	0	10050255	0	0	30151200	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1472200000	1462000000	955400000	1046232	7918853	53677840	0	1566227513	10452862	0	5217549	19088180	0	0	0	16916348	0	18802179	6293467	1149292	315976	433291484	0	429276479	171519651	0	0	0	0	1440000432	67334602	212501698	0	0	3419745	1332531397	633808364	0	0	0	2010080	382261862	110551485	4036464	2072071038	8040320	0	0	0	0	2110768209	1307022125	1688065662	50250675	0	402392248	0	6542293881	0	0	0	140731530	20100270	30150405	10050135	1005080	0	1005040	0	0	0	0	0	0	8077560	261721066	6048483	6030317	0	0	2010051	30150405	80399964	110551485	0	1531198470	376874610	20728891	0	9640002892	62655815	170851795	57800000	163200000	30242415	30151585	428264751	81600000	0	0	5025400	0	26770146	4184928	147643892	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	462400000	285600000	163200000	0	0	0	0	341704097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103519120	57287280	0	0	2814868	341703590	281403780	0	0	0	0	40200482	0	1005080	452256075	0	0	0	0	10050135	402004348	0	542706507	0	0	0	0	2211023914	2010051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170852295	0	0	0	0	0	0	0	0	0	854261475	487444400	13270092	50250675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	442000000	244800000	153000000	0	0	0	0	241202892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230000369	91458640	15075600	21105840	3015120	1206372	205022154	251253375	0	0	0	0	0	0	0	100501350	0	0	0	0	0	301503261	100501087	221102651	0	0	502506750	0	1608017392	0	0	0	150752025	10050135	10050135	0	0	0	0	0	0	60300810	0	0	0	28142240	60300810	34170867	30150765	0	0	0	0	30150405	0	0	964812960	1246249600	13370623	0	0	450275840	0	0	0	546733872	482412240	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	428400000	166600000	122400000	0	0	0	0	261303133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82413280	45226800	0	0	703717	205022154	190952565	0	0	0	0	0	0	0	70350945	0	0	0	0	0	502505435	0	502506025	0	0	0	0	904509783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70350945	0	0	0	0	0	0	0	0	0	351754725	412066400	3518585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	367200000	44200000	40800000	0	0	0	0	60300723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64322560	15075600	0	0	1306903	68340718	60300810	0	0	0	0	0	0	0	40200540	0	0	0	0	0	0	0	281403374	0	0	50250675	2010051	402004348	2010051	0	0	20100270	10050135	0	0	0	0	0	0	0	0	0	0	0	1005080	120601620	4020102	2010051	0	0	0	0	0	10050135	0	603008100	321612800	6534515	0	0	5025400	0	0	0	20100510	10050255	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	357000000	98600000	64600000	0	0	0	0	80400964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10050400	21105840	0	0	301593	34170359	70350945	0	0	0	0	0	0	0	0	0	0	0	0	0	100501087	0	361804338	0	0	0	0	402004348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50252000	1507965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	343400000	115600000	51000000	0	0	0	0	40200482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27136080	15075600	0	0	301593	102511077	90451215	0	0	0	1005040	0	0	0	0	0	0	0	0	0	100501087	0	301503615	0	0	0	0	301503261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40200540	0	0	0	0	0	0	0	0	0	201002700	135680400	1507965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x4db0	333200000	125800000	88400000	0	0	0	0	100501205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40201600	21105840	0	0	703717	68340718	130651755	0	0	0	0	0	0	0	100501350	0	0	0	0	0	0	0	301503615	0	0	0	0	804008696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005080	60300810	0	0	0	0	0	0	0	0	0	301504050	201008000	3518585	0	0	5025400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
png_write_row	166600000	20400000	10200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27136080	21105840	0	0	100531	68340718	20100270	0	0	0	0	0	0	0	10050135	0	0	0	0	0	0	0	160801928	0	0	0	0	201002174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20100270	0	0	0	0	0	0	0	0	0	100501350	135680400	502655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
