Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	828756800000	176905400000	119962200000	283874993	37709009795	162307557	0	176459104447	494183080	235342640	256234970	188667597	0	0	0	586378985	0	627516795	0	5511197553	0	39941173574	20255278272	434438522	143794339666	0	0	0	0	296520088956	55374505653	539242748	102391342	0	1902704319	130119452685	130951779119	0	0	0	0	481846143	0	0	36844061923	0	0	0	0	100218785	151799866757	101227151	594968897607	0	0	471568667	0	793844046028	0	0	0	351392104	0	0	0	0	0	0	0	0	70447812	0	0	0	89392277	204425763749	28074137	28115217	0	0	0	0	160844952	0	0	2021536794344	465647231155	9560546572	710000213	27091200000	916589036	172262989	179150753	48680062171	708228757	84340400000	26945000000	2689096278	0	0	149725213771	1447466965	548207839	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2254200000	1132200000	741200000	0	0	0	0	1154255332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3180000954	155231856	100502676	0	0	3782292	1048778732	995049200	0	0	0	0	238811448	0	995115	318415744	0	0	0	0	9950492	2885634937	895541877	2169203986	0	0	19900984	1990122	7661858281	0	0	0	9950492	0	9950492	0	0	4975380	1990152	0	0	0	0	0	0	0	199009840	0	0	0	0	0	9950492	99504920	0	0	8278809344	6001303356	19608198	0	0	0	0	0	0	0	0	0	0	0	490572468	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1655800000	1744200000	1298800000	2097413	16206184	106356817	0	2379263481	31634315	0	5226873	47193460	0	0	0	51634846	2073981	28380876	10475092	1780289	523889	858881158	0	851064880	293700778	0	0	0	0	2520000756	199260791	301942560	3010151	995076	7103173	1564141276	1059210170	0	0	0	2995024	240868082	99504920	2000027	2143747085	8955684	0	996649	995076	10122742	2603379455	896521440	1723078184	49752460	0	260300821	0	5408817305	0	0	995076	79874465	40023216	19900984	9950492	0	0	0	0	0	9950492	0	0	0	10027283	190058299	4041450	7996617	0	0	1990122	9950492	109843389	169158364	0	1676850931	1832578071	35450230	50000015	768400000	50136415	20207250	39983085	563691470	50613710	306000000	741200000	0	0	0	31901540	11407851	296356888	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	598400000	357000000	217600000	0	0	0	0	238811448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109458360	74630700	0	0	2488350	270652576	268663284	0	0	0	0	19900954	0	0	427871156	0	0	0	0	19900984	199009306	99504653	537325758	0	0	0	1990122	2487616325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238811808	0	0	0	0	0	0	0	0	0	3104553504	1396091628	10451070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	479400000	231200000	153000000	0	522701	0	0	278613356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370000411	67665168	15921216	20896596	1990152	1293942	236821004	238811808	0	0	0	0	39801908	0	0	49752460	0	0	0	0	0	298513959	199009306	457721942	0	0	606980012	0	1890588407	0	0	0	149257380	9950492	0	0	0	0	0	0	0	59702952	0	0	0	24877875	59702952	25871586	25871586	0	0	0	9950492	19900984	0	0	4418018448	3717603936	11745012	0	0	1840962750	1914497364	1914497364	0	0	0	0	0	13931064	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	431800000	193800000	129200000	0	0	0	0	159207632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44778420	25871976	0	0	995340	169157860	149257380	0	0	0	0	0	0	0	39801968	0	0	0	0	0	0	0	338316218	0	0	0	0	298513959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69653444	0	0	0	0	0	0	0	0	0	348267220	577144080	4479030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	408000000	54400000	64600000	0	0	0	0	59702862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180000054	65675016	14926140	0	0	895806	135326288	39801968	0	0	0	0	0	0	0	19900984	0	0	0	0	0	0	0	378118126	0	0	39801968	0	298513959	1990122	0	0	19900984	0	0	0	0	0	0	0	0	0	0	0	0	0	69653444	3980244	3980244	0	0	0	0	0	0	0	587079028	1773225432	5673438	0	0	0	43782684	43782684	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	397800000	153000000	115600000	0	0	0	0	139306678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530000159	65675016	43783344	0	0	1094874	169157860	199009840	0	0	0	0	19900954	0	0	49752460	0	0	0	0	0	796037224	0	497523850	0	0	9950492	0	1094551183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129356396	0	0	0	0	0	0	0	0	0	7811136220	2083689144	5474370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	367200000	64600000	30600000	0	0	0	0	59702862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4975380	995076	0	0	298602	33831572	69653444	0	0	0	0	0	0	0	9950492	0	0	0	0	0	99504653	0	318415264	0	0	0	0	796037224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995115	29851476	0	0	0	0	0	0	0	0	0	388069188	72640548	1493010	0	0	28858335	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	329800000	47600000	34000000	0	0	0	0	79603816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170000051	28857204	16916292	0	0	497670	67663144	49752460	0	0	0	0	0	0	0	0	0	0	0	0	0	99504653	0	298514310	0	0	0	0	696532571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69653444	0	0	0	0	0	0	0	0	0	7273809652	633863412	2488350	0	0	0	0	0	99504770	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	156400000	10200000	13600000	0	0	0	0	39801908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18906444	15921216	0	0	199068	0	0	0	0	0	0	19900954	0	0	0	0	0	0	0	0	0	0	59702862	0	0	9950492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59702952	0	0	0	0	0	0	9950492	0	0	1253761992	213941340	995340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
