Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	828552800000	158032000000	25452400000	0	0	0	0	157801596436	0	0	0	0	0	0	0	0	0	0	0	0	0	15000045	10000030	0	65000195	0	0	0	0	129890038967	60854795926	642843548	142225680	0	2301613212	156565624363	157140898894	0	0	0	999080	420314322	0	4000934	43705453254	999080	0	0	0	160204816	181033188052	100350434	716494806974	0	0	250342294	0	953117108586	0	0	0	180274956	10035070	0	0	0	0	0	0	0	40051204	0	0	0	49068230	247466799826	24039916	20016932	0	0	0	40006666	350514842	0	0	2569919773358	521714580110	11563546794	820063910	582221918	122064090	50000015	0	0	2124759380	374000000	3066633747	333200000	0	1101185420	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2305200000	1115200000	737800000	0	0	0	0	1078975836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6760002028	136873960	100907080	0	0	3997360	1324740612	989062668	0	0	0	0	219791374	0	0	329687556	0	0	0	0	9990532	2897246566	599430324	2078027536	0	0	19981064	1998130	6793543672	0	0	0	0	0	0	0	0	4995400	1998160	0	0	0	0	0	0	999120	189820108	0	0	0	0	0	9990532	109895852	9990532	0	1058996392	961114960	21385876	4995600	0	0	160000048	17000000	24977000	99905170	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1458600000	1723800000	493000000	0	0	0	0	1840660180	0	0	0	0	0	0	0	2000030	4000060	2000030	0	4200630	2400360	70000210	5000015	45000135	20000060	0	0	0	0	2990000897	210859328	336082832	8006002	4000774	7902814	1973004215	1150826314	0	0	0	5008762	621104498	99905320	3006268	2131501818	11997868	0	0	1998160	30016134	3299093682	1899532166	1600086088	79924256	0	450108396	4005168	7301531162	3996260	0	1998160	189998260	59987730	40051204	19981064	0	0	0	0	0	20025602	0	0	0	10017924	170061734	6003298	10026282	0	0	1998130	40006666	149991594	129921454	0	1071080210	1382226488	40425964	63136082	30016490	104178908	0	0	0	0	0	441580204	0	0	100128010	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	608600000	343400000	0	0	0	0	0	279734476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104903400	72932840	0	0	2398416	135870832	249763300	0	0	0	0	39962068	0	0	419602344	0	0	0	0	0	299715162	0	439582748	0	0	0	1998130	1998101080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279734896	0	1998130	0	0	0	0	0	0	0	1398674480	489549200	7495050	0	0	9990650	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	459000000	217600000	146200000	0	0	0	0	279734476	0	0	0	0	0	0	0	0	0	0	0	100015	0	0	0	0	0	0	0	0	0	1380000414	95911680	17983440	28973320	999080	1499010	271741664	299715960	0	0	0	0	0	0	0	99905320	0	0	0	0	0	499525270	0	459563782	0	0	159848512	0	599430324	0	0	0	59943192	19981064	0	9990532	0	0	0	0	0	59943192	0	0	0	26976240	59943192	31970080	31970080	0	0	0	0	29971596	0	0	299715960	592454440	22085414	134881200	159850400	159850400	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	445400000	146200000	0	0	0	0	0	219791374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41961360	27974240	0	0	799472	271741664	129876916	0	0	0	0	0	0	0	129876916	0	0	0	0	19981064	99905054	0	399620680	0	0	0	0	1098955594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999120	89914788	0	0	0	0	0	0	0	0	0	449573940	209806800	3997360	4995600	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x4d370	404600000	248200000	129200000	0	0	0	0	139867238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1160000348	78927320	44958600	0	0	699538	135870832	149857980	0	0	0	0	0	0	0	49952660	0	0	0	0	0	499525270	0	479544816	0	0	0	0	999050540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129876916	0	0	0	0	0	0	0	0	0	649384580	548494920	3497690	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	401200000	64600000	40800000	0	0	0	0	139867238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350000105	65939280	15985280	0	0	1199208	33967708	109895852	0	0	0	0	0	0	0	29971596	0	0	0	0	0	0	0	399620680	0	0	29971596	1998130	199810108	0	0	0	9990532	0	0	0	0	0	0	0	0	0	0	0	0	0	79924256	3996260	3996260	0	0	0	0	0	0	0	399621280	450585080	5996040	0	19981300	19981300	0	0	0	0	78200000	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	360400000	68000000	0	0	0	0	0	59943102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8991720	5994480	0	0	299802	169838540	79924256	0	0	0	0	0	0	0	0	0	0	0	0	0	99905054	0	299715510	0	0	0	0	499525270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55948480	1499010	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	309400000	78200000	51000000	0	0	0	0	79924136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	35966880	17983440	0	0	299802	67935416	49952660	0	0	0	0	0	0	0	9990532	1998160	0	0	0	0	99905054	0	379639646	0	0	0	0	399620216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49952660	0	0	0	0	0	0	0	0	0	359659152	256763560	1499010	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
