Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	828977800000	158487600000	78414200000	5899489	814708003	4149449	0	157960458049	19533360	4883340	4883340	4883340	0	0	0	18612903	0	14287181	0	147908449	0	1021731407	497095685	4883340	3441198071	0	0	0	0	423500127050	63246425414	636752983	138281833	0	2287405593	155572868125	156268481728	0	0	0	985924	497436112	0	0	42616586194	0	0	0	0	99460012	176371110192	396553544	700109691433	0	0	288294258	0	933682672848	0	0	0	238728951	0	0	0	0	0	0	0	0	9925712	0	0	0	47749756	244860795893	13936650	15905362	0	0	0	9977232	537191193	99126408	0	2508410453650	548695487008	11479248070	1176400000	314304689	3381457987	1043004805	113473095	137045747	2254200000	580000174	2061608108	744600000	0	0	0	0	2890548359	34586056	7813552	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2349400000	1094800000	724200000	0	0	0	0	1095194485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	155322804	93591946	0	0	3784496	981691064	1025501784	0	0	0	0	159301016	0	0	338515152	0	0	0	0	19912656	2887327580	796504160	2110738462	0	0	19912656	0	6869848380	3982578	0	0	9956328	9956328	0	9956328	0	5973954	995659	0	0	0	0	0	0	995699	228995544	0	0	0	0	0	19912656	69694296	0	0	1692575760	1006611249	19619624	0	4978495	0	49781640	0	0	0	50000015	0	0	0	51774268	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1404200000	1649000000	853400000	0	0	2031723	0	2058853652	0	0	0	0	0	0	0	0	0	1953358	976679	0	95214	33766714	0	25200035	19286694	0	0	0	0	2450000735	164184766	336294179	2972557	1006221	5074448	1960608402	1104274392	0	0	0	2983916	218745253	119475936	995699	2127866930	9950311	0	0	0	0	4274470350	896067180	1234368581	99563280	0	288610334	1991289	6967907511	1991289	0	1991318	99484401	29868984	29868984	19912656	995699	0	0	0	0	19912656	0	0	0	5981678	198879367	11927770	5982344	0	0	0	149247568	288664311	159301248	0	1612432755	846531231	32114199	34000000	40977261	0	99563280	59638850	73880678	0	4250001275	0	0	0	0	0	4978495	0	0	18110500	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	547400000	316200000	0	0	0	0	0	318602032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116492103	78657061	0	0	2091432	338514160	288733512	0	0	0	0	19912627	0	0	398253120	0	0	0	0	9956328	99563020	0	517728302	0	0	0	0	2190386440	1991289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258864528	0	0	0	0	0	0	0	0	0	1294322640	542634155	8963280	0	0	0	49781640	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	469200000	244800000	0	0	0	0	0	179213643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50778609	24891475	0	0	1195104	236959912	189170232	0	0	0	0	19912627	0	0	79650624	0	0	0	0	9956328	99563020	0	418165167	0	0	0	0	497815100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995699	49781640	0	0	0	0	0	0	0	0	0	248908200	253893045	5477560	0	4978495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	459000000	241400000	136000000	0	0	0	0	278776778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000420	97574582	15930544	24891475	3982636	1294696	270811328	199126560	0	0	0	0	19912627	0	0	149344920	0	0	0	0	0	298689060	0	358427286	0	0	408209448	0	1493445300	0	0	0	119475936	9956328	0	0	0	0	0	0	0	29868984	0	0	0	27879572	69694296	31860624	31860624	0	0	0	29868984	89606952	0	0	348471480	599386718	10058792	0	139397860	0	0	159303120	159303120	0	0	0	0	68700471	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	408000000	166600000	125800000	0	0	0	0	219038897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190000057	75670084	45800314	995659	0	896328	203108496	189170232	0	0	0	0	59737881	0	0	59737968	0	0	0	0	0	298689060	99563020	517728302	0	0	0	0	597378120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	995699	69694296	0	0	0	0	0	0	0	0	0	457991088	455016163	4481640	0	4978495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	404600000	85000000	51000000	0	0	0	0	39825254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70000021	58743881	14934885	0	0	896328	101554248	59737968	0	0	0	0	0	0	0	39825312	0	0	0	0	0	99563020	0	378339913	0	0	29868984	1991289	398252080	0	0	0	19912656	0	0	0	0	0	0	0	0	0	0	0	0	0	139388592	3982578	5973867	0	0	0	0	9956328	0	0	1025501784	359432899	5577152	0	0	0	0	41817069	51773514	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	319600000	95200000	40800000	0	0	0	0	99563135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000030	33852406	10952249	0	0	796736	101554248	69694296	0	0	0	0	0	0	0	0	995659	0	0	0	0	0	0	298689405	0	0	0	1991289	696941140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19912656	0	0	0	0	0	0	0	0	0	99563280	202118777	3983680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	316200000	57800000	0	0	0	0	0	119475762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2986977	8960931	0	0	298776	101554248	89606952	0	0	0	0	0	0	0	9956328	0	0	0	0	0	99563020	0	258864151	0	0	0	0	696941140	0	0	0	9956328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1991289	0	0	0	0	0	0	0	0	14934885	1493880	0	0	0	0	0	9956445	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	200600000	34000000	0	0	0	0	0	59737881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16926203	12943567	0	0	597552	0	9956328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79650508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19912656	0	0	0	0	0	0	0	0	0	99563280	84631015	2987760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
