Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	24418800000	4787200000	3393200000	12491721	810934032	30438805	0	4518459066	0	0	0	0	0	0	0	5997383	1190016	2385516	0	70780333	0	1787301573	0	6800010	5633933363	0	0	0	0	18820005646	1355302634	87770210	0	0	52122779	3414582513	3343007682	0	0	0	0	0	0	0	1165251984	0	0	0	0	0	3370960927	0	21142448512	0	0	0	0	29263747160	0	0	0	10913828	0	0	0	0	0	0	0	0	0	0	0	0	0	6989559337	0	0	0	0	0	0	34076362	0	0	41300819361	6767672927	257942632	0	0	0	0	465800000	0	0	0	774880912	120062675	50000015	2413964048	67833340	1771400000	43784716	299200000	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2301800000	1111800000	972400000	0	0	0	0	1156864072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1510000453	156071916	117872496	0	0	4148460	1187420960	1178693424	0	0	0	0	218276240	0	0	305587184	0	0	0	0	21827656	3274139700	873103920	2248245272	0	0	0	0	7530521310	0	0	0	0	0	0	0	0	6548472	2182824	0	0	0	0	0	0	1091455	218276560	0	2182791	0	0	2182791	10913828	98224452	0	0	2160937944	1311877224	23471550	17463280	0	10913955	44747892	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	907800000	615400000	401200000	0	571834	1244125	0	584790600	0	0	0	0	0	0	0	1190016	0	0	0	100015	0	24704874	0	28854887	24704874	0	0	0	0	1010000303	156548410	116666103	1091412	0	2838420	445282860	371070152	0	0	0	0	109138120	54569140	0	811736425	6548472	0	0	0	0	1091379900	763965930	745630634	87310624	0	130965936	2182791	3404363299	2182791	0	1091412	65482968	21827656	0	10913828	1091455	0	1091412	0	0	0	0	0	0	4365820	264193063	0	4365582	0	0	0	61200090	138855452	148679774	0	1801173747	1575107162	14192100	30560740	0	63300939	0	0	5457275	0	0	0	54569140	0	0	0	13600000	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	761600000	323000000	183600000	0	0	0	0	414724856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910000273	134243676	104775552	0	0	2729250	371069050	283759528	0	0	0	0	43655248	0	0	349242496	0	0	0	0	0	436551960	0	1004070704	0	0	0	0	2946725730	2182791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218276560	0	0	0	0	0	0	0	0	0	1091382800	633018960	7096050	0	0	0	0	0	0	0	0	0	0	120000036	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	625600000	227800000	159800000	0	0	0	0	152793368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800000240	62210484	34925184	0	0	2183400	222641430	185535076	0	0	0	0	21827624	0	0	163707420	0	0	0	0	10913828	0	0	676656344	0	0	0	0	1746207840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87310624	0	0	0	0	0	0	0	0	0	436553120	307778184	9279450	0	0	0	0	0	0	0	0	0	54569140	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	472600000	221000000	170000000	0	0	0	0	261931488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330000399	94952844	17462592	27285300	0	1200870	222641430	240104216	0	0	0	0	21827624	0	0	109138280	0	0	0	0	0	654827940	109137990	545690600	0	0	556605228	0	2619311760	0	0	0	152793592	0	0	0	0	0	0	0	0	65482968	0	0	0	26194920	65482968	26193492	28376283	0	0	0	0	21827656	0	0	327414840	622104840	11244510	130974600	130967460	141881415	0	0	0	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	408000000	197200000	180200000	0	0	0	0	196448616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190000057	101501316	54570600	0	0	873360	222641430	196448904	0	0	0	0	0	0	0	65482968	0	0	0	0	0	545689950	0	567518224	0	0	0	0	1091379900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130965936	0	0	0	0	0	0	0	0	0	982244520	736703100	4366800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	370600000	74800000	57800000	0	0	0	0	87310496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	87312960	18554004	0	0	1200870	37106905	87310624	0	0	0	0	0	0	0	21827656	1091412	0	0	0	0	109137990	0	414724856	0	0	65482968	2182791	218275980	2182791	0	0	10913828	0	0	0	0	0	0	0	0	0	0	0	0	0	109138280	4365582	0	0	0	0	0	0	0	0	960416864	647207316	6004350	0	45838611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	363800000	61200000	64600000	0	0	0	0	152793368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60000018	41473656	15279768	0	0	655020	148427620	54569140	0	0	0	1091412	21827624	0	0	21827656	0	0	0	0	0	109137990	0	261931488	0	0	0	0	436551960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43655312	0	0	0	0	0	0	0	0	0	458380776	296864064	3275100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	268600000	88400000	51000000	0	0	0	0	43655248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280000084	3274236	8731296	0	0	109170	74213810	32741484	0	0	0	0	0	0	0	21827656	0	0	0	0	0	327413970	0	371069608	0	0	0	0	545689950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16371180	545850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	159800000	20400000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000036	17462592	8731296	0	0	109170	0	21827656	0	0	0	1091412	0	0	0	0	0	0	0	0	0	0	0	240103864	0	0	0	2182791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10913828	0	0	0	0	0	0	0	0	0	54569140	87312960	545850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
