Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29297800000	5899000000	3801200000	25387166	1620254084	56408913	0	5808408990	0	0	0	0	0	0	0	4694847	0	0	0	50331095	0	1342429181	0	18882464	6430587677	0	0	0	0	22360006708	1482243930	92316474	0	0	57177661	3808756789	3791937635	0	0	0	0	0	0	0	1323364594	1017516	0	0	0	0	2801359382	0	18726010880	0	0	0	0	29828762826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7327815784	0	0	0	0	0	0	174938915	0	0	43460848952	8428580316	282042553	0	0	0	1679939332	0	0	0	0	0	4243200000	5323377340	5565800000	965600000	99891295	333794968	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2281400000	1176400000	690200000	0	0	0	0	1119236415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6860002058	145504788	95646504	0	0	4274718	968646812	1078538552	0	0	0	0	203497530	0	0	335771436	0	0	0	0	20349784	3255956672	915737814	2136724065	0	0	10174892	0	6918907928	0	0	0	10174892	10174892	0	0	0	5087580	2035032	0	0	0	0	0	0	0	162798272	0	2035002	0	0	0	20349784	91574028	0	0	813991360	766189548	22086043	0	0	10175010	0	25437900	588106993	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	979200000	615400000	197200000	229513	1157276	2682757	0	846027373	0	0	0	0	0	0	0	0	0	3674834	0	2867102	2692857	54170377	0	13783946	14250995	0	0	0	0	3620001086	126697588	106419260	1017516	1017516	3421915	830268696	539269276	0	0	0	1017516	115348765	71224244	0	341128431	7122612	0	0	0	0	1696480716	949989004	841190120	61049352	0	244197408	2035002	3255956672	0	0	2035032	50874460	10174892	10174892	0	0	0	0	0	0	0	0	0	0	3052671	152623380	4070004	4070004	0	0	2035002	20349784	122098704	162798272	0	763116900	618225200	14565100	15263355	20350020	20350020	203497530	0	0	0	0	122098704	30600000	2788076	13600000	85000000	918052	36065866	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	887400000	404600000	0	0	0	0	0	264546789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350000705	120066888	97681536	0	0	2442696	311350761	244197408	0	0	0	0	0	0	0	427345464	0	0	0	0	10174892	508743230	0	915738885	0	0	0	2035002	2034972920	2035002	0	0	10174892	0	0	0	0	0	0	0	0	0	0	0	0	0	305246760	0	0	0	0	0	0	0	0	0	1526233800	574896540	8142320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	710600000	289000000	0	0	0	0	0	244197036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1630000489	53928348	33578028	0	0	1730243	172972645	162798272	0	0	0	0	20349753	0	0	111923812	0	0	0	0	10174892	0	0	691891602	0	0	0	0	1220983752	0	0	0	0	0	0	0	0	0	0	0	0	10174892	0	0	0	0	111923812	0	0	0	0	2035002	0	0	0	0	559619060	259466580	8651215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x4d370	428400000	200600000	122400000	0	0	0	0	223847283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060000318	85471344	45788220	0	0	508895	276756232	152623380	0	0	0	0	20349753	0	0	61049352	0	0	0	0	0	610491876	0	508743825	0	0	0	0	1119235106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132273596	0	0	0	0	0	0	0	0	0	661367980	427356720	2544475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
do_lookup_x	421600000	244800000	146200000	0	0	0	0	264546789	0	0	0	0	0	0	0	0	0	0	0	534155	0	4590006	0	0	0	0	0	0	0	1360000408	101751600	16280256	25437900	1017516	1221348	242161703	264547192	0	0	0	0	0	0	0	132273596	0	0	0	0	0	508743230	203497292	447694566	0	0	356121220	0	1220983752	0	0	0	50874460	0	0	10174892	0	0	0	0	0	71224244	0	0	0	29509153	71224244	34595034	30525030	0	0	0	10174892	40699568	0	0	356121220	618649728	8651215	147545765	172975170	152625150	0	0	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x39a20	384200000	54400000	47600000	0	0	0	0	61049259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	35613060	15262740	0	0	305337	103783587	10174892	0	0	0	0	0	0	0	30524676	0	0	0	0	0	101748646	0	427344813	0	0	0	0	508743230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61049352	0	0	0	0	0	0	0	0	0	305246760	178065300	1526685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x26460	363800000	57800000	47600000	0	0	0	0	142448271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	72243636	16280256	0	0	1628464	103783587	111923812	0	0	0	0	0	0	0	40699568	0	0	0	0	0	0	0	325596048	0	0	30524676	0	305245938	0	0	0	10174892	10174892	0	0	0	0	0	0	0	10174892	0	0	0	0	101748920	2035002	0	0	0	0	0	0	10174892	0	508744600	361218180	9261889	0	10175010	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	353600000	68000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480000144	3052548	6105096	0	0	0	103783587	71224244	0	0	0	0	0	0	0	0	0	0	0	0	0	203497292	0	366295554	0	0	0	0	813989168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15262740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	163200000	27200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	18315288	7122612	0	0	0	0	20349784	0	0	0	0	0	0	0	10174892	0	0	0	0	0	0	0	142448271	0	0	0	0	101748646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10174892	0	0	0	0	0	0	0	0	0	50874460	91576440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
