Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29308000000	5375400000	3094000000	0	0	0	0	5373919566	0	0	0	0	0	0	0	1000015	0	0	0	4700705	0	65000195	0	0	5000015	0	0	0	0	31710009513	1650537588	105611257	0	0	75064948	5225938353	5723435691	0	0	0	0	0	0	0	2003985132	0	0	0	0	0	5543794472	0	28753668123	0	0	9860014	0	35305886567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8887114286	2122261	0	0	0	0	0	119879343	10611178	0	370982643	64619969254	9221539558	100000030	0	36078437	0	0	0	0	0	0	0	17000000	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2305200000	1125400000	744600000	0	0	0	0	1209672525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6800002040	160233046	102931162	0	0	4245720	1190570667	1135396046	0	0	0	1061146	148556275	0	0	307724162	0	0	0	0	21222356	3077233500	742780500	2270788775	0	0	0	4244522	6791136000	0	0	0	0	0	0	10611178	0	5305730	2122292	0	0	0	0	0	0	1061188	180390026	2122261	0	0	0	2122261	21222356	95500602	0	0	21971601	1411286674	1140731950	50000015	22284948	10611305	0	43506986	17000000	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	904400000	564400000	377400000	0	0	500015	0	658977067	5000015	0	0	0	0	0	0	3000045	1000015	0	0	0	0	0	0	0	0	0	0	0	0	3340001002	74280220	85792020	0	0	2638547	469012687	329489015	0	0	0	1061146	169778600	106111780	0	744311354	5305730	0	0	0	0	1635072108	976703304	1001181766	10611178	0	182017517	0	1486839615	0	0	0	42444712	21222356	21222356	21222356	1061188	0	1061146	0	0	10611178	0	0	0	0	191001204	0	2122261	0	0	2122261	10611178	53055890	169778848	0	13298878	955006020	440375590	0	0	0	10611305	0	0	0	0	0	5305940	20400000	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	880600000	394400000	251600000	0	0	0	0	339557200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680000204	206923470	176150236	0	0	4245720	396856889	244057094	0	0	0	0	42444650	0	0	307724162	0	0	0	0	10611178	212223000	0	997449275	0	0	0	0	2758899000	2122261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307724162	0	0	0	0	2122261	0	0	0	0	16452165	1538620810	944419940	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	737800000	265200000	163200000	0	0	0	0	212223250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340000102	83830534	58363030	0	0	2229003	324701091	180390026	0	0	0	0	0	0	0	84889424	0	0	0	0	10611178	0	0	700336725	0	0	0	0	1697784000	0	0	0	0	0	0	0	0	0	0	0	0	10611178	0	0	0	0	116722958	0	0	0	0	0	0	0	0	0	10083585	583614790	408541210	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	435200000	207400000	139400000	0	0	0	0	254667900	5000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1330000399	107175746	19100628	25467504	5305730	1167573	252545293	222834738	0	0	0	0	21222325	0	0	95500602	0	0	0	0	0	0	0	42444650	0	0	435058298	0	1273338000	0	0	0	127334136	21222356	0	0	0	0	0	0	0	74278246	0	0	0	27590888	63667068	36078437	36078437	0	0	0	10611178	31833534	0	0	8916012	318335340	658971666	0	137954440	180392185	180392185	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	411400000	187000000	105400000	0	0	0	0	169778600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140000342	82769388	46690424	0	0	1379859	108233697	222834738	0	0	0	0	63666975	0	0	74278246	0	0	0	0	0	848892000	0	509335800	0	0	0	0	1379449500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159167670	0	0	0	0	0	0	0	0	0	6899295	1474953742	651543644	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	401200000	57800000	54400000	0	0	0	0	63666975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350000105	65791052	15917190	0	0	636858	144311596	53055890	0	0	0	0	0	0	0	21222356	0	0	0	0	0	0	0	403224175	0	0	74278246	0	424446000	2122261	0	0	21222356	0	0	0	0	0	0	0	0	0	0	0	0	1061188	74278246	2122261	4244522	0	0	0	0	0	0	0	3184290	371391230	498738620	0	5305940	10611305	21222610	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	340000000	95200000	47600000	0	0	0	0	42444650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530000159	42445840	18039482	0	0	530715	36077899	63667068	0	0	0	0	0	0	0	0	2122292	0	0	0	0	0	0	275890225	0	0	0	2122261	636669000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53055890	0	0	0	0	0	0	0	0	0	2653575	774615994	314099216	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	312800000	71400000	47600000	0	0	0	0	42444650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000036	5305730	7428022	0	0	106143	36077899	95500602	0	0	0	0	0	0	0	0	0	0	0	0	0	212223000	0	382001850	0	0	0	0	530557500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21222356	0	0	0	0	0	0	0	0	0	530715	106111780	26528650	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	173400000	13600000	6800000	0	0	0	0	42444650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000012	16978336	7428022	0	0	106143	0	31833534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191000925	0	0	0	0	212223000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42444712	0	0	0	0	0	0	0	0	0	530715	212223560	84891680	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
