Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	104781200000	21083400000	14810400000	41011963	2923565764	45411615	0	21273286386	0	0	0	0	0	0	0	12343907	0	9865066	0	294754217	0	4334348276	374644627	22855443	15497173258	0	0	0	0	80850024255	6509199827	189869673	0	0	251953488	17087868203	17389303773	0	0	0	0	21071052	0	0	5159690793	0	0	0	0	10282786	17949265680	99043359	78421337523	0	0	19428599	0	103961224347	0	0	0	0	0	9860014	0	0	0	0	0	0	0	0	0	0	0	26860962378	0	0	0	0	0	10282786	42432451	10282786	0	296100517308	59301116905	1258656323	3186890210	6970000000	2084200000	1455200000	152104760	337472320	50000015	0	0	0	0	0	0	9506734105	182098059	122956018	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2312000000	1101600000	741200000	0	0	0	0	1151670408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6820002046	154245900	99745682	0	0	3908604	1118763840	1079692530	0	0	0	0	185089887	0	0	277635222	0	0	0	0	10282786	2982000139	1028275910	2097685386	0	0	0	2056582	6992276188	2056582	0	0	0	10282786	0	0	0	6169836	3084918	0	0	0	0	0	0	1028347	267352436	2056582	0	0	0	0	20565572	71979502	0	0	1336762180	778427642	20263026	0	0	0	0	0	0	50000015	5141735	10282910	0	30849180	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	887400000	673200000	499800000	555784	2425643	6290922	0	819123503	0	0	0	5000015	0	0	0	9597796	0	1055338	0	105548	212999	109946322	0	96641000	21668331	0	0	0	0	2620000786	77159904	80992523	1028306	0	2040782	483165207	432660619	0	0	0	1028306	123393258	113110646	2056694	956879049	11311366	0	0	1028306	10680016	1028275910	411310364	306420800	10282786	0	102827860	0	1648109390	0	0	2056612	81548087	51413930	30848358	41131144	3085041	0	0	0	0	10282786	0	0	0	2976089	253801282	2056582	0	0	0	4113164	0	30848358	164524576	0	1680317850	504054710	8661040	288999500	0	0	0	0	0	0	14880445	10282910	0	0	0	15425205	4917672	1093396	6332124	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	625600000	292400000	204000000	0	0	0	0	329048688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122368414	85349398	0	0	2880024	174806850	236504078	0	0	0	0	41131086	0	1028347	287918008	0	0	0	0	10282786	205655182	0	904883892	0	0	0	2056582	2570689775	2056582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164524576	0	0	0	0	0	0	0	0	0	822622880	596417480	10800090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	452200000	173400000	139400000	0	0	0	0	143958801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52443606	29820874	0	0	1131438	174806850	133676218	0	0	0	0	0	0	0	71979502	0	0	0	0	10282786	102827591	0	534704118	0	0	0	0	1439586274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82262288	0	0	0	0	0	0	0	0	0	411311440	259133112	7302918	0	0	0	17000000	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	425000000	265200000	136000000	0	0	0	0	205655430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1410000423	102830600	18509508	23651038	4113224	1234296	209768220	226221292	0	0	0	0	0	0	0	123393432	0	0	0	0	0	0	0	246786516	0	0	431877012	0	1131103501	0	0	0	195372934	30848358	10282786	0	0	0	0	0	0	71979502	0	0	0	28793716	61696716	32905312	34961894	0	0	0	10282786	41131144	0	0	2776352220	3393409800	13577256	0	0	0	0	0	0	0	1295717220	1480739040	1573285230	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	404600000	221000000	122400000	0	0	0	0	267352059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060000318	89462622	48330382	0	0	822864	174806850	205655720	0	0	0	0	61696629	0	0	71979502	0	0	0	0	0	719793137	0	534704118	0	0	0	0	1131103501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51413930	0	0	0	0	0	0	0	0	0	257069650	447313110	4114320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	380800000	61200000	37400000	0	0	0	0	41131086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	67868196	16452896	0	0	720006	69922740	51413930	0	0	0	0	0	0	0	51413930	0	0	0	0	0	0	0	452441946	0	0	51413930	2056582	308482773	0	0	0	20565572	0	0	0	0	0	0	0	0	10282786	0	0	0	1028347	143959004	4113164	4113164	0	0	0	0	10282786	0	0	719795020	339340980	4731468	0	0	0	0	0	0	0	5141735	20565820	20565820	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	360400000	64600000	40800000	0	0	0	0	82262172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490000147	30849180	15424590	0	0	617148	104884110	30848358	0	0	0	0	0	0	0	10282786	2056612	0	0	0	0	0	102827591	390745317	0	0	0	0	616965546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20565572	0	0	0	0	0	0	0	0	0	102827860	154245900	3085740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	326400000	95200000	44200000	0	0	0	0	61696629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8226448	6169836	0	0	102858	104884110	71979502	0	0	0	0	0	0	0	0	0	0	0	0	0	205655182	0	370179774	0	0	0	0	205655182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41132240	514290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	149600000	27200000	13600000	0	0	0	0	20565543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17481202	11311366	0	0	205716	69922740	20565572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185089887	0	0	0	0	308482773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20565572	0	0	0	0	0	0	0	0	0	102827860	94604152	1028580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
