Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	126762200000	23987000000	4216000000	467524	34595888	701268	0	23738827853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30387539	0	0	0	0	79850023955	8438599489	256638900	990901	0	346393742	23587377187	23509691977	0	0	0	0	140124533	0	1014314	7018390584	1014273	0	0	0	40102418	25165368357	99087195	109924767434	0	0	40569852	2028516	146274345765	1981773	0	0	40102418	0	0	0	0	0	0	0	0	0	0	0	0	0	37152319390	1981773	2028516	0	0	0	20051209	50011164	20051209	0	1062426241499	170990818344	1723622844	299200000	0	9908865	10142580	0	0	418811260	100000030	149799775	509317715	0	88400000	40800000	108462784	1870096	1870048	gaussian	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2125000000	1111800000	710600000	278198	17247749	9458443	0	970426284	0	0	0	0	0	0	0	1112742	0	3338226	0	0	0	133527456	0	11127288	155782032	0	0	0	0	6060001818	147069585	80127567	0	0	3347982	931075317	791112114	0	0	0	0	141994265	0	0	253561575	0	0	0	0	10142463	2434184568	507121785	1541652020	0	0	0	2028516	5476915278	2028516	0	0	0	0	0	0	0	6085638	0	0	0	10142463	0	0	0	0	182564334	0	2028516	0	0	0	20284926	81139704	0	0	912821670	756647658	18870444	81600000	0	0	10142580	0	30428190	145933563	0	0	0	0	112200000	27200000	56194279	1112792	40615667	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	945200000	731000000	251600000	0	0	556379	0	1228964801	0	0	0	0	0	0	0	0	0	0	0	1446757	1224179	16690932	0	0	11127288	0	0	0	0	2430000729	204574492	192613564	2005174	2005174	3817844	1267177042	642573556	0	0	0	1014273	162279160	152136945	0	889965857	7099911	0	0	0	0	1622789712	1318516641	1052477375	81139704	0	293196559	0	3641928204	0	0	1014273	50478598	30427389	50478598	30427389	0	0	0	0	0	10142463	0	0	0	3042942	101424630	0	4010289	0	0	0	20284926	101190913	121709556	0	507123150	1004302433	18098060	0	15214710	0	20051445	0	0	0	50000015	0	0	0	0	0	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	710600000	370600000	0	0	0	0	0	446267690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179526321	137941128	0	0	4159614	551748336	324558816	0	0	0	0	20284895	0	1014314	496980687	0	0	0	0	20284926	202848714	0	588261955	0	0	0	2028516	1521365355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192706797	0	0	0	0	0	0	0	0	0	2190772008	1319569173	11667210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	629000000	234600000	0	0	0	0	0	283988530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76070475	47670831	0	0	1623264	310358439	263704038	0	0	0	0	20284895	0	0	111567093	0	0	0	0	10142463	304273071	0	507122375	0	0	0	0	1115667927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81139704	0	0	0	0	0	0	0	0	0	628832706	572049972	10145400	0	0	0	0	0	0	0	0	0	0	0	17000000	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	455600000	214200000	153000000	0	0	0	0	223133845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420000426	101427300	20285460	26371098	1014273	1623264	310358439	243419112	0	0	0	0	40569790	0	0	121709556	0	0	0	0	0	405697428	0	507122375	0	0	182564334	0	507121785	0	0	0	101424630	30427389	20284926	20284926	0	0	0	0	0	70997241	0	0	0	25357850	70997241	32456256	28399224	0	0	0	10142463	40569852	0	0	354986205	562921515	14406468	0	126789250	162281280	141996120	69984837	0	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	414800000	61200000	57800000	0	5563790	1669137	0	60854685	0	0	0	0	0	0	0	1112742	0	1112742	0	1335468	0	5563644	5563644	0	27818220	0	0	0	0	360000108	78099021	14199822	0	0	1115994	0	30427389	0	0	0	0	0	0	0	10142463	0	0	0	0	0	0	0	283988530	0	0	30427389	0	101424357	0	0	0	10142463	0	0	0	0	0	0	0	0	0	0	0	0	1014314	162279408	4057032	2028516	0	0	0	0	0	0	0	811397040	390495105	5579970	27200000	5071570	20285160	10142580	0	0	0	0	0	0	0	0	71400000	41728425	0	10014822	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	387600000	149600000	102000000	0	7789306	5007411	0	112551747	0	0	0	0	0	0	0	0	0	0	0	4340271	0	55636440	0	0	38945508	0	0	0	0	1070000321	83170386	43613739	0	0	507270	68968542	182564334	0	0	0	0	20284895	0	0	50712315	0	0	0	0	0	405697428	101424357	405697900	0	0	0	0	1014243570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152136945	0	0	0	0	0	0	0	0	0	760684725	415851930	2536350	0	0	0	0	0	0	44509088	50000015	0	0	0	0	0	31157224	0	13353096	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x39a20	343400000	85000000	47600000	0	4451032	1112758	0	51697062	0	0	0	0	0	0	0	1112742	0	0	0	0	0	11127288	0	5563644	16690932	0	0	0	0	440000132	34485282	15214095	0	0	405816	103452813	70997241	0	0	0	0	20284895	0	0	10142463	2028546	0	0	0	0	0	0	263703635	0	0	0	0	304273071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40569852	0	0	0	0	0	0	0	0	0	202849260	172426410	2029080	0	0	0	0	0	0	0	0	0	0	0	0	0	18916886	0	11127580	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	336600000	88400000	0	0	0	0	0	101424475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8114184	9128457	0	0	101454	34484271	91282167	0	0	0	0	0	0	0	10142463	0	0	0	0	0	0	0	324558320	0	0	0	0	405697428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74041929	507270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
[libdeflate.so.0]	190400000	44200000	34000000	0	556379	0	0	81139580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240000072	0	21299733	0	0	0	34484271	20284926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101424475	0	0	0	0	101424357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10142463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2225516	0	0	libdeflate.so.0	[libdeflate.so.0]	[Unknown]	0x0
