Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.250835
1	SP GFLOPS	0.0
1	DP GFLOPS	0.0
1	x87 GFLOPS	0.0
1	CPI Rate	0.322607
1	Average CPU Frequency	4128178324.115318
1	Total Thread Count	15
0	Effective Physical Core Utilization	11.6% (2.310 out of 20)
1	Effective Logical Core Utilization	8.3% (2.310 out of 28)
0	Memory Bound	0.0
1	Performance-core (P-core)	
2	Memory Bound	0.0
3	Cache Bound	0.0
3	DRAM Bound	0.0
1	Efficient-core (E-core)	
2	Memory Bound	5.4
3	Cache Bound	2.3
3	DRAM Bound	1.3
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	72.000000	16.400000	2.142570	0.0
0	Vectorization	0.0
1	Instruction Mix	
2	SP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	DP FLOPs	0.0
3	Packed	0.0
4	128-bit	0.0
4	256-bit	0.0
3	Scalar	0.0
2	x87 FLOPs	0.0
2	Non-FP	0.0
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "16-27" "./bin/mean" "3" "12" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	26253545
1	Collection start time	11:18:45 12/03/2026 UTC
1	Collection stop time	11:18:47 12/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling,User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599895
2	Logical CPU Count	28
2	Max DRAM Single-Package Bandwidth	72000000000.000000
