Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292624400000	55338400000	13443600000	0	0	0	0	55030389870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65790019737	28398725376	370796260	3024581	1005555	802928714	54637283120	55050029632	0	0	0	0	161042578	0	0	14709880706	1005555	0	0	0	30205424	62062271040	0	254216656336	0	0	0	0	335397225300	0	0	0	30245002	0	0	0	0	0	0	0	0	0	0	0	0	1005595	87027948784	2018996	0	0	0	0	20189720	121019586	0	0	1021891270940	271286465571	4006788670	440000132	170000000	102000000	16089520	685102780	403200730	201501115	17000000	10094980	0	0	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2315400000	1156000000	737800000	0	0	0	0	1110432950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6850002055	143350846	98932274	0	0	3433252	1098317504	1019580860	0	0	0	0	181707210	0	0	333130380	0	0	0	0	20189720	2927501628	908534988	2160296830	0	0	10094860	2018996	6763538244	4037992	0	0	0	0	0	0	0	6057078	3028539	0	0	0	0	0	0	1009553	181707480	0	0	0	0	2018996	10094860	90853740	0	0	908537400	723820821	17166260	150000045	17000000	0	5047765	0	0	0	0	0	0	0	30285390	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1054000000	890800000	306000000	0	0	0	0	1350651148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3480001044	184455903	227734348	2015068	1009513	4336114	1405469944	877065480	0	0	0	5043607	181707210	121138320	2015148	998243378	10095130	0	0	0	0	1210984200	1009087536	928250798	60569160	0	252173610	2018996	3126627804	2018996	0	0	70584864	30284580	20189720	20189720	1009553	0	0	0	0	0	0	0	0	3028659	181549168	0	2018996	0	0	0	111043460	181667902	171612620	0	907745840	1991492312	27420476	50000015	0	0	15143295	0	50474300	100948450	0	0	10094980	0	0	0	5047765	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	618800000	343400000	0	0	0	0	0	343224730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600000780	115084482	80761040	0	0	2423472	308901798	252371500	0	0	0	0	0	0	0	403794400	0	0	0	0	0	504741660	100948332	504742250	0	0	0	0	3129398292	2018996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272561220	0	0	0	0	0	0	0	0	0	2816465940	1118540404	8078240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	462400000	224400000	153000000	0	0	0	0	242276280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	100951300	20190260	28266364	0	1514670	274579376	252371500	0	0	0	0	0	0	0	111043460	0	0	0	0	0	201896664	0	403793800	0	0	151422900	0	504741660	0	0	0	141328040	20189720	20189720	0	0	0	0	0	0	70664020	0	0	0	25238825	60569160	28265944	30284940	0	0	0	10094860	70664020	0	0	302845800	581479488	12925184	0	0	0	126194125	2299602274	191802340	0	0	141329720	151424700	16152208	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	445400000	234600000	0	0	0	0	0	181707210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810000243	43409059	26247338	0	0	1110758	171612110	111043460	0	0	0	0	40379380	0	0	40379440	0	0	0	0	20189720	100948332	0	423983490	0	0	0	0	706638324	0	0	0	10094860	0	0	0	0	0	0	0	0	0	0	0	0	0	70664020	0	0	0	0	0	0	0	0	0	837873380	489613805	6967482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x4d370	408000000	173400000	125800000	0	0	0	0	80758760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080000324	87827631	49466137	0	0	1514670	102967266	191802340	0	0	0	0	0	0	0	50474300	0	0	0	0	0	504741660	100948332	504742250	0	0	0	0	908534988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90853740	0	0	0	0	0	0	0	0	0	454268700	439138155	7573350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	397800000	61200000	44200000	0	0	0	0	80758760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	72684936	16152208	0	0	605868	34322422	40379440	0	0	0	0	0	0	0	0	0	0	0	0	0	100948332	0	282655660	0	0	60569160	0	100948332	0	0	0	30284580	0	0	0	0	0	0	0	0	0	0	0	0	1009553	100948600	6056988	6056988	0	0	0	0	0	0	0	504743000	409862278	4140098	0	0	0	5047765	0	0	0	0	30284940	30284940	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	350200000	78200000	0	0	0	0	0	60569070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460000138	4038052	9085617	0	0	0	0	60569160	0	0	0	0	0	0	0	10094860	0	0	0	0	0	0	0	383604110	0	0	10094860	0	605689992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10094860	0	0	0	0	0	0	0	0	0	50474300	52494676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	329800000	78200000	44200000	0	0	0	0	181707210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380000114	47447111	19180747	0	0	1009780	240256954	70664020	0	0	0	0	0	0	0	10094860	1009513	0	0	0	0	302844996	0	363414420	0	0	0	0	706638324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50474300	0	0	0	0	0	0	0	0	0	252371500	237235555	5048900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	156400000	10200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000036	13123669	6057078	0	0	0	0	20189720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181707210	0	0	0	0	403793328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30284580	0	0	0	0	0	0	0	0	0	474458420	130227177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
