Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	291890000000	55052800000	29753400000	0	0	0	0	54958329461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235720070716	28881505907	375085188	0	0	802619714	54151003813	54646994232	0	0	0	1012822	181115991	0	0	14468443698	0	0	0	0	10127953	62242824345	0	259044809564	0	0	80564694	0	343272047689	0	0	0	10100599	0	0	0	0	0	0	0	0	0	0	0	0	1012863	86250289347	0	0	0	0	0	0	169957833	10091609	0	809715944736	229165964421	4009295054	244800000	34000000	606239195	249889335	250000075	510936820	5064315	0	0	0	0	68000000	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2288200000	1166200000	731000000	0	0	0	0	1134329056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110000033	153948944	100269378	0	0	3849742	1101918016	992539394	0	0	0	0	202558760	0	0	374734261	0	0	0	0	20255906	2329423003	810234088	2147122856	0	0	10127953	2025615	6481872704	4051230	0	0	20255906	10127953	0	0	0	4051288	2025644	0	0	10127953	0	0	0	0	253198825	2025615	0	0	0	2025615	20255906	101279530	0	0	2025590600	1072578498	22389289	0	0	0	0	0	0	0	10128075	0	0	35448770	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1074400000	1009800000	445400000	0	0	0	0	1307758165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1850000555	121507723	165459485	2025644	0	4338053	1094745661	880907522	0	0	0	1996183	239674522	182303154	2025726	1361277438	16205152	0	0	2025644	0	1517212752	1114071871	687658267	70895671	0	202235917	0	3635068293	0	0	1012822	60731374	0	20255906	40511812	0	0	0	0	0	0	0	0	0	1012863	121404570	0	0	0	0	0	40511812	101279530	162047248	0	1849915877	660181346	83133949	0	0	199612710	0	0	0	5064315	0	0	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	629000000	326400000	0	0	0	0	0	344349892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109384776	75961650	0	0	2532725	275479504	202559060	0	0	0	0	0	0	0	405118120	0	0	0	0	20255906	607675566	0	688699784	0	0	0	0	2430702264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243070872	0	0	0	0	2025615	0	0	0	0	1215354360	516539220	8104720	0	0	0	50639765	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	459000000	217600000	0	0	0	0	0	182302884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43551346	26333372	0	0	1317017	275479504	192431107	0	0	0	0	0	0	0	91151577	0	0	0	0	0	0	0	324094016	0	0	0	0	607675566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91151577	0	0	0	0	0	0	0	0	0	455757885	211679798	8003411	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	452200000	234600000	142800000	0	0	0	0	243070512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1410000423	96218090	20256440	23294906	3038466	1317017	275479504	232942919	0	0	0	0	40511752	0	0	131663389	0	0	0	0	0	607675566	0	384861644	0	0	455757885	0	1316630393	0	0	0	121535436	10127953	0	0	0	0	0	0	0	50639765	0	0	0	26334438	60767718	28358610	26332995	0	0	0	10127953	30383859	0	0	303838590	590475226	7395557	0	0	0	0	0	0	131672190	141793050	131664975	16205152	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	421600000	180200000	119000000	0	0	0	0	121535256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000006	75961650	46589812	0	0	1215708	137739752	182303154	0	0	0	0	40511752	0	0	70895671	0	0	0	0	0	911513349	0	546908652	0	0	0	0	1417909654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012863	81023624	0	0	0	0	0	0	0	0	0	708956710	592500870	6078540	0	0	0	0	0	0	20257260	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	387600000	47600000	44200000	0	0	0	0	182302884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000003	70897540	16205152	0	0	810472	34434938	50639765	0	0	0	0	0	0	0	20255906	0	0	0	0	0	0	0	405117520	0	0	50639765	2025615	708954827	0	0	0	10127953	0	0	0	0	0	0	0	0	0	0	0	0	0	81023624	4051230	6076845	0	0	0	0	0	10127953	0	557037415	521603330	6382467	0	0	0	0	0	0	0	50640375	60768450	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	360400000	68000000	51000000	0	0	0	0	60767628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33423126	20256440	0	0	506545	206609628	101279530	0	0	0	0	0	0	0	10127953	1012822	0	0	0	0	202558522	0	243070512	0	0	0	0	101279261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50639765	0	0	0	0	0	0	0	0	0	405118120	243077280	2532725	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	346800000	88400000	0	0	0	0	0	81023504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3038466	6076932	0	0	101309	0	60767718	0	0	0	0	0	0	0	10127953	0	0	0	0	0	0	0	162047008	0	0	0	0	303837783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30383859	0	0	0	0	0	0	0	0	0	151919295	15192330	506545	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	139400000	23800000	0	0	0	0	0	20255876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21269262	13166686	0	0	202618	0	0	0	0	0	0	0	0	0	20255906	0	0	0	0	0	0	0	40511752	0	0	0	0	405117044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1012863	40511812	0	0	0	0	0	0	0	0	0	202559060	106346310	1013090	0	0	0	0	0	0	5064315	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
