Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	439008000000	100204800000	64994400000	0	0	0	0	100421765630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320310096093	54248861336	425285619	65054636	0	1326711992	82686367752	100087175082	0	0	0	979889	2569959664	0	16798023	36824050428	979889	0	0	0	1859707750	80570688249	395681442	370064852043	0	0	484692006	0	496330354509	0	0	0	346222253	39568250	0	0	0	0	0	0	0	79136500	0	0	0	45502957	126031257031	39568715	37608967	0	0	1959748	0	354487824	9949953	0	418248234143	6680922400	1117069990929	380800000	1420000426	173400000	289000000	737825205	1374805147	1101026626	398099353	248904295	231648626	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2312000000	1128800000	720800000	0	0	0	0	1114393056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800001440	143283168	89551980	0	0	3881631	1116381387	1004945253	0	0	0	0	218898636	0	0	288548637	0	0	0	0	9949953	3581973432	795994096	2129286732	0	0	0	0	7064447602	3980028	0	0	0	0	0	0	0	5970132	1990044	0	0	0	0	0	0	0	218898966	3980028	0	0	0	0	9949953	89549577	0	0	730346148	22891670	1094494830	0	0	0	0	0	473616346	0	0	19900140	0	29850660	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1275000000	1261400000	819400000	0	0	0	0	1126549226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2910000873	139979725	239012134	2949962	2985066	4155648	1342891402	654058637	0	0	0	1990044	238632979	119399436	6969895	1867820679	16915374	0	0	0	19597250	3165690643	994992620	1327045936	49749765	0	187531999	1990014	4451526622	0	0	995022	178338593	49493334	19899906	9949953	995061	0	995022	0	0	0	0	0	0	995061	138810694	0	1959748	0	0	0	9949953	69672007	149249295	0	995050298	24924240	911824166	0	0	0	0	98974015	0	99499380	4975305	0	33315716	0	0	4975305	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	513400000	302600000	187000000	0	0	0	0	318398016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110447442	74626650	0	0	2687283	338297390	248748825	0	0	0	0	0	0	995061	477597744	0	0	0	0	0	198998524	0	517396776	0	0	0	0	994992620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129349389	0	0	0	0	0	0	0	0	0	885569580	9455255	1631792292	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	486200000	227800000	156400000	0	0	0	0	198998760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380000414	79601760	11940264	15920352	2985066	1094819	169148695	218898966	0	0	0	0	19899876	0	0	109449483	0	0	0	0	0	99499262	99499262	338297892	0	0	557197368	0	2188983764	0	0	0	159199248	9949953	0	9949953	0	0	0	0	0	69649671	0	0	0	28856769	69649671	27860196	25870182	0	0	0	0	49749765	0	0	456715098	10151958	348248355	0	0	0	0	0	0	0	144283845	139300980	129350910	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	408000000	81600000	40800000	0	0	0	0	99499380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280000084	64676430	13930308	0	0	1194348	135318956	89549577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318398016	0	0	49749765	0	397997048	0	0	0	19899906	0	0	0	0	0	0	0	0	9949953	0	0	0	995061	129349389	1990014	3980028	0	0	0	9949953	0	0	0	323382150	5971740	646746945	0	0	0	0	0	0	0	4975305	9950070	19900140	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	408000000	207400000	125800000	0	0	0	0	218898636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700000210	75621672	47761056	995022	0	696703	135318956	149249295	0	0	0	0	19899876	0	0	29849859	0	0	0	0	0	198998524	99499262	537296652	0	0	0	0	1293490406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79599624	0	0	0	0	0	0	0	0	0	378108360	3483515	397998120	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x39a20	360400000	81600000	51000000	0	0	0	0	59699628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360000108	31840704	11940264	0	0	398116	33829739	49749765	0	0	0	0	0	0	0	19899906	1990044	0	0	0	0	99499262	0	378097644	0	0	0	0	298497786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29849859	0	0	0	0	0	0	0	0	0	159203520	1990580	149249295	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x4db0	346800000	129200000	98600000	0	0	0	0	238798512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41790924	22885506	0	0	995290	169148695	119399436	0	0	0	0	19899876	0	0	79599624	0	0	0	0	19899906	0	0	358197768	0	0	0	1990014	1591988192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49749765	0	0	0	0	0	0	0	0	0	391043646	5175508	577097274	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x7ff0	340000000	68000000	47600000	0	0	0	0	19899876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4975110	7960176	0	0	0	0	39799812	0	0	0	0	0	0	0	9949953	0	0	0	0	0	198998524	0	318398016	0	0	0	0	497496310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24875550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	149600000	40800000	13600000	0	0	0	0	39799752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000036	995022	13930308	0	0	398116	135318956	69649671	0	0	0	0	0	0	0	9949953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9949953	9949953	0	0	0	0	0	0	0	0	0	995061	9949953	0	0	0	0	1990014	29849859	39799812	0	0	4975110	1990580	159199248	0	0	0	0	0	0	0	15920976	0	0	0	0	0	mean	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
