Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	526867400000	136244800000	67309800000	0	0	0	0	135912381515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360970108291	71986455785	488787632	95281229	0	1703040756	101010617965	135653835891	0	0	0	0	4974527858	0	37087728	56212855659	0	0	0	0	3860272710	92456307586	601709285	453460458791	0	0	992823129	0	607173526780	2016296	0	0	721584393	80210031	0	0	0	0	0	0	0	140285857	0	0	0	110313609	158657077192	84254015	86255163	0	0	0	20198702	330558736	49801233	0	2196851905967	779917778419	8596851285	1542039190	739451358	840091208	459000000	336600000	1468562860	2632095465	275400000	1405347315	1040000312	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2301800000	1166200000	717400000	0	0	0	0	1310575175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450000435	150216287	95775485	0	0	4336249	1131125523	1189600716	0	0	0	0	221789645	0	0	342766308	0	0	0	0	20162724	2721960612	907320204	1975944110	0	0	0	0	7056934920	0	0	0	0	0	0	10081362	0	6048978	2016326	0	0	0	0	0	0	1008203	191545878	0	0	0	0	0	20162724	120976344	0	0	1502122938	1048489520	23093047	5041015	0	0	17000000	0	0	171382655	0	0	0	66538758	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1356600000	1897200000	788800000	0	0	0	0	1588217852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3310000993	69382507	233034541	5023569	0	4128124	1195057882	934937785	0	0	0	1008163	381949263	161301792	2020004	2104548300	21171423	0	0	0	30331682	4023228501	1711426438	1488971566	151220430	0	291997943	2016296	7757848818	2016296	0	2016326	181306571	20162724	10081362	0	1008203	0	0	0	0	10117340	0	0	0	6019621	262026421	6009202	4008054	0	0	0	70444193	281289629	130932365	0	1781558779	569444823	22859749	56038279	90750770	20040270	0	0	49881650	0	0	0	50000015	0	5041015	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	608600000	319600000	0	0	0	0	0	483904680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148199961	101824463	0	0	3832034	445594903	312522222	0	0	0	0	20162695	0	0	493986738	0	0	0	0	20162724	201626712	0	403253900	0	0	0	2016296	1915453764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181464516	0	0	0	0	0	0	0	0	0	1875133332	1195681318	12101160	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	448800000	238000000	146200000	0	0	0	0	282277730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350000405	87710181	18146934	24195912	5040815	1512645	274212248	262115412	0	0	0	0	20162695	0	0	151220430	0	0	0	0	0	504066780	0	483904680	0	0	453661290	0	1613013696	0	0	0	120976344	20162724	0	0	0	0	0	0	0	60488172	0	0	0	26213278	80650896	20162960	22179256	0	0	0	10081362	20162724	0	0	403254480	1222901719	15933194	131066390	100814800	110896280	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	435200000	170000000	0	0	0	0	0	181464255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56457128	27220401	0	0	1613488	171382655	191545878	0	0	0	0	20162695	0	0	120976344	0	0	0	0	0	0	0	262115035	0	0	0	0	1310573628	0	0	0	10081362	0	0	0	0	0	0	0	0	0	0	0	0	0	60488172	0	0	0	0	0	0	0	0	0	786346236	465771306	8067440	0	0	0	0	0	50406810	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	418200000	44200000	57800000	0	0	0	0	40325390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	72587736	14114282	0	0	1210116	68553062	70569534	0	0	0	1008163	0	0	0	0	0	0	0	0	0	100813356	0	463741985	0	0	60488172	2016296	403253424	4032592	0	0	10081362	0	0	0	0	0	0	0	0	0	0	0	0	0	110894982	4032592	2016296	0	0	0	0	10081362	10081362	0	735939426	580701888	7462382	0	56456288	10081480	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	397800000	163200000	112200000	0	0	0	0	241952340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210000063	85693855	49399987	0	0	605058	308488779	211708602	0	0	0	0	20162695	0	0	70569534	0	0	0	0	0	504066780	0	524230070	0	0	0	0	705693492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110894982	0	2016296	0	0	0	0	0	0	0	1098868458	682526351	3025290	0	0	10081480	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	346800000	74800000	0	0	0	0	0	141138865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5040815	10081630	0	0	0	137106124	131057706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483904680	0	0	0	0	201626712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25204075	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	316200000	54400000	30600000	0	0	0	0	20162695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	34277542	18146934	0	0	100843	34276531	70569534	0	0	0	0	0	0	0	50406810	2016326	0	0	0	0	100813356	0	342765815	0	0	0	0	403253424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30244086	0	0	0	0	0	0	0	0	0	514149462	262122380	504215	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x9240	153000000	51000000	34000000	0	0	0	0	20162695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000015	10081630	12097956	0	0	0	0	20162724	0	0	0	0	20162695	0	0	10081362	0	0	0	0	0	302440068	0	120976170	0	0	0	0	100813356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20162724	0	0	0	0	0	0	0	0	0	100813620	104848952	0	0	0	0	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0x9240	[Unknown]	0x9240
