Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	526524000000	99460200000	16588600000	0	0	0	0	99893821010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120030036009	50606966746	508912992	54208315	0	1461695869	99243400661	99542883535	0	0	0	1004710	281126738	0	0	27342270930	2009420	0	0	0	40150502	112521941139	200936082	454564168064	0	0	70309406	2005708	600149772319	2005708	0	0	50215744	0	10046831	0	0	0	0	0	0	10028420	0	0	0	9031704	156828081744	4011416	4015098	0	0	0	50178922	200642044	10046831	0	1815661967176	477086985704	7325653588	521846060	2491738069	73269428	340000000	1003945160	20057080	20075490	34000000	119000000	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2267800000	1108400000	744600000	0	0	0	0	1123181360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7010002103	152436088	102292638	0	0	4313459	1091088832	1052984100	0	0	0	0	200568100	0	1002909	300852600	0	0	0	0	10028420	3209085824	601703592	2045794620	0	0	0	0	7120159172	0	0	0	20056840	0	0	0	0	5014345	2005738	0	0	0	0	0	0	1002909	210596820	0	0	0	0	0	0	110312620	0	0	9025578000	5386409399	22971677	0	0	5014545	0	0	0	0	0	0	0	50000015	37106153	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1132200000	1220600000	404600000	0	0	0	0	1105634634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2650000795	125367830	221772124	3010448	1004710	3211681	1091839996	561996562	0	0	0	2007579	220735376	70198940	5018227	1454857340	9025821	0	0	0	30122082	1806031321	902555388	822660608	30085260	0	240718902	2005708	6119345051	2005708	0	2005738	140397880	100339433	60225753	40187324	1004750	0	0	0	0	0	0	0	0	1004750	190576802	4015098	2009390	0	0	2005708	40113680	110331031	170483140	0	3560623019	658930958	16760596	0	0	5023750	0	240681720	20075490	10046950	17000000	0	5023750	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	588200000	323000000	0	0	0	0	0	280795340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121347149	84240996	0	0	2507825	340965260	230653660	0	0	0	0	20056810	0	0	591676780	0	0	0	0	30085260	501419660	0	661874730	0	0	0	0	1604542912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160454720	0	0	0	0	2005708	0	0	0	0	802273600	573641068	11535995	50142100	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4d370	438600000	207400000	112200000	0	0	0	0	220624910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220000366	77220913	47134843	0	0	501565	136386104	160454720	0	0	0	0	20056810	0	0	60170520	0	0	0	0	0	601703592	0	501420250	0	0	0	0	1002839320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80227360	0	0	0	0	0	0	10028420	0	0	7651684460	3938266563	2507825	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
do_lookup_x	435200000	234600000	136000000	0	0	0	0	240681720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440000432	72206568	13037297	20057380	2005738	1103443	136386104	220625240	0	0	0	0	60170430	0	0	70198940	0	0	0	0	0	401135728	100283932	481363440	0	0	551563100	0	1704826844	0	0	0	160454720	0	0	0	0	0	0	0	0	70198940	0	0	0	28081452	50142100	26074204	26074204	0	0	0	0	10028420	0	0	250710500	405159076	11235056	0	0	140407260	0	0	130371020	130371020	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	435200000	197200000	0	0	0	0	0	200568100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50143450	25071725	0	0	1003130	204579156	160454720	0	0	0	0	20056810	0	0	90255780	0	0	0	0	0	0	0	541533870	0	0	0	0	1002839320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50142100	0	2005708	0	0	0	0	0	0	0	250710500	257737333	5717841	0	0	0	0	0	0	10028540	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	377400000	61200000	44200000	0	0	0	0	80227240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360000108	65186485	16045904	0	0	1304069	0	90255780	0	0	0	0	0	0	0	40113680	0	0	0	0	0	0	0	361022580	0	0	50142100	0	802271456	4011416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110312620	4011416	4011416	0	0	0	0	0	0	0	3329435440	3358608281	6520345	0	0	0	0	0	44125576	503432708	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	350200000	51000000	57800000	0	0	0	0	60170430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430000129	31088939	14040166	0	0	300939	238675682	50142100	0	0	0	0	0	0	0	0	1002869	0	0	0	0	100283932	0	260738530	0	0	0	2005708	401135728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40113680	0	0	0	0	0	0	10028420	0	0	2617417620	1641696553	1504695	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	336600000	64600000	0	0	0	0	0	60170430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4011476	6017214	0	0	200626	68193052	40113680	0	0	0	0	0	0	0	30085260	0	0	0	0	0	200567864	0	561590680	0	0	0	0	601703592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20056840	0	0	0	0	0	0	0	0	0	100284200	20057380	1003130	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	149600000	23800000	0	0	0	0	0	20056810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21060249	11031559	0	0	300939	0	30085260	0	0	0	0	0	0	0	0	0	0	0	0	0	100283932	0	220624910	0	0	0	0	200567864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30085260	0	0	0	0	0	0	0	0	0	150426300	105301245	1504695	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
