Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	691046600000	160449400000	79063600000	0	0	0	0	160104890726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444440133332	86912174337	513432058	173446365	0	2097958173	132075382667	159933640617	0	0	0	4013364	4650774457	0	25086140	61436526606	1005376	0	0	0	3377653024	138987066615	1304253514	598365410159	0	0	1783980444	2005426	810120807632	2005426	0	0	1423256611	170287455	0	0	0	0	0	0	0	320710159	0	0	0	231578659	206209022721	160367052	154322630	0	0	0	10027012	300753115	0	0	825130850952	2750000825	10609707896	3043995592	2438633487832	1752585900	2990812966	686800000	530400000	2770399613	2143946886	136000000	1570715251	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2322200000	1105000000	744600000	0	0	0	0	1042807688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6780002034	158431024	107291896	0	0	3811362	1295486120	992674188	0	0	0	0	140377958	0	0	280756336	0	0	0	0	10027012	3208635328	802158832	2045507388	0	0	20054024	0	7720778758	2005426	0	0	10027012	0	10027012	0	0	6016368	3008184	0	0	0	0	0	0	1002768	230621276	0	0	0	0	2005426	20054024	100270120	0	0	9255179440	0	19056810	0	21638291896	0	5013840	17000000	0	0	0	0	0	453233056	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1475600000	1421200000	761600000	0	0	0	0	1894160088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5420001626	164451341	340890848	4003390	996754	6516560	2352067481	1052790074	0	0	0	3008184	240766549	120324144	6989600	2346398639	16045774	0	0	0	10048275	2105543000	1003042514	1583632915	70189084	0	331044960	2012306	6618105817	0	0	1002728	130246337	30055697	20088421	0	1002768	0	0	0	0	9928417	0	0	0	5013988	230750170	10012317	14063760	0	0	2005426	20054024	110225558	140378168	0	1650720363	50000015	36096399	100269970	1414007796	160682480	36132266	0	17000000	40094190	116575402	0	168782585	0	0	5013840	[Unknown]	[Outside any known module]	[Unknown]	0x0
do_lookup_x	462400000	234600000	156400000	0	0	0	0	220593934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1420000426	74201872	13035464	17046376	2005456	802392	238642180	220594264	0	0	0	0	0	0	0	70189084	0	0	0	0	0	100269854	0	220593934	0	0	691765233	0	2205936788	0	0	0	140378168	20054024	0	10027012	0	0	0	0	0	70189084	0	0	0	30083040	70189084	28075964	24065112	0	0	0	10027012	10027012	0	0	441200320	0	6419136	320863904	350945420	0	150415200	0	0	140379820	120325560	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
deflate	418200000	251600000	0	0	0	0	0	320863904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1510000453	104283712	73199144	0	0	2808372	136366960	250675300	0	0	0	1002728	20053994	0	1002768	491323588	0	0	0	0	20054024	200539708	0	401079880	0	0	0	0	1303508102	2005426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120324144	0	0	0	0	0	0	0	0	0	510388552	50000015	11534385	0	601620720	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x7ff0	411400000	64600000	0	0	0	0	0	80215976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500000150	7019096	7019096	0	0	100299	102275220	70189084	0	0	0	0	0	0	0	10027012	0	0	0	0	0	100269854	0	320863904	0	0	0	0	401079416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40108048	0	0	0	0	0	0	0	0	0	35095480	0	501495	0	200540240	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x26460	408000000	91800000	37400000	0	0	0	0	40107988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340000102	64174592	16043648	0	0	1103289	102275220	100270120	0	0	0	0	0	0	0	50135060	0	0	0	0	0	0	0	340917898	0	0	20054024	2005426	200539708	4010852	0	0	10027012	0	0	0	0	0	0	0	0	0	0	0	0	1002768	100270120	4010852	4010852	0	0	0	0	0	0	0	5331504776	0	5516445	0	8964148728	0	72199296	0	0	866344032	866344032	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	397800000	156400000	122400000	0	0	0	0	280755916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230000369	73199144	43117304	0	0	802392	170458700	160432192	0	0	0	0	100269970	0	0	50135060	0	0	0	0	0	300809562	0	521403844	0	0	0	0	1002698540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60162072	0	0	0	0	0	0	0	0	0	5934144304	0	4011960	0	4532209424	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x39a20	312800000	112200000	47600000	0	0	0	0	40107988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	30081840	18049104	0	0	401196	0	80216096	0	0	0	1002728	0	0	0	20054024	2005456	0	0	0	0	300809562	0	320863904	0	0	0	0	601619124	0	0	0	0	10027012	0	0	0	0	0	0	0	0	0	0	0	0	60162072	0	0	0	0	0	0	0	0	0	1487045624	0	2005980	0	8091798684	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x4db0	306000000	119000000	0	0	0	0	0	160431952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750000225	43117304	16043648	0	0	702093	204550440	120324144	0	0	0	0	20053994	0	0	60162072	0	0	0	0	0	100269854	0	501349850	0	0	0	0	902428686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70189084	0	0	0	0	0	0	0	0	0	222605616	0	4212558	0	350945420	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
png_write_row	146200000	30600000	0	0	0	0	0	20053994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140000042	30081840	26070928	0	0	200598	34091740	40108048	0	0	0	0	0	0	0	20054024	0	0	0	0	0	0	0	180485946	0	0	0	2005426	100269854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50135060	0	0	0	0	0	0	0	0	0	157428296	0	1002990	0	250675300	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
