Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	26326200000	4763400000	3131400000	4740534583	0	0	0	0	0	0	0	0	0	0	0	0	0	21350006405	3853339	3853339	3838631	11396765674	4659381854	31026540	0	0	0	0	0	1850216999	11604825	4012515978	0	5252067075	21405262851	27787408633	1906761419	0	0	0	0	0	0	22202260191	mean	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	2662200000	666400000	387600000	717423581	0	0	0	0	0	0	0	0	0	0	0	0	0	3360001008	0	0	0	833808116	747494129	0	0	0	0	0	168285457	88810491	0	811139227	0	180226107	3012395684	3592713668	362646911	0	0	0	0	0	0	3372343373	mean	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2284800000	1162800000	717400000	1097846893	0	0	0	0	0	0	0	0	0	0	0	0	0	5930001779	0	0	0	276381432	1083258564	214963028	0	1535470	0	0	148558851	272542801	15354524	2763807336	729338047	290207988	2011439762	6755973488	0	0	0	0	0	0	0	2072857770	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	952000000	683400000	486200000	606465156	0	0	0	0	0	0	0	60009	0	6000018	0	3000009	3000009	1720000516	130438875	115088738	99738601	245621287	613831964	199602849	1151664	0	0	0	104864815	817939577	0	1613852482	1189972603	200773595	1006384368	4224020369	0	0	0	0	0	0	0	1059387179	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	812600000	340000000	217600000	429926056	0	0	0	0	0	0	0	0	0	0	0	0	0	1020000306	0	0	0	349315421	404590548	7677251	767776	0	0	0	187713897	360831314	15354524	383862130	0	305946781	690952590	1996083076	0	0	0	0	0	0	0	1320487172	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	669800000	268600000	163200000	176576773	0	0	0	0	0	0	0	0	0	0	0	0	0	850000255	0	0	0	165061133	287128776	38386255	0	0	0	0	61419680	118997561	7677262	38386213	0	133587804	614180080	1381903668	0	0	0	0	0	0	0	898238367	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop@0x264e0 in func@0x26460]	411400000	78200000	44200000	46063506	0	0	0	0	0	0	0	0	0	0	0	0	0	270000081	0	0	0	111320299	13051308	7677251	0	4606410	0	0	22264634	19193155	0	0	38386213	140497518	322444542	307089704	0	0	0	0	0	0	0	360830797	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop at line 390 in do_lookup_x]	404600000	187000000	139400000	168899522	0	0	0	0	0	0	0	0	0	0	0	0	0	1260000378	11515893	3838631	0	92127144	247974852	15354502	0	41457690	0	0	23416253	76772620	0	460634556	76772426	169287993	414571554	1381903668	0	0	0	0	0	0	0	499021315	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x3b600 in func@0x39a20]	336600000	61200000	57800000	61418008	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	0	0	0	99804406	195769620	0	0	0	0	0	23800126	11515893	0	115158639	0	67561648	337799044	499020769	0	0	0	0	0	0	0	345476295	libopencv_imgcodecs.so.4.6.0	[Loop@0x3b600 in func@0x39a20]	[Unknown]	0x3b600
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	323000000	20400000	47600000	15502949	0	0	0	0	0	0	0	0	0	0	0	0	0	300000090	0	0	0	165908130	39391368	0	0	0	0	0	29350124	11521827	0	39128444	0	36326582	216103995	578836927	69462852	0	0	0	0	0	0	308650029	mean	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
