Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29291000000	5368600000	3049800000	0	0	0	0	5657712134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32200009660	2900985065	143800827	0	0	88408076	5759408383	5381123170	0	0	0	0	21237438	0	0	1286396661	0	0	0	0	0	3224676356	0	18836964408	0	0	7161712	0	24139497036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6108305908	0	2123772	0	0	0	0	64539619	0	0	20717284490	260000078	437749910	56486701142	0	0	10618860	0	0	17000000	0	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2349400000	1108400000	748000000	0	0	0	0	1316721156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6900002070	156099594	108314004	0	0	3717630	1227522094	1061873500	0	0	0	0	276086694	0	0	286705845	0	0	0	0	10618735	3716547240	849496512	2293643304	0	0	10618735	4247544	8176403928	2123772	0	0	10618735	0	10618735	0	0	6371412	3185706	0	0	0	0	0	0	1061944	265468375	0	0	0	0	0	21237470	95568615	0	0	780497970	0	18588150	1327341875	5309720	0	0	0	31857060	17000000	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1016600000	646000000	387600000	0	0	0	0	329821736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3690001107	53606480	49975852	1061902	0	1029157	377195197	203835639	0	0	0	1061902	148662066	84949880	1061944	937432549	9557118	0	0	0	10618735	1168057704	955683576	525589816	53093675	0	138043555	2123772	2309384770	0	0	2123804	53093675	31856205	21237470	31856205	1061944	0	0	0	0	10618735	0	0	0	2123888	276087110	2123772	0	0	0	2123772	90075375	196115627	169899760	0	732209491	0	5145785	1847659890	10619440	10618860	0	0	0	17000000	0	0	0	5309720	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	754800000	408000000	244800000	0	0	0	0	530935950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2390000717	141232966	100880690	0	0	3823848	433243092	350418255	0	0	0	1061902	42474876	0	0	499080545	0	0	0	0	0	212374128	0	934447272	0	0	0	2123772	3397986048	2123772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201755965	0	0	0	0	2123772	0	0	0	0	3677366626	0	14870520	8017144925	0	0	0	180517955	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	598400000	217600000	149600000	0	0	0	0	148662066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450000435	60528414	33980864	0	0	1487052	288828728	201755965	0	0	0	0	0	0	1061944	191137230	0	0	0	0	21237470	106187064	0	743310330	0	0	0	0	1805180088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74331145	0	0	0	0	0	0	0	0	0	1623648158	0	6373080	3175001765	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	438600000	231200000	132600000	0	0	0	0	254849256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1470000441	86014062	16990432	21238040	3185706	1487052	216621546	254849640	0	0	0	0	21237438	0	0	84949880	0	0	0	0	0	318561192	212374128	445986198	0	0	552174220	0	1911367152	0	0	0	148662290	10618735	0	0	0	0	0	0	0	74331145	0	0	0	31858320	63712410	29732808	27609036	0	0	0	10618735	31856205	0	0	536260510	0	16994880	318562050	159291600	148664040	138045180	577657456	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	408000000	248200000	119000000	0	0	0	0	233611818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060000318	91323572	47785590	0	0	743526	180517955	180518495	0	0	0	0	0	0	0	42474940	0	0	0	0	0	530935320	0	509698512	0	0	0	0	1168057704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106187350	0	0	0	0	0	0	0	0	0	456617860	0	3717630	530936750	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	401200000	68000000	51000000	0	0	0	0	21237438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420000126	72209336	15928530	0	0	1380834	72207182	95568615	0	0	0	0	0	0	0	31856205	0	0	0	0	0	0	0	318561570	0	0	42474940	2123772	424748256	4247544	0	0	10618735	0	0	0	0	0	0	0	0	0	0	0	0	1061944	63712410	6371316	4247544	0	0	0	0	0	0	0	361046680	0	6904170	318562050	5309720	31856580	21237720	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	343400000	74800000	40800000	0	0	0	0	106187190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480000144	37166570	14866628	0	0	531090	72207182	84949880	0	0	0	0	0	0	0	10618735	2123804	0	0	0	0	0	0	276086694	0	0	0	0	424748256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31856205	0	0	0	0	0	0	0	0	0	185832850	0	2655450	159281025	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	336600000	74800000	47600000	0	0	0	0	106187190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	2123804	3185706	0	0	212436	36103591	116806085	0	0	0	0	0	0	0	21237470	0	0	0	0	0	318561192	0	339799008	0	0	0	0	212374128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10618735	0	0	0	0	0	0	0	0	0	80704552	0	1062180	53093675	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	136000000	27200000	27200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230000069	0	0	0	0	0	0	31856205	0	0	0	0	21237438	0	0	0	1061902	0	0	0	0	0	0	148662066	0	0	31856205	0	637122384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21237470	63712410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
