Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	126724800000	24017600000	11094200000	0	0	0	0	24217686000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69770020931	11730776485	260127931	0	2008156	352815417	23966023154	24237187198	0	0	0	0	160648000	0	0	7369327773	1014325	0	0	0	30224011	25504889248	101429555	109001307480	0	0	40366993	0	144477501111	2028620	0	0	9938047	0	0	9938047	0	0	0	0	0	0	0	0	0	0	37009131512	2028620	0	0	0	0	0	80324116	0	0	490492993748	0	10143100	0	122810343868	1759672339	0	0	34000000	101429820	200810000	100000030	0	85000000	0	17000000	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2342600000	1142400000	751400000	0	0	0	0	1136012360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6760002028	152148750	106504125	0	0	4159819	1172525292	1065013110	0	0	0	0	182573415	0	0	334718406	0	0	0	0	20285964	2941457095	811436440	2150309110	0	0	20285964	0	6592921075	2028620	0	0	0	10142982	0	0	0	6085950	3042975	0	0	0	0	0	0	0	213002622	2028620	0	0	0	2028620	10142982	101429820	0	0	1065013110	0	10143100	0	767844025	22929734	30429750	0	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	996200000	720800000	272000000	0	0	0	0	828854245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2760000828	152128256	142691921	1014325	1014325	3139079	892456320	455204580	0	0	0	1014325	121305740	60857892	1014366	657039545	6085950	0	0	0	9938047	1204858578	1409767035	1269406635	50714910	0	411968497	4057240	5458751847	0	0	0	110548127	80529051	100610080	50509975	1014366	0	0	0	0	10142982	0	0	0	1014366	212387817	0	0	0	0	0	20285964	30428946	172430694	0	1173511887	5071830	0	0	755569655	17420198	0	0	0	0	0	50000015	172430190	0	5071830	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	680000000	438600000	0	0	0	0	0	284003090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000012	133890900	86217625	0	0	3246688	310374342	304289460	0	0	0	0	40571870	0	1014366	415862262	0	0	0	0	30428946	405718220	0	811437400	0	0	0	0	3245745760	2028620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142001748	0	0	0	0	0	0	0	0	0	1602591156	0	0	0	1120829125	14204260	0	0	0	50714910	101429675	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	520200000	204000000	3400000	0	0	0	0	182573415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48687600	26372450	0	0	608754	206916228	131858766	0	0	0	0	0	0	0	142001748	0	0	0	0	0	202859110	0	486862440	0	0	0	0	1420013770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60857892	0	0	0	0	0	0	0	0	0	639007866	0	0	0	440217050	3043770	0	0	17000000	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	452200000	227800000	156400000	0	0	0	0	223145285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1380000414	106504125	18257850	29415425	0	1521885	241402266	253574550	0	0	0	0	0	0	0	101429820	0	0	0	0	0	608577330	0	344860895	0	0	152144730	0	507147775	0	0	0	142001748	30428946	10142982	0	0	0	0	0	0	71000874	0	0	0	29416614	71000874	28400680	30429300	0	0	0	20285964	60857892	0	0	355004370	147083070	142003400	152146500	691769650	16639276	0	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	425000000	187000000	119000000	0	0	0	0	182573415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110000333	76074375	48687600	0	0	710213	241402266	152144730	0	0	0	0	40571870	0	0	60857892	0	0	0	0	0	710006885	101429555	527434310	0	0	0	0	1318584215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014366	121715784	0	0	0	0	0	0	0	0	0	608578920	5071830	0	0	380371875	3551065	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	374000000	91800000	34000000	0	0	0	0	81143740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400000120	64916800	15214875	0	0	1420426	0	101429820	0	0	0	1014325	0	0	0	20285964	0	0	0	0	0	0	0	405718700	0	0	40571928	4057240	405718220	0	0	0	10142982	0	0	0	0	0	0	0	0	0	0	0	0	0	91286838	4057240	6085860	0	0	0	0	0	0	0	456434190	0	20286200	30429300	335741575	8218179	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	340000000	85000000	54400000	0	0	0	0	40571870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480000144	36515700	12171900	0	0	304377	34486038	40571928	0	0	0	0	0	0	0	0	1014325	0	0	0	0	304288665	0	324574960	0	0	0	0	101429555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014366	71000874	0	0	0	0	0	0	0	0	0	355004370	5071830	0	0	182578500	1521885	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	340000000	74800000	3400000	0	0	0	0	81143740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6085950	5071625	0	0	202918	34486038	20285964	0	0	0	0	0	0	0	0	0	0	0	0	0	101429555	0	486862440	0	0	0	0	710006885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30429750	1014590	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	153000000	23800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9128925	9128925	0	0	0	34486038	10142982	0	0	0	0	0	0	0	20285964	0	0	0	0	0	0	0	121715610	0	0	0	2028620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30428946	0	0	0	0	0	0	0	0	0	263717532	0	0	0	90274925	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
