Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	1.495773
1	CPU Time	4.721559
1	Performance-core (P-core)	
2	Memory Bound	2.0
3	L1 Bound	2.3
3	L2 Bound	0.1
3	L3 Bound	0.1
3	DRAM Bound	0.3
3	Store Bound	0.3
1	Efficient-core (E-core)	
2	Memory Bound	0.0
3	L1 Bound	0.0
3	L2 Bound	0.0
3	L3 Bound	0.0
3	DRAM Bound	0.0
1	Uncore	
2	DRAM Bandwidth Bound	0.0
1	Loads	12837555334
1	Stores	803806462
1	LLC Miss Count	0
1	Average Latency (cycles)	5.481074
1	Total Thread Count	8
1	Paused Time	0.0
0	Bandwidth Utilization	
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
0	DRAM, GB/sec	68.000000	30.100000	1.658005	0.0
0	Collection and Platform Info	
1	Application Command Line	taskset "-c" "0-15" "./bin/mean" "7" "6" 
1	Operating System	6.17.0-14-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.4 LTS"
1	Computer Name	abdulkadirt
1	Result Size	27713896
1	Collection start time	10:17:13 12/03/2026 UTC
1	Collection stop time	10:17:14 12/03/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	3417599913
2	Logical CPU Count	28
2	Max DRAM Single-Package Bandwidth	68000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
