Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	126738400000	23980200000	12631000000	0	0	0	0	23964335038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89300026790	11879839355	252396976	0	0	350818300	23870619012	23885019479	0	0	0	0	118864484	0	0	7071426510	0	0	0	0	0	24865080361	101582700	108827999187	0	0	30045752	0	144285677038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36805597592	0	0	0	0	0	10158297	60186058	0	0	149090164655	1750101056	34000000	599641335613	172449080	17000000	0	0	0	150000045	0	0	0	197999300	201345975	17000000	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2346000000	1149200000	737800000	0	0	0	0	1158044148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6850002055	151362693	103617414	0	0	4064520	1070681317	1066621185	0	0	0	0	223482204	0	1015897	314907207	0	0	0	0	10158297	3352229100	914244300	2153555784	0	0	0	0	7009206300	4063366	0	0	0	0	0	0	0	6095142	2031714	0	0	0	0	0	0	0	213324237	0	0	0	0	2031683	10158297	101582970	0	0	1304360388	22761312	0	2387199795	0	0	0	0	0	50000015	0	56887992	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	955400000	707200000	442000000	0	0	0	0	847362481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1270000381	74095028	95924918	0	1015857	2219511	514240024	423660955	0	0	0	2031714	162504105	121899564	1015897	1293698557	17269569	0	0	0	0	1514241534	711078900	1193191424	40633188	0	344392322	2031683	4041998874	4063366	0	2031714	111366268	131930034	121771737	111627643	3046271	0	1015857	0	0	0	0	0	0	2031794	111420885	2031683	0	0	0	0	10158297	39683289	111741267	0	433458274	10589490	0	2482536115	172690535	0	10158970	10158415	0	0	26406222	0	0	0	101582820	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	581400000	452200000	265200000	0	0	0	0	446964408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168632262	125966268	0	0	3658068	414457284	304748910	0	0	0	0	60949692	0	0	518073147	0	0	0	0	20316594	304748100	101582700	568863792	0	0	0	0	2234819400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142216158	0	0	0	0	0	0	0	0	0	1087982847	14429046	0	711080790	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	578000000	187000000	122400000	0	0	0	0	243798768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65014848	33523281	0	0	2438712	310842963	243799128	0	0	0	0	0	0	0	111741267	0	0	0	0	10158297	101582700	0	365698152	0	0	0	0	812661600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50791485	0	0	0	0	0	0	0	0	0	442913652	10669365	0	253957425	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	438600000	204000000	129200000	0	0	0	0	223482204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360000408	81268560	18285426	19301283	2031714	1117743	310842963	223482534	0	0	0	0	20316564	0	0	111741267	0	0	0	0	0	0	0	162532512	0	0	365698692	0	1930071300	0	0	0	162532752	0	0	0	0	0	0	0	0	71108079	0	0	0	26413322	60949782	34538611	34538611	0	0	0	40633188	40633188	0	0	491674788	12396786	0	304748910	0	0	132066610	172693055	172693055	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	431800000	241400000	132600000	0	0	0	0	203165640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150000345	80252703	44697708	1015857	0	711291	241766749	193007643	0	0	0	0	20316564	0	0	101582970	0	0	0	0	0	507913500	0	487597536	0	0	0	0	1726905900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81266376	0	0	0	0	0	0	0	0	0	730401183	3556455	0	670447602	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	374000000	68000000	37400000	0	0	0	0	81266256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450000135	72125847	13206141	0	0	1320969	0	71108079	0	0	0	0	0	0	0	10158297	0	0	0	0	0	0	0	426647844	0	0	50791485	2031683	203165400	0	0	0	40633188	0	0	0	0	0	0	0	0	0	0	0	0	0	121899564	4063366	4063366	0	0	0	0	0	0	0	620688627	6604845	0	1401844986	0	0	0	48760392	48760392	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	357000000	64600000	47600000	0	0	0	0	40633128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380000114	32507424	15237855	0	0	406452	0	81266376	0	0	0	0	0	0	0	0	1015857	0	0	0	0	304748100	0	304748460	0	0	0	0	507913500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40633188	0	0	0	0	0	0	0	0	0	266154534	2032260	0	203165940	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	350200000	68000000	61200000	0	0	0	0	60949692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8126856	13206141	0	0	203226	69076214	81266376	0	0	0	0	0	0	0	20316594	0	0	0	0	0	0	0	223482204	0	0	10158297	0	304748100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10158297	0	0	0	0	2031683	0	0	0	0	74157561	1016130	0	50791485	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	166600000	20400000	23800000	0	0	0	0	101582820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39618423	16253712	0	0	0	34538107	50791485	0	0	0	0	0	0	0	20316594	0	0	0	0	0	0	0	121899384	0	0	0	0	101582700	2031683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40633188	0	0	0	0	0	0	10158297	0	0	405326943	0	0	203165940	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
