Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292621000000	54862400000	30967200000	0	13812890	0	0	54475458690	0	0	0	0	0	0	0	0	0	0	0	595084	0	0	0	0	0	0	0	0	0	107030032109	44818248316	381332207	6967639	993949	802880126	53922636124	54618068216	0	0	0	0	179172390	0	0	14117382536	0	0	0	0	49796102	60034677033	199450464	250054038948	0	0	0	0	330533930346	0	0	0	29884326	9972550	0	0	0	0	0	0	0	0	0	0	0	2988631	86247907730	0	0	0	0	0	9972550	49762778	0	0	787484924304	4011811008	351689591908	119000000	796469840	199284380	150000045	508598520	14943155	34000000	0	0	0	0	54400000	0	2550072	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2318800000	1162800000	768400000	0	0	0	0	1096978850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6990002097	139619340	98730819	0	0	3591180	1356262720	987282450	0	0	0	0	199450700	0	0	319121600	0	0	0	0	19945100	2892031728	797801856	2034397140	0	0	9972550	3989066	6382414848	0	0	0	9972550	0	0	0	0	4986405	1994562	0	0	0	0	0	0	997321	189478450	0	0	0	0	1994533	9972550	139615700	0	0	947392250	17955900	698096700	0	0	0	0	0	4986605	0	0	0	24932025	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1145800000	1013200000	438600000	0	0	0	0	1294763350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2560000768	179194040	240918838	1991230	2988511	4680469	1253070116	597419928	0	0	0	2991843	199384052	179505900	1994642	1454992580	10970091	0	0	0	0	2093230161	1396153248	916873388	99725500	0	269092230	1994533	3588775404	0	0	997281	49829426	49829426	19945100	29917650	997321	997281	0	0	0	0	0	0	0	997321	169433378	0	0	0	0	0	99692176	139615700	129643150	0	1334188964	25093170	1517191657	0	0	0	50000015	0	4986605	3532600000	0	0	4986405	0	40800000	4986605	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	598400000	391000000	0	0	0	0	0	438791540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97733538	72801513	0	0	2294365	169532840	279231400	0	0	0	997281	39890140	0	0	528545150	0	0	0	0	19945100	0	0	638242240	0	0	0	0	2592856032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229368650	0	0	0	0	1994533	0	0	0	0	1146843250	8977950	458749260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	452200000	180200000	0	0	0	0	0	139615490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40888521	18948339	0	0	1396570	271252544	149588250	0	0	0	0	19945070	0	0	109698050	0	0	0	0	0	99725232	0	498626750	0	0	9972550	0	598351392	0	0	0	9972550	0	0	0	0	0	0	0	0	0	0	0	0	0	79780400	0	0	0	0	0	0	0	0	0	398902000	6484075	218404539	17000000	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	442000000	227800000	142800000	0	0	0	0	279230980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1390000417	101722662	15956496	23934744	2991843	1396570	203439408	259286300	0	0	0	0	19945070	0	0	149588250	0	0	0	0	0	598351392	0	398901400	0	0	428819650	0	1595603712	0	0	0	99725500	0	0	0	0	0	0	0	0	39890200	0	0	0	19946420	59835300	33907061	31912528	0	0	0	9972550	39890200	0	0	299176500	17856145	567452889	0	0	0	160000048	0	99732100	0	169535305	159562640	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	408000000	74800000	37400000	0	0	0	0	79780280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410000123	71804232	16953777	0	0	698285	0	39890200	0	0	0	0	0	0	0	29917650	0	0	0	0	0	0	0	378956330	0	0	39890200	0	398900928	0	0	0	9972550	0	0	0	0	0	0	0	0	0	0	0	0	0	109698050	5983599	3989066	0	0	0	0	0	0	0	548490250	3491425	366002127	0	0	0	0	0	0	0	29917995	19945330	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	404600000	190400000	132600000	0	0	0	0	159560560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210000363	74796075	46872207	0	0	1197060	67813136	189478450	0	0	0	997281	39890140	0	0	69807850	0	0	0	0	0	598351392	0	498626750	0	0	0	0	1396153248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119670600	0	0	0	0	0	0	0	0	0	598353000	5985300	373980375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x39a20	340000000	71400000	47600000	0	0	0	0	59835210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350000105	35902116	18948339	0	0	598530	67813136	129643150	0	0	0	0	0	0	0	9972550	1994562	0	0	0	0	0	0	339066190	0	0	0	0	598351392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29917650	0	0	0	0	0	0	0	0	0	149588250	2992650	179510580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	340000000	88400000	0	0	0	0	0	59835210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1994562	3989124	0	0	0	33906568	69807850	0	0	0	0	0	0	0	9972550	0	0	0	0	0	199450464	99725232	418846470	0	0	0	0	1096977552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9972550	0	0	0	0	0	0	0	0	0	49862750	0	9972810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	173400000	20400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10970091	11967372	0	0	0	0	39890200	0	0	0	0	0	0	0	9972550	0	0	0	0	0	0	0	179505630	0	0	0	0	99725232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39890200	0	0	0	0	0	0	0	0	0	199451000	0	54850455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
