Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	292597200000	55284000000	24605800000	3267276	419338071	3267180	0	54960973012	0	0	0	0	0	0	0	2145119	0	0	0	25468114	0	403441464	16335477	4945461	1247276260	0	0	0	0	180420054126	45850118906	371713898	5873745	970473	794620222	53955804958	54351491126	0	0	0	0	117808840	0	992991	14045992038	970473	0	0	0	19858504	59236229417	99292258	245330008273	0	0	19577568	0	323754482228	0	0	0	9704477	0	0	0	0	0	0	0	0	0	0	0	0	0	84382065587	0	0	0	0	0	49124042	165154552	9929252	0	436235510295	3971350357	221000000	982808554001	1250027646	744600000	493107575	1904256517	470000141	0	0	0	0	190400000	1394422848	13069104	6534360	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2315400000	1173000000	292400000	0	0	0	0	1092216125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2180000654	146956896	105252912	0	992952	4072202	1384133637	1012783704	0	0	0	0	198584750	0	0	297877560	0	0	0	0	9929252	3078059998	893630322	2085139875	0	0	19858504	1985874	6553289028	0	0	0	9929252	0	0	0	0	4964760	992952	0	0	0	0	0	0	1985982	198585040	0	0	0	0	0	19858504	129080276	0	0	1069409304	21056264	0	1370236776	198584750	0	0	0	0	24824775	0	0	39718080	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1149200000	982600000	387600000	0	0	0	0	1123669476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11390016	0	0	0	0	0	2830000849	149691130	231959335	0	1985904	4344535	1205862862	717930303	0	0	0	1963425	274686816	139009528	0	1360707275	8936568	0	0	0	0	1881694072	1588676128	1308193598	119151024	0	217322989	3971748	4456914198	1985874	0	0	39455899	19858504	29787756	9929252	0	992952	0	0	0	0	0	0	0	3928989	109221772	1985874	0	0	0	0	39717008	119038702	49441312	0	729589562	21013927	0	546108860	0	0	0	0	0	164621631	9929370	0	4964760	0	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	608600000	367200000	0	0	0	0	0	357452550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114189480	82415016	0	0	1986440	337593570	238302048	0	0	0	0	39716950	0	992991	665259884	0	0	0	0	19858504	397169032	0	655329675	0	0	0	0	1886552902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139009528	0	0	0	0	0	0	0	0	0	541158840	9137624	0	695047640	0	17000000	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	496400000	180200000	0	0	0	0	0	178726275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46668744	21844944	0	0	1589152	135037428	188655788	0	0	0	0	0	0	0	139009528	0	0	0	0	0	0	0	556037300	0	0	0	0	1787260644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992991	59575512	0	0	0	0	0	0	0	0	0	233343720	9534912	0	297877560	0	0	0	0	0	4964955	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	462400000	241400000	153000000	0	0	0	0	317735600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1410000423	98302248	19859040	25816752	3971808	1191864	303834213	268089804	0	0	0	0	0	0	0	79434016	0	0	0	0	0	595753548	99292258	476603400	0	0	456745592	0	1588676128	0	0	0	158868032	29787756	9929252	9929252	0	0	0	0	0	69504764	0	0	0	17873838	79434016	19858740	19858740	0	0	0	0	0	0	0	616623192	14798978	0	397170080	0	0	0	0	0	89369190	99293700	99293700	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	414800000	166600000	34000000	0	0	0	0	178726275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340000102	81422064	48654648	0	0	1092542	101278071	158868032	0	0	0	0	19858475	0	0	49646260	0	0	0	0	0	297876774	0	476603400	0	0	0	0	695045806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109221772	0	0	0	0	0	0	9929252	0	0	566975592	5462710	0	992925200	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	397800000	68000000	20400000	0	0	0	0	99292375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130000039	70499592	17873136	0	0	993220	33759357	79434016	0	0	0	0	0	0	0	29787756	0	0	0	0	0	99292258	0	377311025	0	0	39717008	0	397169032	0	0	0	9929252	0	0	0	0	0	0	0	0	0	0	0	0	0	119151024	1985874	3971748	0	0	0	0	0	0	0	496476000	6058642	0	963137444	0	0	0	0	0	0	9929370	33759858	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	343400000	78200000	10200000	0	0	0	0	39716950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160000048	36739224	14894280	0	0	893898	67518714	89363268	0	0	0	0	0	0	0	9929252	992952	0	0	0	0	99292258	0	278018650	0	0	0	0	794338064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19858504	0	0	0	0	0	0	0	0	0	244266192	4469490	0	258160552	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	336600000	74800000	0	0	0	0	0	99292375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4964760	4964760	0	0	99322	101278071	49646260	0	0	0	0	0	0	0	9929252	0	0	0	0	0	0	0	436886450	0	0	0	0	297876774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19858504	0	0	0	0	0	0	0	0	0	24823800	496610	0	99292520	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	139400000	34000000	0	0	0	0	0	59575425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33760368	28795608	0	0	99322	67518714	19858504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9929252	0	198584516	0	0	0	19858504	9929252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168801840	496610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mean	_ZSt12construct_atIfJRKfEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S2_pispcl7declvalIT0_EEEEEPS2_S5_DpOS4_	stl_construct.h	0x408140
