Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	525578800000	99450000000	38549200000	0	0	0	0	99224528482	0	0	0	0	0	0	0	0	0	0	0	1200180	0	25000075	0	0	5000015	0	0	0	0	85340025602	62174107272	509892116	66269670	1006163	1458076479	98519330694	99114346970	0	0	0	2007430	281130236	0	2007510	27531293848	0	0	0	0	60221301	111509231458	200737131	455132757952	0	0	50159936	0	602310047878	0	0	0	60221301	20024804	0	0	0	0	0	0	0	0	0	0	0	5016327	156726009297	2012297	2002504	0	0	0	60172338	100466761	0	0	1743194802676	568628240438	7298103486	1025278399	702337030	100000030	1912348688	25081635	85000000	142800000	312800000	10061485	10012520	0	0	0	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2325600000	1108400000	714000000	0	0	0	0	1061313022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152192584	102129234	0	0	4306579	1157430244	1031277406	0	0	0	0	200247740	0	0	360446472	0	0	0	0	20024804	2903588837	1001237530	2102601270	0	0	20024804	4005008	7008662710	2002504	0	0	10012402	0	0	0	0	6007602	2002534	0	0	0	0	0	0	1001307	190235638	0	0	0	0	0	20024804	100124020	0	0	1611996722	988250529	22233966	0	50062010	0	0	5006535	0	0	17000000	0	0	30038010	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1193400000	1033600000	414800000	0	0	0	0	1403398905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000045	20000060	0	0	0	0	680000204	134248114	248720584	0	0	5015000	1500347984	631466808	0	0	0	1001267	180320891	100124020	3008817	1202712315	10017566	0	0	0	0	1903330557	901603402	981703551	60074412	0	330800970	2012297	5112186903	2002504	0	0	140369480	50110973	70184740	20024804	1001307	0	1001267	0	0	0	0	0	0	4019916	341351965	8019809	4014801	0	0	4005008	10012402	80148179	190284601	0	4921279460	2235332232	28380049	0	0	0	1361682640	20099580	17000000	17000000	54400000	184279333	20074005	0	0	5006535	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	595000000	357000000	0	0	0	0	0	280346836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129163443	80101360	0	0	2704131	374462726	260322452	0	0	0	0	20024774	0	0	380471276	0	0	0	0	10012402	400495012	100123753	500619350	0	0	0	0	2603217578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140173628	0	0	0	0	0	0	0	0	0	700868140	615779205	9514535	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	445400000	238000000	136000000	0	0	0	0	240297288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000300	91115297	17021539	25031675	1001267	1402142	204252396	240297648	0	0	0	0	20024774	0	0	130161226	0	0	0	0	0	400495012	0	420520254	0	0	420520884	0	1401732542	0	0	0	80099216	0	0	0	0	0	0	0	0	50062010	0	0	0	25032675	60074412	26032552	26032552	0	0	0	0	10012402	0	0	300372060	542686714	12118513	0	0	50000015	0	125163375	0	0	0	130162760	130162760	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4db0	438600000	193800000	0	0	0	0	0	220272514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47059549	24030408	0	0	1101683	68084132	130161226	0	0	0	0	0	0	0	90111618	0	0	0	0	10012402	0	0	380470706	0	0	0	2002504	1501856295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001307	50062010	0	0	0	0	0	0	0	0	0	250310050	235297745	5007650	0	0	0	0	5006535	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x4d370	414800000	204000000	108800000	0	0	0	0	120148644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86108962	47059549	0	0	500765	136168264	160198432	0	0	0	0	40049548	0	0	60074412	0	0	0	0	0	400495012	0	480594576	0	0	0	0	1301608789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110136422	0	0	0	0	0	0	0	0	0	550682110	584739928	2503825	0	0	0	0	0	0	17000000	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	370600000	88400000	57800000	0	0	0	0	60074322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71089957	15019005	0	0	1301989	68084132	100124020	0	0	0	0	0	0	0	10012402	0	0	0	0	0	100123753	0	380470706	0	0	30037206	0	300371259	0	0	0	20024804	0	0	0	0	0	0	0	0	10012402	0	0	0	0	80099216	4005008	6007512	0	0	0	0	0	0	0	620768924	487617029	7912087	0	0	0	0	0	0	0	0	20025040	30037560	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	336600000	57800000	34000000	0	0	0	0	180222966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35044345	15019005	0	0	200306	34042066	60074412	0	0	0	0	0	0	0	20024804	1001267	0	0	0	0	0	0	280346836	0	0	0	0	800990024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70086814	0	0	0	0	0	0	0	0	0	350434070	230291410	1001530	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	302600000	74800000	0	0	0	0	0	40049548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001267	8010136	0	0	300459	68084132	70086814	0	0	0	0	0	0	0	20024804	0	0	0	0	0	0	0	260322062	0	0	0	0	400495012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10012402	0	0	0	0	0	0	0	0	0	50062010	5006335	1502295	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	190400000	17000000	0	0	0	0	0	20024774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20025340	16020272	0	0	0	34042066	30037206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100123870	0	0	0	0	400495012	0	0	0	10012402	0	0	0	0	0	0	0	0	0	0	0	0	0	40049608	0	0	0	0	0	0	0	0	0	200248040	100126700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
