Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	526901400000	99936200000	59863800000	15254017	1555232903	6366241	0	99876295314	0	0	0	0	0	0	0	9458477	0	8458462	0	95188466	0	1830333965	28748468	11985017	5813862472	0	0	0	0	316640094992	70332514894	494893404	44501482	0	1446710695	97791924732	98529301192	0	0	0	0	141995061	0	0	26951788686	0	0	0	0	9929000	111488309962	0	454046271789	0	0	91016300	0	599452577293	0	0	0	60970940	0	0	0	0	0	0	0	0	0	0	0	0	12127836	158189054087	0	1985823	0	0	0	10114156	141635227	0	0	1407834981674	535596760466	7254337668	693600000	400000120	223358761	2064655135	1891728725	1917600000	9929115	405356090	5080635	0	0	0	506600000	0	16511380	5899557004	70987787	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2291600000	1145800000	737800000	0	0	0	0	1112555510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590000477	150704858	98109874	0	0	3945669	1237969044	1041758068	0	0	0	0	202282820	0	0	283196368	0	0	0	0	20228312	3034238760	606847752	2164426174	0	0	20228312	0	7787879484	4045710	0	0	10114156	0	0	0	0	5057210	2022884	0	0	0	0	0	0	2022966	192168964	0	0	0	0	0	10114156	91027404	0	0	960844820	760604384	20436542	17000000	0	10114830	0	0	0	0	101141560	0	0	25286050	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1264800000	1122000000	737800000	0	0	5646517	0	990403524	0	0	0	0	0	0	0	0	0	0	0	490238	0	11985017	0	33500747	0	0	0	0	0	2060000618	73853385	218374665	1011442	0	3846834	1101098763	586755428	0	0	0	0	222053142	91027404	3035871	1911018447	10114420	0	0	0	0	2734571290	1415978368	1316228165	40456624	0	374934478	0	5870723588	0	0	1011442	110960746	40470846	10114156	10114156	1011483	0	1011442	0	0	10114156	0	0	0	1011483	293472492	0	2022855	0	0	2022855	30342468	40329440	141598184	0	1710617830	495430985	22785132	13600000	100000030	5057415	0	171940145	27200000	10114275	6069259316	0	0	0	0	0	5057415	150490326	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	584800000	336600000	224400000	0	0	0	0	465250486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152727742	116315830	0	0	4249182	343880290	273082212	0	0	0	0	40456564	0	0	475365332	0	0	0	0	10114156	404565168	101141292	404565640	0	0	0	0	1719401964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141598184	0	0	0	0	0	0	0	0	0	707990920	728238240	15377992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	448800000	224400000	136000000	0	0	0	0	161826256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360000408	81926802	17194514	20228840	2022884	1112881	171940145	242739744	0	0	0	0	20228282	0	0	101141560	0	0	0	0	0	202282584	101141292	283195948	0	0	546164424	0	1719401964	0	0	0	171940652	10114156	10114156	0	0	0	0	0	0	60684936	0	0	0	29333007	70799092	32365680	28319970	0	0	0	0	20228312	0	0	353995460	475377740	10420613	0	0	146665035	0	0	0	141599850	0	0	161828400	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	435200000	166600000	102000000	0	0	0	0	202282820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230000069	75858150	44503448	0	0	910539	68776058	182054808	0	0	0	0	20228282	0	0	80913248	0	0	0	0	0	505706460	0	505707050	0	0	0	0	1011412920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131484028	0	0	0	0	0	0	0	0	0	657420140	379290750	4552695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x4db0	435200000	163200000	95200000	0	0	0	0	242739384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61697962	26297492	0	0	809368	171940145	171940652	0	0	0	0	20228282	0	0	101141560	0	0	0	0	10114156	0	0	586620178	0	0	0	0	1112554212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70799092	0	0	0	0	0	0	0	0	0	353995460	303432600	4046840	0	0	0	0	171940145	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
func@0x26460	391000000	61200000	61200000	0	0	0	0	101141410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90000027	78892476	17194514	0	0	1315223	68776058	60684936	0	0	0	0	0	0	0	40456624	0	0	0	0	0	0	0	323652512	0	0	40456624	4045710	404565168	2022855	0	0	20228312	0	0	0	0	0	0	0	0	0	0	0	0	0	91027404	4045710	2022855	0	0	0	0	0	0	0	455137020	394462380	6576115	0	0	0	0	0	0	10114275	0	0	20228550	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	353600000	85000000	40800000	0	0	0	0	20228282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000030	38434796	14160188	0	0	505855	68776058	60684936	0	0	0	0	0	0	0	10114156	1011442	0	0	0	0	0	0	343880794	0	0	0	0	606847752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70799092	0	0	0	0	0	0	0	0	0	353995460	192173980	2529275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	346800000	98600000	71400000	0	0	0	0	101141410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14160188	10114420	0	0	0	240716203	151712340	0	0	0	0	0	0	0	20228312	0	0	0	0	0	0	0	303424230	0	0	0	0	404565168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10114156	0	0	0	0	0	0	0	0	0	50570780	70800940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	139400000	40800000	17000000	0	0	0	0	60684846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45514890	30343260	0	0	607026	34388029	70799092	0	0	0	0	0	0	0	10114156	0	0	0	0	0	0	0	80913128	0	0	0	0	101141292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20228312	0	0	0	0	0	0	0	0	0	101141560	234654544	3035130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
