Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	691043200000	141106800000	59251800000	144243364	23550962203	85249304	0	141413946615	272271311	114828042	120031625	125857978	0	0	0	326998386	0	332006356	0	2807903490	0	20186699690	10159983595	190433128	72114856562	0	0	0	0	372930111879	62214138470	462150032	108983333	0	1718634455	117235092394	118332335657	0	0	0	0	299571834	0	0	32825284181	0	0	0	0	109948235	134770950538	401583404	531615989939	0	0	220089228	0	710554932154	0	0	0	160495800	0	0	10202103	0	0	0	0	0	0	0	0	0	41017769	184185366159	7921936	12029575	0	0	0	20208688	289949384	0	0	644597056413	8630713098	2388534236012	42969200000	751455582	15368000000	24004669361	3845634240	750000225	90174710	597923745	39609680	12036000000	0	0	0	94699661102	790308970	265793874	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2284800000	1210400000	751400000	0	0	0	0	1040612976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6920002076	145893891	101003463	0	0	3775887	1248733728	1020210300	0	0	0	0	204041760	0	0	306063090	0	0	0	0	10202103	2958602098	816166096	2162842656	0	0	0	4080890	7141453340	0	0	1020237	10202103	0	10202103	0	0	6121422	3060711	0	0	0	0	0	0	0	173435751	0	0	0	0	0	0	102021030	0	0	865160976	20308149	1224252360	0	0	0	0	0	0	0	0	0	0	0	44890428	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	1523200000	1608200000	792200000	1043830	8851516	55109944	0	1575931925	15952684	0	0	20844882	0	0	0	25041228	2087568	27235022	6312762	1144067	104086	519600542	0	454861604	120009767	0	0	0	0	4550001365	135175604	279893893	1020237	1020237	5029690	1642072697	767062924	0	0	0	1020237	241979261	81616824	2040556	1836663082	10155775	0	0	0	0	2518306908	510103810	1415613440	71414721	0	342454663	2040445	5430999177	0	0	1020237	161684850	91722974	30606309	30606309	1020278	0	0	0	0	0	0	0	0	5007015	183153670	8053204	6069099	0	0	2040445	30606309	70659556	183637854	0	698005081	27788322	1026038917	724200000	185151075	187000000	678725506	0	0	84697689	50530750	40266020	197200000	5101390	0	0	10440624	4175320	160081975	[Unknown]	[Outside any known module]	[Unknown]	0x0
do_lookup_x	448800000	221000000	139400000	0	0	0	0	204041760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370000411	99983226	17344029	27546399	2040474	1122561	138748192	183637854	0	0	0	0	0	0	0	81616824	0	0	0	0	0	102020762	0	61212528	10202103	0	244850472	0	1530311430	0	0	0	142829442	10202103	0	0	0	0	0	0	0	71414721	0	0	0	27547506	71414721	30606675	32647120	0	0	0	10202103	51010515	0	0	582555327	12654324	357073605	0	137737530	0	0	0	0	163235600	0	153033375	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
deflate	442000000	265200000	0	0	0	0	0	204041760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55092798	44890428	0	0	1632816	208122288	102021030	0	0	0	0	0	0	0	234648369	0	0	0	0	10202103	204041524	0	408083520	0	0	0	0	1836373716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132627339	0	0	0	0	0	0	0	0	0	249958065	3571785	663136695	0	0	0	0	173435240	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4d370	428400000	166600000	122400000	0	0	0	0	204041760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100000330	92841567	45910665	0	0	714357	173435240	204042060	0	0	0	0	20404176	0	0	51010515	0	0	0	0	0	816166096	102020762	571316928	0	0	0	0	1122228382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142829442	0	0	0	0	0	0	0	0	0	575413668	3571785	785561931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	377400000	68000000	40800000	0	0	0	0	81616704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	78558249	17344029	0	0	1122561	34687048	51010515	0	0	0	0	0	0	0	20404206	0	0	0	0	0	0	0	326466816	0	0	71414721	0	408083048	2040445	0	0	20404206	0	0	0	0	0	0	0	0	0	0	0	0	1020278	91818927	4080890	4080890	0	0	0	0	0	0	0	478491153	5612805	744753519	0	5101390	0	0	0	0	34687565	0	20404450	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x7ff0	374000000	81600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6121422	5101185	0	0	0	69374096	20404206	0	0	0	0	0	0	0	10202103	0	0	0	0	0	102020762	0	469296048	0	0	10202103	0	612124572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40808412	0	0	0	0	0	0	0	0	0	30607110	0	204042060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	336600000	54400000	44200000	0	0	0	0	81616704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450000135	35708295	16323792	0	0	612306	34687048	91818927	0	0	0	0	0	0	0	10202103	2040474	0	0	0	0	204041524	0	265254288	0	0	0	0	612124572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71414721	0	0	0	0	0	0	0	0	0	221391429	3061530	357073605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x4db0	302600000	108800000	0	0	0	0	0	81616704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27546399	10202370	0	0	408204	34687048	132627339	0	0	0	0	20404176	0	0	40808412	0	0	0	0	0	0	0	326466816	0	0	0	0	816166096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61212618	0	0	0	0	0	0	0	0	0	137731995	2041020	306063090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
png_write_row	139400000	13600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10202370	6121422	0	0	0	0	10202103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224445936	0	0	0	0	102020762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20404206	0	0	0	0	0	0	0	0	0	51011850	0	102021030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
