Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE	Hardware Event Count:FP_ARITH_INST_RETIRED.SCALAR_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE	Hardware Event Count:FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE	Hardware Event Count:UOPS_EXECUTED.X87	Hardware Event Count:UOPS_EXECUTED.THREAD	Module	Function (Full)	Source File	Start Address
[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	26339800000	4709000000	2618000000	4711983251	0	0	0	0	0	556371	0	2711107	0	111118328	0	0	434930097	19730005919	7354221	7354221	3675150	10904675586	4433994081	46385405	0	735823	0	0	0	1822703048	7553495	4157328464	115943766	10499225833	20149173718	26895450190	1762558958	0	0	0	0	0	0	22025910877	mean	[Loop at line 651 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c60
[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	2607800000	690200000	394400000	731546780	0	0	0	0	0	0	0	967591	0	5254552	0	0	50690972	3000000900	0	0	0	860401660	820951293	0	0	0	0	0	167337306	94946335	0	417754925	0	363464577	2687412507	3516783749	397508417	0	0	0	0	0	0	3533224115	mean	[Loop at line 650 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c40
[Loop@0xa670 in func@0xa520]	2301800000	1033600000	720800000	1037496612	0	0	0	0	0	0	0	0	0	0	0	0	0	6760002028	3679071	3679071	3679071	253855899	1200845376	183953300	0	1471646	0	0	141280128	257534970	7358142	2685715114	735812360	286239426	2119142016	6695892476	0	0	0	0	0	0	0	1935188716	libdeflate.so.0	[Loop@0xa670 in func@0xa520]	[Unknown]	0xa670
[Outside any known module]	955400000	608600000	397800000	590113606	0	0	0	0	600009	0	0	60009	0	0	0	3000009	0	2130000639	29432568	40469781	29432568	224614763	527830358	103745371	1103793	3679115	0	0	179179410	961451829	7723904	2050923120	1298644457	238741580	1203823497	3716150881	0	0	0	0	0	0	0	752766077	[Unknown]	[Outside any known module]	[Unknown]	0x0
[Loop@0xb870 in deflate]	714000000	363800000	244800000	367906600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320079177	475334628	14716264	0	0	0	0	181750998	364228029	11037213	441487416	0	322663209	573934296	2538552642	0	0	0	0	0	0	0	1258240572	libz.so.1.3	[Loop@0xb870 in deflate]	[Unknown]	0xb870
[Loop@0x4df0 in func@0x4db0]	700400000	251600000	163200000	242818356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154520982	125088060	22074396	0	0	0	0	56659218	80939562	0	36790618	0	137233041	566576164	1140509158	0	0	0	0	0	0	0	735813200	libz.so.1.3	[Loop@0x4df0 in func@0x4db0]	[Unknown]	0x4df0
[Loop at line 390 in do_lookup_x]	401200000	204000000	122400000	228102092	0	0	0	0	0	0	0	133700	0	0	0	0	0	1280000384	11037213	3679071	0	99334917	200140896	22074396	0	42677734	0	0	24282522	73581420	0	367906180	36790618	148638468	345832204	993346686	0	0	0	0	0	0	0	537143636	ld-linux-x86-64.so.2	[Loop at line 390 in do_lookup_x]	dl-lookup.c	0xa590
[Loop@0x264e0 in func@0x26460]	397800000	88400000	40800000	103013848	0	0	0	0	0	0	0	0	0	0	0	0	0	390000117	3679071	0	0	121409343	25017612	0	0	2943292	0	0	22075020	18395355	0	36790618	0	143119713	360548468	515068652	0	0	0	0	0	0	0	375264732	libtiff.so.6.0.1	[Loop@0x264e0 in func@0x26460]	[Unknown]	0x264e0
[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	350200000	47600000	20400000	20670605	0	0	0	0	0	0	0	268947	0	0	0	0	2627276	300000090	0	0	0	157286919	13752393	0	0	0	0	0	22022891	7553495	0	79192366	0	77647467	261742415	535612994	46385405	0	0	0	0	0	0	257937968	mean	[Loop at line 647 in FilterHandler::applyConvolutionGridDivision._omp_fn.0]	FilterHandler.cpp	0x405c30
[Loop@0x4d3e0 in func@0x4d370]	350200000	146200000	105400000	117730112	0	0	0	0	0	0	0	0	0	0	0	0	0	1020000306	0	0	0	158200053	100070448	14716264	0	0	0	0	68432562	62544207	0	699021742	0	134289705	426771656	956556068	0	0	0	0	0	0	0	485636712	libtiff.so.6.0.1	[Loop@0x4d3e0 in func@0x4d370]	[Unknown]	0x4d3e0
