Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29321600000	5531800000	3661800000	2414136	316242646	6681183	0	5729763658	0	0	0	0	0	0	0	0	0	0	0	8933095	0	247010348	0	0	984131386	0	0	0	0	28990008697	5216211211	116934324	0	0	78343026	5373380704	5538975506	0	0	0	0	0	0	0	1880850417	0	0	0	0	0	4880332836	0	25266175151	0	0	0	0	33290945456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7508515200	0	0	0	0	0	0	72181353	0	0	52499833249	32685999438	388631739	50000015	289000000	71400000	0	0	0	68000000	0	49293245	0	0	193120000	0	980433817	7242408	9656264	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2315400000	1122000000	714000000	0	0	0	0	1064732526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6960002088	144925977	100560882	0	0	3648755	1072617824	1025299496	0	0	0	0	216889959	0	0	285900821	0	0	0	0	19717298	3154759264	887276043	2208334128	0	0	0	0	7295380798	0	0	0	0	0	0	0	0	5915346	1971782	0	0	0	0	0	0	0	157738384	0	1971753	0	0	1971753	19717298	88727841	0	0	1005582198	977017981	21103610	0	17000000	0	0	0	9858765	0	51266332	118303788	0	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	860200000	578000000	421600000	0	0	1122030	0	445728594	0	0	0	0	0	0	0	1292017	0	0	0	0	0	6460009	0	0	5610008	0	0	0	0	3290000987	79857171	77849667	0	985891	2272370	434099744	267091556	0	0	0	0	98586345	108445139	985930	1165646650	11830692	0	0	0	0	1380207178	788689816	1423785496	39434596	0	175278588	1971753	3644130972	0	0	2153394	104034688	31392013	10766682	0	985930	0	985891	0	0	9858649	0	0	0	2957790	88727841	1971753	0	0	0	1971753	9858649	59151894	167597033	0	443639205	541254159	11900102	0	0	13600000	14788950	9858765	0	17000000	0	0	0	0	98586345	4929650	0	0	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
func@0x4db0	737800000	272000000	173400000	0	0	0	0	315476304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540000462	85772517	46336877	0	0	1676455	268154456	236607576	0	0	0	0	19717269	0	0	138021086	0	0	0	0	0	295758681	0	374628111	0	0	0	0	1380207178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69010543	0	0	0	0	0	0	0	0	0	788691920	709841520	8579505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
deflate	690200000	350200000	244800000	0	0	0	0	433779918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2170000651	191262854	135067067	0	0	4240445	536308912	354911364	0	0	0	985891	39434538	0	0	374628662	0	0	0	0	19717298	98586227	0	571800801	0	0	0	0	1675965859	1971753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266183523	0	0	0	0	1971753	0	0	0	0	2809714965	1613903567	16271475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
do_lookup_x	452200000	238000000	149600000	0	0	0	0	276041766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1430000429	78871280	18731929	18731929	1971782	1183380	201115842	226748927	0	0	0	0	0	0	0	78869192	0	0	0	0	0	197172454	98586227	315476304	0	0	522508397	0	1478793405	0	0	0	147879735	29575947	9858649	9858649	0	0	0	0	0	69010543	0	0	0	27606040	69010543	27604542	27604542	0	0	0	0	29575947	0	0	345052715	442665059	11242110	0	0	0	138030200	138022710	138022710	17000000	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x4d370	435200000	163200000	108800000	0	0	0	0	197172690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070000321	77885389	45350986	0	0	690305	201115842	167597033	0	0	0	0	0	0	0	59151894	0	0	0	0	0	492931135	0	492931725	0	0	0	0	1084448497	0	0	0	9858649	0	0	0	0	0	0	0	0	0	0	0	0	0	138021086	0	0	0	0	0	0	9858649	0	0	1015440847	465340552	3451525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x26460	380800000	37400000	57800000	0	0	0	0	118303614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470000141	69998261	13802474	0	0	1380610	67038614	69010543	0	0	0	0	0	0	0	19717298	0	0	0	0	0	0	0	295759035	0	0	39434596	3943506	492931135	0	0	0	9858649	0	0	0	0	0	0	0	0	0	0	0	0	1971860	78869192	3943506	1971753	0	0	0	0	0	0	0	611236238	415060111	9269810	0	0	0	9859300	41406813	9858765	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x39a20	340000000	81600000	51000000	0	0	0	0	59151807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440000132	38449749	11830692	0	0	493075	33519307	78869192	0	0	0	0	0	0	0	0	1971782	0	0	0	0	98586227	0	256324497	0	0	0	0	295758681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69010543	0	0	0	0	0	0	9858649	0	0	453497854	235627949	2465375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
func@0x7ff0	319600000	68000000	37400000	0	0	0	0	39434538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520000156	3943564	10844801	0	0	98615	134077228	69010543	0	0	0	0	0	0	0	9858649	0	0	0	0	0	0	0	236607228	0	0	0	0	98586227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29575947	0	0	0	0	0	0	0	0	0	295759470	41407422	493075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
png_write_row	139400000	23800000	6800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160000048	26619057	10844801	0	0	197230	0	39434596	0	0	0	0	0	0	0	9858649	0	0	0	0	0	0	0	39434538	0	0	0	0	295758681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49293245	0	0	0	0	0	0	0	0	0	246466225	251402205	986150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
