Function	Hardware Event Count:INST_RETIRED.ANY	Hardware Event Count:CPU_CLK_UNHALTED.THREAD	Hardware Event Count:CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:MEM_LOAD_UOPS_RETIRED.DRAM_HIT	Hardware Event Count:CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:LD_HEAD.ANY_AT_RET	Hardware Event Count:LD_HEAD.DTLB_MISS_AT_RET	Hardware Event Count:LD_HEAD.L1_BOUND_AT_RET	Hardware Event Count:LD_HEAD.L1_MISS_AT_RET	Hardware Event Count:LD_HEAD.OTHER_AT_RET	Hardware Event Count:LD_HEAD.PGWALK_AT_RET	Hardware Event Count:LD_HEAD.ST_ADDR_AT_RET	Hardware Event Count:MEM_BOUND_STALLS.LOAD	Hardware Event Count:MEM_BOUND_STALLS.LOAD_DRAM_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_L2_HIT	Hardware Event Count:MEM_BOUND_STALLS.LOAD_LLC_HIT	Hardware Event Count:MEM_SCHEDULER_BLOCK.ALL	Hardware Event Count:MEM_SCHEDULER_BLOCK.ST_BUF	Hardware Event Count:TOPDOWN_BE_BOUND.ALL	Hardware Event Count:TOPDOWN_BE_BOUND.MEM_SCHEDULER	Hardware Event Count:TOPDOWN_FE_BOUND.ALL	Hardware Event Count:TOPDOWN_RETIRING.ALL	Hardware Event Count:OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD	Hardware Event Count:OCR.STREAMING_WR.ANY_RESPONSE	Hardware Event Count:OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Hardware Event Count:TOPDOWN.SLOTS	Hardware Event Count:MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:MEM_INST_RETIRED.ALL_STORES	Hardware Event Count:DTLB_LOAD_MISSES.STLB_HIT:cmask=1	Hardware Event Count:DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_LOAD_MISSES.WALK_COMPLETED_4K	Hardware Event Count:DTLB_STORE_MISSES.STLB_HIT:cmask=1	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_LOADS	Hardware Event Count:EXE_ACTIVITY.BOUND_ON_STORES	Hardware Event Count:FRONTEND_RETIRED.LATENCY_GE_4	Hardware Event Count:IDQ_BUBBLES.CORE	Hardware Event Count:DTLB_STORE_MISSES.WALK_ACTIVE	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_1G	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M	Hardware Event Count:DTLB_STORE_MISSES.WALK_COMPLETED_4K	Hardware Event Count:INT_MISC.UOP_DROPPING	Hardware Event Count:TOPDOWN.BACKEND_BOUND_SLOTS	Hardware Event Count:TOPDOWN.MEMORY_BOUND_SLOTS	Hardware Event Count:UOPS_RETIRED.SLOTS	Hardware Event Count:L1D_PEND_MISS.FB_FULL	Hardware Event Count:L1D_PEND_MISS.L2_STALLS	Hardware Event Count:L1D_PEND_MISS.PENDING	Hardware Event Count:L2_RQSTS.ALL_RFO	Hardware Event Count:TOPDOWN.SLOTS_P	Hardware Event Count:L2_RQSTS.RFO_HIT	Hardware Event Count:LD_BLOCKS.NO_SR	Hardware Event Count:LD_BLOCKS.STORE_FORWARD	Hardware Event Count:MEMORY_ACTIVITY.CYCLES_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L1D_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L2_MISS	Hardware Event Count:MEMORY_ACTIVITY.STALLS_L3_MISS	Hardware Event Count:MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:MEM_INST_RETIRED.SPLIT_STORES	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_LOADS	Hardware Event Count:MEM_INST_RETIRED.STLB_MISS_STORES	Hardware Event Count:MEM_LOAD_COMPLETED.L1_MISS_ANY	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS	Hardware Event Count:MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD	Hardware Event Count:MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_HIT	Hardware Event Count:MEM_LOAD_RETIRED.L3_MISS	Hardware Event Count:MEM_STORE_RETIRED.L2_HIT	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:cmask=4	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD	Hardware Event Count:OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO	Hardware Event Count:XQ.FULL_CYCLES	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_HIT	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.THREAD_P	Hardware Event Count:Total_Latency_TOPDOWN.SLOTS	Hardware Event Count:Total_Latency_INST_RETIRED.ANY	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.FB_HIT	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L1_MISS	Hardware Event Count:Total_Latency_MEM_LOAD_RETIRED.L2_HIT	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.SPLIT_LOADS	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.DISTRIBUTED	Hardware Event Count:Total_Latency_CYCLE_ACTIVITY.CYCLES_MEM_ANY	Hardware Event Count:Total_Latency_MEM_INST_RETIRED.LOCK_LOADS	Hardware Event Count:Total_Latency_DTLB_LOAD_MISSES.WALK_ACTIVE	Hardware Event Count:Total_Latency_CPU_CLK_UNHALTED.REF_TSC	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_STORES	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS	Hardware Event Count:Total_Latency_MEM_UOPS_RETIRED.LOAD_LATENCY_GT_4	Module	Function (Full)	Source File	Start Address
FilterHandler::applyConvolutionGridDivision._omp_fn.0	29294400000	5729000000	3920200000	13344985	1584097722	27799525	0	5934818817	0	0	0	0	0	0	0	4997183	0	1198111	0	58145169	0	1557414188	0	11252397	5629864994	0	0	0	0	21840006552	4567112431	105989571	0	0	69263509	4486734051	4652043836	0	0	0	0	19864814	0	0	1372982251	0	0	0	0	0	3842670156	0	20927414816	0	0	0	0	24829426915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5098822203	0	0	0	0	0	0	36133441	0	0	74128963545	340960670	115888517107	408000000	1009156761	50000015	1771400000	0	0	0	0	0	0	0	0	299200000	48713196	5225165613	56383449	mean	FilterHandler::applyConvolutionGridDivision._omp_fn.0	FilterHandler.cpp	0x405ae0
func@0xa520	2281400000	1084600000	724200000	0	0	0	0	1092564770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4250001275	142037467	100320169	0	0	4073473	1013104020	973377356	0	0	0	0	258242582	0	0	238378128	0	0	0	0	19864844	2979718620	695267678	2006346214	0	0	0	1986508	7349972596	1986508	0	0	9932422	0	0	0	0	5959614	1986538	0	0	0	0	0	0	993308	158918752	1986508	1986508	0	0	0	19864844	178783596	0	0	3615499160	21758307	5621750852	0	0	100000030	0	44698860	89392860	9932540	178788420	0	0	0	0	0	0	0	0	libdeflate.so.0	func@0xa520	[Unknown]	0xa520
[Outside any known module]	931600000	578000000	401200000	0	1643379	7797401	0	450129128	0	0	0	0	0	0	0	1198111	0	1344563	0	156423	136020	12713222	0	18703707	13081923	0	0	0	0	820000246	75488444	68242682	993269	993269	1490295	514234570	296256916	0	0	0	1986538	139053698	109256642	993308	1007891237	11919228	0	0	0	0	1285387335	882267452	1107211797	59594532	0	292793954	0	3178681343	0	0	0	19282436	0	0	0	993308	0	0	0	0	0	0	0	0	993308	167967152	0	3973016	0	0	1986508	19864844	79459376	158918752	0	641651774	7650181	3948683846	13600000	0	0	0	4966540	0	19865080	0	0	0	69531560	0	13600000	11139356	4501076	0	[Unknown]	[Outside any known module]	[Unknown]	0x0
deflate	816000000	397800000	238000000	0	0	0	0	476755536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188721110	140050929	0	0	4172826	574092278	337702348	0	0	0	0	0	0	0	307905082	0	0	0	0	9932422	198647908	99323954	635674048	0	0	0	0	1787831172	1986508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218513284	0	0	0	0	0	0	0	0	0	5735135206	15896480	9654314184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	deflate	[Unknown]	0xa750
func@0x4db0	544000000	275400000	156400000	0	0	0	0	278107396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83434596	52643257	0	0	1788354	270161072	248310550	0	0	0	0	0	0	0	99324220	0	0	0	0	0	99323954	0	397296280	0	0	0	1986508	1291211402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	993308	139053908	0	0	0	0	0	0	0	0	0	2644082078	9339182	8412761434	0	0	0	0	125156808	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x4db0	[Unknown]	0x4db0
do_lookup_x	469200000	238000000	149600000	0	0	0	0	258242582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350000405	77474982	14899035	20858649	2979807	1291589	270161072	228445706	0	0	0	0	19864814	0	0	69526954	0	0	0	0	0	397295816	0	437025908	0	0	536350788	0	1489859310	0	0	0	158918752	29797266	0	0	0	0	0	0	0	59594532	0	0	0	27812624	69526954	27811112	23838096	0	0	0	0	9932422	0	0	402273945	11326242	347634770	0	0	0	0	139063120	139055560	119190480	0	0	0	0	0	0	0	0	0	ld-linux-x86-64.so.2	do_lookup_x	dl-lookup.c	0xa530
func@0x26460	408000000	88400000	47600000	0	0	0	0	119188884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210000063	72508637	15892304	0	0	1291589	101310402	59594532	0	0	0	0	0	0	0	19864844	0	0	0	0	0	0	0	377431466	0	0	59594532	1986508	99323954	1986508	0	0	19864844	0	0	0	0	0	0	0	0	0	0	0	0	0	79459376	1986508	0	0	0	0	0	9932422	0	0	1567378482	6457945	3754455516	0	0	0	0	0	81446828	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x26460	[Unknown]	0x26460
func@0x4d370	408000000	221000000	122400000	0	0	0	0	139053698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700000210	86414403	51649988	0	0	496765	303931206	178783596	0	0	0	0	0	0	0	109256642	0	0	0	0	0	695267678	99323954	516485164	0	0	0	0	1688507218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129121486	0	0	0	0	0	0	9932422	0	0	1931908205	2483825	5095332486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libtiff.so.6.0.1	func@0x4d370	[Unknown]	0x4d370
func@0x7ff0	404600000	54400000	51000000	0	0	0	0	79459256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6952883	8939421	0	0	298059	67540268	69526954	0	0	0	0	0	0	0	9932422	0	0	0	0	0	99323954	0	178783326	0	0	0	0	397295816	0	0	0	9932422	0	0	0	0	0	0	0	0	0	0	0	0	0	9932422	0	0	0	0	0	0	0	0	0	275135513	1490295	218513284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libz.so.1.3	func@0x7ff0	[Unknown]	0x7ff0
func@0x39a20	340000000	78200000	40800000	0	0	0	0	79459256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290000087	36750953	16885573	0	0	496765	67540268	69526954	0	0	0	0	0	0	0	9932422	0	0	0	0	0	198647908	0	397296280	0	0	0	0	695267678	1986508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29797266	0	0	0	0	0	0	0	0	0	823420001	2483825	546283210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libopencv_imgcodecs.so.4.6.0	func@0x39a20	[Unknown]	0x39a20
png_write_row	146200000	23800000	13600000	0	0	0	0	19864814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26818263	14899035	0	0	298059	0	29797266	0	0	0	0	0	0	0	9932422	0	0	0	0	0	0	0	59594442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39729688	0	0	0	0	0	0	0	0	0	1420374670	1490295	536350788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	libpng16.so.16.43.0	png_write_row	[Unknown]	0x27aa0
